index,original,translated,accuracy_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation refers to a ""Direct3D object"" instead of a ""Direct3D3 object"" as mentioned in the source text, which changes the meaning.
[Minor]: none"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""על-קבוצה תקינה של"" does not accurately reflect the meaning of ""a proper superset of"" in the source text.
[Minor]: [accuracy/addition] - The addition of ""ששונו"" (that changed) is not present in the source text."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה"" does not fully capture the meaning of the source text ""true apart from any theory they might support"". The translation suggests that the factual statements are true regardless of the theories they support, while the source text implies that the factual statements exist independently of any theories.
[Minor]: [accuracy/addition] - The translation ""לצורך הדיון"" adds the phrase ""for the sake of argument"" which is not present in the source text. While this addition does not significantly change the meaning, it is not strictly necessary."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""יוצרים"" (create) does not accurately reflect the meaning of the source text ""don't create"", which indicates that the experiments do not generate the facts, but rather the choice of experiments controls which facts are discovered.
[Minor]: no-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""להתממש אחרת"" (to be realized otherwise) does not fully capture the meaning of the source text ""to pull off otherwise"", which suggests that the experiments are only possible in capitalism due to the resources, organization, and coercion required.
[Minor]: no-error

The translation accurately conveys the overall meaning of the source text, with the exception of the phrase ""to pull off otherwise"", which is not fully captured in the Hebrew translation."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות"" does not fully capture the meaning of the source text ""This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.""

[Minor]: accuracy/addition - The translation includes the phrase ""להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף"" which is not present in the source text."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The Hebrew translation ""הולך להיות הפרויקט הראשון שלי לרכב"" does not precisely reflect the meaning of the English source ""Going to be my first project car."" The Hebrew translation uses the word ""לרכב"" (for a vehicle) instead of the more appropriate ""לרכב"" (for a project car).
[Minor]: none"
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""מרים את זה"" (lifts it up) does not accurately convey the meaning of the source text ""Picking this up"", which suggests taking or retrieving an item.
[Minor]: none"
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""מורידים את גובה הנסיעה"" (lowering the ride height) does not fully capture the meaning of the source text ""lowered ride height"", which suggests the vehicle has already been lowered, rather than an ongoing action.
[Minor]: none"
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The Hebrew translation ""התפרצות_לפדיברס_הגיע_הזמן"" does not accurately reflect the meaning of the English source text ""#Venting into the Fediverse time."" The Hebrew translation suggests a more intense or explosive meaning, while the English source is simply expressing the desire to vent or express oneself in the Fediverse.
[Minor]: none"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""בן הזוג"" (which means ""partner"") is translated as ""Domestic Partner"", which is a more specific term not directly equivalent to the source.
[Minor]: accuracy/addition - The addition of ""תוסס"" (which means ""sparkling"") to describe the ""bottle of bub"" is not present in the source text."
