index,original,translated,design_and_markup_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML characters in the target text contain extra whitespaces, making them malformed."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","MQM annotations:
design and markup errors:
[minor]: markup tag - The Hebrew translation contains some malformed HTML entities, such as extra whitespaces within the escaped characters (e.g., `[& gt ;]` instead of `&gt;`)."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains extra whitespaces within the escaped HTML character `&#1492;` (the Hebrew letter ""heh""), making it malformed.

The annotated translation would be:

הולך להיות הפרויקט הראשון שלי ל[&#1512;]MARKUP TAG כב."
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation uses square brackets `[ ]` to enclose the emoji, which is different from the source text format."
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains extra whitespaces within the escaped HTML characters, causing them to be malformed.

The annotated translation would be:

כבר על קפיצים ומורידים את גובה ה[נסיעה]MARKUP TAG."
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The hashtag symbol ""#"" is not properly formatted in the target text. It should be displayed as a standard hashtag symbol without the additional text.

The annotated translation is as follows:

#התפרצות_לפדיברס_הגיע_הזמן."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם בקופה, הקופאית הייתה אישה טרנסית די ברורה.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
27,And I said her nails looked cool.,.ואמרתי לה שהציפורניים שלה נראות מגניבות,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains a malformed HTML entity with extra whitespace: "".ואמרתי לה שהציפורניים שלה נראות [ מגניבות]MARKUP TAG""."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של הקלה על פניה היה הרגשה נהדרת אבל העובדה שהיא פחדה קודם זה מחורבן לגמרי ואני שונא את זה.,"MQM annotations:
design and markup errors:
[minor]: markup tag - The Hebrew translation contains malformed HTML entities, with extra whitespaces inserted within the escaped characters.

The source text:
""The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.""

The Hebrew translation:
""החיוך של הקלה על פניה היה הרגשה נהדרת אבל העובדה שהיא פחדה קודם זה מחורבן לגמרי ואני שונא את זה."""
33,It takes the state's governor.,לוקח את המושל של המדינה.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains malformed HTML entities with extra whitespaces, such as ""[ ]"" around the greater-than symbol."
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","במחקר זה, המבוסס על וריאנט של מודל האיתות הקלאסי של לואיס (1969), אנו חוקרים את התנאים להופעת תקשורת תלוית הקשר בתרחיש ממוקם.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","בו זמנית, אנו חוקרים את התנאים הסביבתיים ואת היכולות הקוגניטיביות המאפשרים פענוח הקשרי של משמעויות סמלים.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `בו זמנית, אנו חוקרים את התנאים הסביבתיים ואת היכולות הקוגניטיביות המאפשרים [פענוח הקשרי]MARKUP TAG של משמעויות סמלים.`"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הנמען של המקבל יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, ללא יכולות פענוח מצד המקבל.","Source (English):
We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.

Translation (Hebrew):
אנו מראים שאילוצים סביבתיים על בחירת הנמען של המקבל יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, ללא יכולות פענוח מצד המקבל.

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation does not contain any design or markup errors. The Hebrew text is well-formed and does not have any issues with escaped HTML characters or emoji formats."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי דבלופמנט עובדת עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, מתקשרת עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, שירותי בריאות, נטיעת עצים וחקלאות.","MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
47,Communities gain the knowledge to embed and support their own development.,הקהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains a malformed HTML entity with extra whitespace around the `>` character, which should be `&gt;` instead of `& gt ;`.

The annotated translation is as follows:

הקהילות רוכשות את הידע להטמיע ולתמוך ב[פיתוח שלהן]MARKUP TAG."
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The emoji format in the target text does not match the source text."
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.` cause them to be malformed."
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,בוקר למחרת ואני לא מצליח להתגבר על ההתחזות המחפירה של כריס ליכט לעיתונות שירות הציבור ב-CNN אמש.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&#39;` cause them to be malformed."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל סמלי נגד דמוקרטיה של שקרים ותלונות ב-6 בינואר, שאורגן באופן הרסני על ידי התקשורת האמריקאית.","Source (English):
It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.

Translation (Hebrew):
זו הייתה שערורייה, כמו פסטיבל סמלי נגד דמוקרטיה של שקרים ותלונות ב-6 בינואר, שאורגן באופן הרסני על ידי התקשורת האמריקאית.

MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The date ""6 בינואר"" (January 6) is not marked up in the same way as the source text (""Jan 6"")."
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation uses square brackets `[]` to enclose the English word ""The"", which is not present in the source text."
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The Hebrew translation contains a malformed HTML entity `[& gt ;]` instead of the correct `&gt;`."
63,There's a story to be reported there.,יש סיפור שצריך לדווח עליו שם.,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Hebrew translation contains a malformed HTML entity with extra whitespace, e.g., ""שם[& gt ;]MARKUP TAG""."
