index,original,translated,linguistic_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The translation uses ""Direct3D"" instead of the correct ""Direct3D3"" object, which is a grammatical error."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""IDirectXObject2"" should be capitalized consistently with the source text.
[Minor]: [punctuation] - The comma after ""עכשיו"" should be removed to match the punctuation in the source text."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first word in the translation ""נניח"" should be capitalized.
[Minor]: [punctuation] - The comma after ""לצורך הדיון"" should be removed."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first word ""הניסויים"" should be capitalized.
[Minor]: [Punctuation] - The period at the end of the sentence is missing."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""להלן"" should not be capitalized.
[Minor]: [Punctuation] - The colon after ""להלן התרגום לעברית:"" should be a period."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of the first word in the translation should be capitalized.
[Minor]: [punctuation] - The period at the end of the sentence is missing."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first word ""הולך"" should be capitalized as ""הולך"" to follow the capitalization conventions in Hebrew.
[Minor]: [Punctuation] - The period at the end of the sentence is missing."
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Whitespace] - The translation ""מרים את זה בסוף השבוע."" has an extra space before the period."
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Spelling] - The Hebrew translation ""מורידים"" should be ""מוריד"" to match the singular subject ""גובה הנסיעה""."
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The Hebrew translation does not follow the capitalization conventions of the target language, as the hashtag should not be capitalized."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Bub"" should be capitalized as ""Bub"" in the target text to follow the capitalization conventions of the target language."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם בקופה, הקופאית הייתה אישה טרנסית די ברורה.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Kofayt"" should be capitalized as ""Kofaית"" to follow the capitalization conventions in Hebrew.
[Minor]: [punctuation] - The period at the end of the sentence is missing."
27,And I said her nails looked cool.,.ואמרתי לה שהציפורניים שלה נראות מגניבות,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The translation is missing a period at the end of the sentence."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של הקלה על פניה היה הרגשה נהדרת אבל העובדה שהיא פחדה קודם זה מחורבן לגמרי ואני שונא את זה.,"MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The use of the word ""FUCKING"" in the translation is not appropriate for the target language and should be replaced with a more neutral expression.
[Minor]: [capitalization] - The first letter of the word ""Kלה"" (relief) should be capitalized to follow the standard capitalization rules in Hebrew."
33,It takes the state's governor.,לוקח את המושל של המדינה.,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is incorrect compared to the source text. The correct order should be ""The governor of the state takes it."""
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","במחקר זה, המבוסס על וריאנט של מודל האיתות הקלאסי של לואיס (1969), אנו חוקרים את התנאים להופעת תקשורת תלוית הקשר בתרחיש ממוקם.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""במחקר"" should be capitalized.
[Minor]: [punctuation] - The comma after ""1969)"" should be a period."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","בו זמנית, אנו חוקרים את התנאים הסביבתיים ואת היכולות הקוגניטיביות המאפשרים פענוח הקשרי של משמעויות סמלים.","MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The phrase ""בו זמנית"" (at the same time) is grammatically correct, but the English translation ""At the same time"" would be more natural.
[Minor]: [word order] - The order of the words ""פענוח הקשרי של משמעויות סמלים"" (contextual disambiguation of symbol meanings) could be improved to match the English word order more closely."
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הנמען של המקבל יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, ללא יכולות פענוח מצד המקבל.","MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation is slightly different from the source text, but the intended meaning is still understandable."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי דבלופמנט עובדת עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, מתקשרת עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, שירותי בריאות, נטיעת עצים וחקלאות.","MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The word ""Ashanti"" is capitalized in the source text, but not in the translation.
[Minor]: punctuation - The comma after ""education"" in the source text is missing in the translation."
47,Communities gain the knowledge to embed and support their own development.,הקהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"MQM annotations:
linguistic conventions errors:
[Minor]: grammar - The translation uses the phrase ""להטמיע ולתמוך"" (to embed and support) which is grammatically correct but could be more natural in Hebrew as ""לשלב ולתמוך"" (to integrate and support)."
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The first letter of ""Ghana"" should be capitalized."
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence ""הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה."" is grammatically incorrect. The verb ""יאפשרו"" should be in the singular form ""יאפשר"" to agree with the subject ""הם""."
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,בוקר למחרת ואני לא מצליח להתגבר על ההתחזות המחפירה של כריס ליכט לעיתונות שירות הציבור ב-CNN אמש.,"MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The sentence is missing a period at the end."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל סמלי נגד דמוקרטיה של שקרים ותלונות ב-6 בינואר, שאורגן באופן הרסני על ידי התקשורת האמריקאית.","MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is not natural and does not match the flow of the source text. The phrase ""self-destructively hosted by American media"" should be rearranged to better reflect the original meaning.
[Minor]: [capitalization] - The phrase ""Jan 6"" should be capitalized as ""Jan. 6"" to follow standard conventions."
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of the target text ""הקהל המביש."" should be capitalized to match the capitalization of the source text ""THE SHAMEFUL AUDIENCE."""
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The name ""Licht"" should be capitalized as it is a proper noun.
[Minor]: [punctuation] - The exclamation mark at the end of the sentence is unnecessary."
63,There's a story to be reported there.,יש סיפור שצריך לדווח עליו שם.,"MQM annotations:
linguistic conventions errors:
[minor]: grammar - The sentence structure ""יש סיפור שצריך לדווח עליו שם"" is slightly awkward in Hebrew. A more natural phrasing would be ""יש סיפור שראוי לדווח עליו שם"" or ""ישנו סיפור שראוי לדווח עליו שם""."
64,The ratings--seeking delusional irresponsibility of it all.,"הבלתי-אחריות המדומיינת וחסרת-האחריות של כל זה, המחפשת דירוגים.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The phrase ""המדומיינת וחסרת-האחריות"" is grammatically incorrect. It should be ""המדומיינת וחסרת-אחריות"" to properly agree in gender.
[Minor]: [punctuation] - The hyphen in ""חסרת-אחריות"" should be an en-dash instead."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד מאווורר, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence ""יש לי מרתף מאוד מאווורר, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט."" is grammatically incorrect. The verb ""לקבל"" (to receive) does not fit the context, and the sentence structure is awkward.
[Minor]: [punctuation] - The comma after ""מאווורר"" should be replaced with a period or a semicolon to separate the two clauses."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","לבסוף נמאס לי מהשגרה הזאת אמש, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי להן פיסטוק בדבק סופר.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""Obrigado"" should be capitalized.
[Major]: [grammar] - The sentence structure is unnatural, and the use of the word ""להן"" (to them) is incorrect."
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים וזיכויי מס שמעודדים פעילות עסקית רבה יותר.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing comma after ""more business activity"".

The translation is generally accurate and well-formed, with only a minor punctuation error. The sentence structure and word choice in the Hebrew translation correctly convey the meaning of the English source."
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעלים של עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Obrigado"" should not be capitalized as it is a common noun in the target language."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","זה נכון גם עכשיו כש-goatse.cx נעלם, למרות שזה יהיה מרוץ צמוד לתחתית בין goatse ל, נגיד, khou.com, שם ניסיתי לצפות בסרטון ש-Wendy שלחה לי.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""goatse"" should be capitalized consistently throughout the translation.
[Minor]: [punctuation] - The comma after ""khou.com"" is unnecessary."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,השג כמה מדבקות פגוש שהן נגד טראמפ והדבק אותן בכל מקום.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""טראמפ"" (Trump) should be capitalized.
[Minor]: [punctuation] - The period at the end of the sentence is missing."
