index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","locale conventions:

MQM annotations:
[Minor]: [locale_conventions/number_format] - The Hebrew translation uses a slash (""/"") to separate the thousands in the number, which is not the standard locale convention in Hebrew. The correct format would be to use a space or a comma."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""2"" in ""IDirectXObject2"" is not formatted according to the Hebrew locale convention, which typically uses spaces or commas to separate digits."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The translation uses a mix of comma and slash to separate the number, which is not the standard Hebrew number format."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","Locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The Hebrew translation uses a space to separate the thousands in the number, while the English source does not."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","Here is the annotated translation with the identified locale convention errors:

locale conventions:

MQM annotations:
Minor: currency format - The currency symbol ""$"" should be placed before the numeric value according to the Hebrew locale convention."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the English locale convention."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"locale conventions:

MQM annotations:
[Major]: [ADDRESS FORMAT] - The address format in the Hebrew translation does not match the English format. In Hebrew, the address should be presented in the order: street number, street name, city, postal code."
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"locale conventions:

MQM annotations:
[Major]: [DATE/TIME FORMAT] - The date format in the Hebrew translation ""מרים את זה בסוף השבוע"" does not match the English source ""Picking this up this weekend"". The Hebrew translation should use a more specific date format to match the source."
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The placement of ""על קפיצים ומורידים את גובה הנסיעה"" does not follow the typical Hebrew address format."
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The translation does not follow the standard Hebrew address format."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""a bottle of bub"" should be formatted according to the Hebrew locale conventions."
