index,original,single_agent_translation,single_agent_improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","בשבילי, זו הנחה די גדולה מכיוון שהיא יוצרת את התצוגה באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא על-קבוצה תקינה של IDirectXObject, ללא שינויים בחתימות הפונקציות, וכאשר שיטות חדשות נוספו רק בסוף."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הטיעון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","הניסויים אינם יוצרים את העובדות, אך הבחירה באילו ניסויים לערוך קובעת מה עובדות יתגלו."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","חלקיקים תת-אטומיים ניתן להבין רק באמצעות ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, ארגון וכפייה כדי להתממש אחרת."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","להלן תרגום מתוקן של המשפט מאנגלית לעברית:

זהו תיאור קצר וסביר של טיעון שלפיו תאוריות של הקפיטליזם המשפיעות על התוכן המדעי עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,זה יהיה המכונית הראשונה שאני משפץ.
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,לקחת את זה בסוף השבוע.
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,כבר מותקנים מתלים מותאמים אישית והרכב הופחת.
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,#זמן_לפרוק_לתוך_הפדרציה.
