index,original,translated,style_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression would be appropriate."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""ללא חתימות פונקציה ששונו"" could be expressed in a more natural way in Hebrew.
[minor]: [REGISTER] - The overall tone of the translation is slightly more formal than the source text, which uses a more casual register."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural phrasing would be more appropriate."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used.

The Hebrew translation is:
""הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.""

This translation is accurate and conveys the meaning of the source text. However, the phrasing and sentence structure feel a bit unnatural in Hebrew. A more natural way to express this could be:
""על פי קריאה זו, הניסויים אינם יוצרים את העובדות, אלא הבחירה באילו ניסויים לערוך היא שקובעת אילו עובדות יתגלו.""

This rephrasing maintains the meaning while using more natural Hebrew phrasing and sentence structure."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, the phrase ""להתממש אחרת"" (to be realized otherwise) sounds awkward and could be expressed more naturally.
[minor]: [REGISTER] - The overall tone of the translation is slightly more formal than the source text. For example, the use of ""להלן התרגום לעברית"" (Here is the translation to Hebrew) is more formal than necessary."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used.

The translation is:
זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.

The translation is grammatically correct, but the phrasing sounds overly literal and formal compared to the more concise and natural-sounding English original."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""הולך להיות הפרויקט הראשון שלי לרכב"" reads too literally and lacks the natural flow expected in the target language. A more natural expression in Hebrew would be ""זה יהיה הפרויקט הראשון שלי לרכב""."
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""מרים את זה בסוף השבוע"" reads too literally and lacks the natural flow expected in the target language. A more idiomatic translation would be something like ""אלקח את זה בסוף השבוע""."
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""כבר על קפיצים ומורידים את גובה הנסיעה"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be needed."
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"MQM annotations:
Style Errors:
[major]: [REGISTER] - The translation uses a formal register (""התפרצות"") instead of a more natural and informal expression that would be more appropriate for the context of ""venting"" into the Fediverse.
[minor]: [UNNATURAL FLOW] - The translation ""התפרצות_לפדיברס_הגיע_הזמן"" reads a bit awkwardly and lacks the natural flow of the source text."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס"" reads a bit awkwardly and lacks the natural flow expected in the target language. A more natural expression could be used.
[Minor]: [REGISTER] - The use of the formal term ""בן הזוג"" (the domestic partner) may not be the most appropriate register for the casual context of buying beer and champagne."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם בקופה, הקופאית הייתה אישה טרנסית די ברורה.","MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal tone (""אישה טרנסית"") when a more casual or neutral tone would be more appropriate in this context.
[minor]: [unnatural flow] - The phrase ""די ברורה"" sounds a bit awkward and unnatural in the target language, a more natural way to express this would be preferable."
27,And I said her nails looked cool.,.ואמרתי לה שהציפורניים שלה נראות מגניבות,"MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation ""ואמרתי לה שהציפורניים שלה נראות מגניבות"" reads a bit awkwardly and lacks the natural flow expected in the target language. A more natural way to express this in Hebrew could be ""ואמרתי לה שהציפורניים שלה נראות מעולות""."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של הקלה על פניה היה הרגשה נהדרת אבל העובדה שהיא פחדה קודם זה מחורבן לגמרי ואני שונא את זה.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal register (""החיוך של הקלה על פניה היה הרגשה נהדרת"") when a more informal register would be more appropriate given the emotional nature of the source text.
[minor]: [unnatural flow] - The translation ""זה מחורבן לגמרי ואני שונא את זה"" reads a bit awkwardly and could be phrased in a more natural way in the target language."
33,It takes the state's governor.,לוקח את המושל של המדינה.,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""לוקח את המושל של המדינה"" reads awkwardly and lacks the natural flow expected in the target language. A more natural translation would be required."
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","במחקר זה, המבוסס על וריאנט של מודל האיתות הקלאסי של לואיס (1969), אנו חוקרים את התנאים להופעת תקשורת תלוית הקשר בתרחיש ממוקם.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit too literally and lacks the natural flow expected in the target language. A more idiomatic phrasing could improve the readability."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","בו זמנית, אנו חוקרים את התנאים הסביבתיים ואת היכולות הקוגניטיביות המאפשרים פענוח הקשרי של משמעויות סמלים.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים שאילוצים סביבתיים על בחירת הנמען של המקבל יכולים להיות מנוצלים באופן חד-צדדי על ידי השולח, ללא יכולות פענוח מצד המקבל.","MQM annotations:
Style Errors:
[minor]: [UNNATURAL FLOW] - The translation reads a bit too literally and lacks the natural flow expected in the target language. A more idiomatic expression could be used."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","אשנטי דבלופמנט עובדת עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, מתקשרת עם הקהילות ומספקת תמיכה במים ותברואה, חינוך, שירותי בריאות, נטיעת עצים וחקלאות.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming"" could be translated in a more natural and idiomatic way in Hebrew.
[minor]: [REGISTER] - The use of the phrase ""קרוב ל-20 שנה"" (close to 20 years) is slightly more formal than the English ""approaching 20 years"". A more natural translation could use a less formal expression."
47,Communities gain the knowledge to embed and support their own development.,הקהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""הקהילות רוכשות את הידע להטמיע ולתמוך בפיתוח שלהן"" reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used."
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,"MQM annotations:
Style Errors:
[minor]: [REGISTER] - The translation uses a formal register (""תמונות"") instead of a more natural, conversational register that would be expected in this context."
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""הם לא יאפשרו לי להגיד להם לאיזו כתובת זה הולך ומי שולח את זה"" reads too literally and lacks the natural flow expected in the target language. A more natural expression in Hebrew would be smoother and more idiomatic."
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,בוקר למחרת ואני לא מצליח להתגבר על ההתחזות המחפירה של כריס ליכט לעיתונות שירות הציבור ב-CNN אמש.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal register (""למחרת"") instead of a more natural, conversational tone that would be expected in this context.
[minor]: [unnatural flow] - The phrasing ""ההתחזות המחפירה של כריס ליכט לעיתונות שירות הציבור"" sounds a bit awkward and overly literal, lacking the fluency of a natural Hebrew expression."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זו הייתה שערורייה, כמו פסטיבל סמלי נגד דמוקרטיה של שקרים ותלונות ב-6 בינואר, שאורגן באופן הרסני על ידי התקשורת האמריקאית.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. The phrasing ""a symbolic Jan 6 anti-democratic festivus of lies & grievance"" is awkward and does not flow naturally in Hebrew.
[major]: [REGISTER] - The use of the formal term ""שערורייה"" (outrage) does not match the informal and colloquial tone of the source text.
[minor]: [INCONSISTENCY] - The translation uses the formal term ""התקשורת האמריקאית"" (the American media) while the source text uses the more casual ""American media""."
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,"MQM annotations:
Style Errors:
[major]: [REGISTER] - The translation uses a formal register (""הקהל המביש"") which does not match the informal tone of the source text (""THE SHAMEFUL AUDIENCE"").
[minor]: [UNNATURAL FLOW] - The translation reads a bit awkwardly and lacks the natural flow of the source text."
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל רפובליקני בלבד!,"MQM annotations:
Style Errors:
[major]: [REGISTER] - The translation uses a formal register (""הסכים"") instead of a more natural, informal register that would be expected for an audience of Republicans."
63,There's a story to be reported there.,יש סיפור שצריך לדווח עליו שם.,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""יש סיפור שצריך לדווח עליו שם"" reads too literally and lacks the natural flow expected in the target language. A more natural expression in Hebrew would be something like ""יש סיפור שראוי לדווח עליו שם""."
64,The ratings--seeking delusional irresponsibility of it all.,"הבלתי-אחריות המדומיינת וחסרת-האחריות של כל זה, המחפשת דירוגים.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""הבלתי-אחריות המדומיינת וחסרת-האחריות של כל זה, המחפשת דירוגים"" reads awkwardly and lacks the natural flow expected in the target language. The phrasing is too literal and does not capture the fluency of the source text."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף מאוד מאווורר, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""יש לי מרתף מאוד מאווורר, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be to rephrase the sentence."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","לבסוף נמאס לי מהשגרה הזאת אמש, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי להן פיסטוק בדבק סופר.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""לבסוף נמאס לי מהשגרה הזאת אמש, ניקיתי את כל המלכודות מחמאת בוטנים, והדבקתי להן פיסטוק בדבק סופר."" reads too literally and lacks the natural flow expected in the target language. A more natural translation would be smoother and more idiomatic.
[minor]: [REGISTER] - The use of the formal pronoun ""להן"" (to them) in the context of setting up a prank with peanut butter and superglue may not be the most appropriate register. A more informal or casual tone could be more suitable."
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו מענקים וזיכויי מס שמעודדים פעילות עסקית רבה יותר.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""אבל הם גם קיצצו מענקים וזיכויי מס שמעודדים פעילות עסקית רבה יותר"" reads a bit awkwardly and lacks the natural flow expected in the target language. A more natural phrasing could be used."
77,"I own a business. It's successful in spite of the provincial government, not because of it.","אני בעלים של עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""אני בעלים של עסק. הוא מצליח למרות הממשלה המחוזית, לא בגללה."" reads too literally and lacks the natural flow expected in the target language. A more natural expression in Hebrew would be smoother and more idiomatic."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","זה נכון גם עכשיו כש-goatse.cx נעלם, למרות שזה יהיה מרוץ צמוד לתחתית בין goatse ל, נגיד, khou.com, שם ניסיתי לצפות בסרטון ש-Wendy שלחה לי.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, the phrase ""למרות שזה יהיה מרוץ צמוד לתחתית בין goatse ל, נגיד, khou.com"" sounds forced and awkward.
[minor]: [REGISTER] - The translation uses a more formal register than the source text, which has a more casual tone. For example, the phrase ""שם ניסיתי לצפות בסרטון"" could be more natural with a less formal verb."
94,Get some bumper stickers that are anti-Trump and plaster them all over.,השג כמה מדבקות פגוש שהן נגד טראמפ והדבק אותן בכל מקום.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""השג כמה מדבקות פגוש שהן נגד טראמפ והדבק אותן בכל מקום"" reads too literally and lacks the natural flow expected in the target language. A more natural expression would be needed."
95,Yell back at those who would try to talk over us.,צעק בחזרה לאלה שינסו לדבר מעלינו.,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""צעק בחזרה לאלה שינסו לדבר מעלינו"" reads too literally and lacks the natural flow expected in the target language. A more idiomatic Hebrew expression would be more appropriate."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,זה לא מקובל חברתית לצאת החוצה או להתנפל על אנשים כשאתה משתעל סערת ליחה.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a more formal register (""להתנפל"") than the source text (""rush up to""), which has a more casual tone.
[minor]: [unnatural flow] - The translation ""משתעל סערת ליחה"" reads a bit awkwardly and could be expressed in a more natural way in Hebrew."
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,אני חוזר. זה לא מקובל חברתית להפיץ את סערת הנזלת של הקוביד שלך לכל מקום!!!,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal register (""אני חוזר"") which does not match the informal tone of the source text (""I repeat."").
[minor]: [unnatural flow] - The phrase ""סערת הנזלת של הקוביד שלך"" sounds unnatural and overly literal compared to the more natural English expression ""your covid mucus storm""."
106,Mio knows that sorrow is life's constant companion.,"העצב הוא בן לוויה קבוע של החיים, מיו יודעת זאת.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""העצב הוא בן לוויה קבוע של החיים, מיו יודעת זאת."" reads too literally and lacks the natural flow expected in the target language. A more natural translation would be ""מיו יודעת שהעצב הוא לווייה קבועה של החיים."""
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","לאחר 4,000 של מצוקה, ייל מוצאת את עצמה במקום של אהבה ויש לה הרגשות עצומות שהיא לא יודעת מה לעשות איתן אז יש הרבה משניהם.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. The phrasing ""לאחר 4,000 של מצוקה"" is awkward and could be expressed more naturally.
[minor]: [REGISTER] - The use of the formal pronoun ""ייל"" may not be appropriate for the context, which seems to have a more personal and informal tone."
