index,original,translated,terminology_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","בשבילי, זו הנחה די גדולה כי זה רק יוצר את תצוגת המבט באמצעות אובייקט Direct3D, לא אובייקט Direct3D3.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Direct3D3"" should have been translated as ""Direct3D 3"" to match the glossary specification."
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה תקינה של IDirectXObject, ללא חתימות פונקציה ששונו, ושיטות חדשות נוספות רק בסוף.","MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""IDirectXObject2"" should be translated as ""IDirectXObject2"" instead of ""IDirectXObject2"" in the target text.
minor: WRONG TERM - The term ""על-קבוצה תקינה"" (proper superset) does not accurately convey the meaning of ""a proper superset"" in the source text."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שמדע, לפחות בחלקו, מורכב מרשימות של אמירות עובדתיות אובייקטיביות על העולם, נכונות בנפרד מכל תיאוריה שהן עשויות לתמוך בה.","MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""objectively factual statements"" is not accurately translated as ""אמירות עובדתיות אובייקטיביות"" in the Hebrew translation. A more appropriate translation would be ""קביעות עובדתיות אובייקטיביות"".
minor: WRONG TERM - The term ""העולם"" (the world) is used in the Hebrew translation, but a more precise term would be ""המציאות"" (reality) to match the English ""the world"" in this context."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים אינם יוצרים את העובדות על פי קריאה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""experiments"" should have been translated as ""ניסויים"" instead of ""הניסויים"".
[minor]: [WRONG TERM] - The glossary term ""facts"" should have been capitalized as ""עובדות"" to match the conventions in Hebrew."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","להלן התרגום לעברית:

ישנן עובדות, למשל לגבי חלקיקים תת-אטומיים, שיכולות להיות תוצאה רק של ניסויים שאפשריים רק בקפיטליזם, מכיוון שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, מכדי להתממש אחרת.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""capitalism"" in the source text should have been translated as ""קפיטליזם"" in the target text, but it was not.
[minor]: [WRONG TERM] - The term ""כפייה"" (coercion) in the target text does not accurately convey the meaning of the source term ""coercion""."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"להלן תרגום מאנגלית לעברית של המשפט שסיפקת, ללא טקסט נוסף:

זהו תיאור תמציתי ביותר של טיעון סביר לפיו תאוריות של הקפיטליזם המשפיעות על התוכן בפועל של המדע עקביות עם תאוריות הטוענות לקיומן של עובדות מדעיות אובייקטיביות.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""Kaptalizm"" in the target text does not match the glossary term ""Capitalism"" in the source text.
[major]: [WRONG TERM] - The term ""עובדות מדעיות אובייקטיביות"" in the target text is a direct translation of ""objective scientific facts"" but does not fit the context well."
13,Going to be my first project car.,הולך להיות הפרויקט הראשון שלי לרכב.,"MQM annotations:
Terminology Errors:
minor: term not applied - The Hebrew translation ""הפרויקט הראשון שלי לרכב"" does not use the correct terminology for ""project car"" which is a common term in the automotive industry."
14,Picking this up this weekend.,מרים את זה בסוף השבוע.,"MQM annotations:
Terminology Errors:
minor: term not applied - The Hebrew translation ""מרים את זה"" does not match the English glossary term ""Picking this up""."
16,Already on coil overs and lowered ride height.,כבר על קפיצים ומורידים את גובה הנסיעה.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""coil overs"" should have been translated as ""קפיצים מתכווננים"" (adjustable coil springs) instead of just ""קפיצים"" (springs).
[major]: [TERM NOT APPLIED] - The term ""ride height"" should have been translated as ""גובה הרכב"" (vehicle height) instead of ""גובה הנסיעה"" (driving height)."
20,#Venting into the Fediverse time.,#התפרצות_לפדיברס_הגיע_הזמן.,"MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""Fediverse"" in the source text should have been translated as ""פדיברס"" in the target text."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו הערב לחנות המשקאות לקנות כמה בירות ובקבוק תוסס.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""bub"" in the source text should have been translated as ""sparkling wine"" or a similar term in Hebrew, rather than using the transliteration ""תוסס"".
[minor]: [WRONG TERM] - The term ""בן הזוג"" (literally ""partner"") is a more formal term and may not be the most natural translation for ""Domestic Partner"" in this context."
