index,original,translated,accuracy_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation of ""Direct3D object, not a Direct3D3 object"" to ""אובייקט Direct3D, ולא אובייקט Direct3D3"" is incorrect because ""Direct3D3"" should be translated as ""אובייקט Direct3D3"" to maintain consistency with the source.
[Minor]: [accuracy/error_subcategory] - None
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""with no changed function signatures"" is mistranslated as ""ללא שינוי חתימות פונקציות,"" which implies no change at all, whereas the source suggests that the function signatures remain unchanged.
[Minor]: [accuracy/error_subcategory] - None
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""true apart from any theory they might support"" is mistranslated. The Hebrew translation ""נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה"" does not accurately convey the meaning of ""true apart from any theory they might support,"" which implies that the statements are true independently of any theory, not just without relation to any theory.
[Minor]: [accuracy/error_subcategory] - None
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""on this reading"" is not accurately translated. The Hebrew translation ""בקריאה זו"" suggests a specific reading or interpretation, which may not fully capture the intended meaning of the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/omission - The translation omits the phrase ""to pull off otherwise,"" which is crucial to understanding the source text's meaning.
[Major]: accuracy/mistranslation - The phrase ""can only result from experiments"" is mistranslated as ""יכולות לנבוע רק מניסויים,"" which slightly alters the meaning. The source implies a necessity due to capitalism, while the translation suggests a possibility.
[Minor]: accuracy/addition - The word ""להצליח"" (to succeed) is added in the translation, which is not present in the source text and slightly shifts the focus.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation of ""plausible argument"" as ""טיעון סביר"" is slightly misleading. ""Plausible"" implies a degree of credibility or believability, which might be better captured by ""טיעון מתקבל על הדעת"".
[Minor]: [accuracy/error_subcategory] - None
```"
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""Going to be"" is not accurately translated. The Hebrew translation ""יהיה"" translates to ""will be,"" which implies future tense but lacks the sense of ""going to be"" as an intention or plan.
[Minor]: [accuracy/error_subcategory] - None
```"
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,"Source (English):  
Picking this up this weekend.

Translation (Hebrew):  
אאסוף את זה בסוף השבוע.

MQM annotations:  
Accuracy Errors  
[Critical]: accuracy/omission - None  
[Major]: accuracy/mistranslation - The translation of ""Picking this up"" as ""אאסוף את זה"" implies a future action (""I will pick this up""), while the source text is more immediate and informal, suggesting an action planned for the weekend without specifying the subject.  
[Minor]: accuracy/addition - None"
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The term ""coil overs"" is mistranslated as ""קוילאוברים"" which is not a recognized term in Hebrew and does not convey the intended meaning.
[Minor]: [accuracy/error_subcategory] - None
```"
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The phrase ""Venting into the Fediverse time"" is mistranslated. The Hebrew translation ""#משחרר קיטור לפדיברס זמן"" does not accurately convey the intended meaning of the source text. The phrase ""into the Fediverse time"" suggests a specific context or platform (Fediverse), which is not clearly reflected in the translation.
[Major]: accuracy/omission - The translation omits the concept of ""into the Fediverse,"" which is crucial to understanding the context of the source text.
[Minor]: accuracy/mistranslation - The word ""time"" is translated as ""זמן,"" which may not fully capture the intended nuance of the source text.
```"
