index,original,translated,audience_appropriateness_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation from English to Hebrew does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the intended Hebrew-speaking audience."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

The translation from English to Hebrew does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the target audience, and there are no issues with culture-specific references or wrong language variety."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```

The translation from English to Hebrew does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the target audience."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,"```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

The translation from English to Hebrew does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the Hebrew-speaking audience, and there are no issues with cultural references or language variety."
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,"```
MQM annotations:
audience appropriateness error:
Minor: culture-specific reference - The concept of a ""project car"" may not be immediately understood by all Hebrew speakers, as it is a term commonly used in car enthusiast communities to refer to a vehicle that is purchased with the intention of modifying or restoring it as a hobby. This term may require additional context or explanation for clarity.
```"
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""coil overs"" is a technical term related to car suspension systems and may not be widely understood by a general Hebrew-speaking audience without additional context or explanation.
[Minor]: no-error
```"
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Fediverse"" is a specific reference to a decentralized social network that may not be widely recognized or understood in Hebrew-speaking cultures. It may cause confusion for the target audience if they are not familiar with this concept.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה.,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""bub"" in the source refers to ""bubbly"" or ""champagne"" in a colloquial manner. The translation uses ""שמפניה"" (champagne), which is correct, but the casual tone of ""bub"" is lost, potentially affecting the cultural tone for the target audience.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם, הקופאית היא אישה טרנסג'נדרית די ברורה.","```
MQM annotations:
audience appropriateness error:
[Minor]: [Culture-specific Reference] - The phrase ""די ברורה"" (fairly obvious) might not be culturally sensitive or appropriate when describing a trans woman, as it could be perceived as reducing a person's identity to their appearance. A more culturally sensitive translation could avoid emphasizing the visibility of the cashier's transgender identity.
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מפוחדת קודם פשוט חרא ואני שונא את זה.,"```
MQM annotations:
audience appropriateness error:
[Major]: [Culture-specific Reference] - The use of the term ""פשוט חרא"" (simply shit) in Hebrew may be considered more vulgar or offensive than the English equivalent ""FUCKING SUCKS,"" which can be perceived as less harsh in certain contexts. This could disrupt the intended cultural tone for a Hebrew-speaking audience.
```"
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
audience appropriateness error:
[Major]: culture-specific reference - The phrase ""It takes the state's governor"" is translated literally, which may not convey the intended meaning or cultural context to a Hebrew-speaking audience. The phrase could imply a specific cultural or political nuance that is not captured in the translation.
```"
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על גרסה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להופעת תקשורת התלויה בהקשר בתרחיש ממוקם.","```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```

The translation provided does not contain any audience appropriateness issues. The text is culturally and linguistically appropriate for a Hebrew-speaking audience, maintaining the intended meaning and context of the original English source."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הבהרת הקשר של משמעויות סמלים.","```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The phrase ""הבהרת הקשר"" (clarification of context) might not fully convey the nuanced meaning of ""contextual disambiguation"" in a scientific or academic context, which could lead to a slight misunderstanding for a specialized audience.
```"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים כי מגבלות סביבתיות על בחירת המושא של המקבל יכולות להיות מנוצלות באופן חד-צדדי על ידי השולח, ללא יכולות הבהרה מצד המקבל.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation from English to Hebrew does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the target audience."
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","ארגון פיתוח אשנטי עובד עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, תוך מעורבות עם הקהילות ומתן תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע לשלב ולתמוך בפיתוח שלהן.,"```
MQM annotations:
audience appropriateness error:
Minor: WRONG LANGUAGE VARIETY - The translation uses the term ""לשלב"" (to integrate), which is more commonly used in Modern Hebrew. However, for a more formal or traditional audience, a term like ""להטמיע"" (to embed) might be more culturally appropriate.
```"
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאן זה נשלח ומי שולח את זה.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא יכול להתגבר על ההעמדת הפנים המבישה של כריס ליכט בעיתונות שירות ציבורי ב-CNN אמש.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זה היה שערורייה, כמו פסטיבל אנטי-דמוקרטי סמלי של שקרים וטענות מ-6 בינואר, שהתקיים בהרס עצמי על ידי התקשורת האמריקאית.","```
MQM annotations:
audience appropriateness error:
Major: culture-specific reference - The reference to ""Jan 6"" may not be immediately understood by a Hebrew-speaking audience unfamiliar with the specific events of January 6, 2021, in the United States. This could lead to confusion or a lack of context for the intended meaning.
```"
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,"```
MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""THE SHAMEFUL AUDIENCE"" may not carry the same cultural connotations or impact in Hebrew as it does in English. The translation ""הקהל המביש"" might not fully convey the intended tone or cultural nuance of the original phrase.
```"
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל שכולו רפובליקנים!,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
``` 

In this case, the translation from English to Hebrew is culturally appropriate and does not contain any audience appropriateness errors. The translation accurately conveys the meaning of the source text without introducing any cultural misunderstandings or inappropriate content for the target audience."
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
64,The ratings--seeking delusional irresponsibility of it all.,החוסר אחריות ההזייתי לשם הרייטינג של כל זה.,"```
MQM annotations:
audience appropriateness error:
[Minor]: [culture-specific reference] - The phrase ""החוסר אחריות ההזייתי לשם הרייטינג"" may not fully capture the cultural nuance of ""ratings--seeking delusional irresponsibility"" as understood in English, potentially leading to a slight loss of cultural context for Hebrew speakers.
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף עם הרבה טיוטות, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","```
MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The Hebrew translation ""מרתף עם הרבה טיוטות"" translates back to ""basement with a lot of drafts,"" which is a literal translation of ""drafty basement."" However, the word ""טיוטות"" is more commonly understood as ""drafts"" in the context of documents or writing, rather than air drafts. This could confuse the target audience as it does not convey the intended meaning of a basement with air drafts, which is more likely to attract rodents.
```"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.","לבסוף נמאס לי מהשגרה הזו אתמול בלילה, ניקיתי את כל המלכודות מחמאת בוטנים והדבקתי פיסטוק עליהן עם דבק חזק.","```
MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The use of ""superglued"" translated as ""הדבקתי עם דבק חזק"" may not fully convey the specific cultural context of using ""superglue"" as a humorous or exaggerated action in Hebrew, which might slightly detract from the intended tone.
```"
76,But they also cut grants and tax credits that encourage more business activity.,אבל הם גם קיצצו במענקים ובזיכויי מס שמעודדים פעילות עסקית נוספת.,"```
MQM annotations:
audience appropriateness error:
Minor: WRONG LANGUAGE VARIETY - The translation uses the term ""זיכויי מס"" which is more common in Israeli Hebrew. Depending on the intended audience, a different term might be more appropriate if the target audience is not familiar with Israeli Hebrew terminology.
```"
