index,original,zero_shot_translation,improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.",לדעתי זו הנחה די גדולה מכיוון שהיא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D ולא אובייקט Direct3D3.
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject. ללא שינוי בחתימות הפונקציות ורק שיטות חדשות נוספות בסוף."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, שהן נכונות באופן עצמאי מכל תיאוריה שהן עשויות לתמוך בה."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","הניסויים לא יוצרים את העובדות לפי הבנה זו, אך הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון ויותר מדי כפייה, מכדי לבצע בדרך אחרת."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,זהו תיאור קצר של טיעון מתקבל על הדעת שמראה שתיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,זה הולך להיות רכב הפרויקט הראשון שלי.
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,אני אאסוף את זה שישי ושבת.
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,כבר מותקנים בולמי זעזועים מתכווננים והנמכת גובה נסיעה.
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,#משחרר קיטור בפדיברס עכשיו.
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה.,הפרטנר ואני הלכנו הערב לחנות המשקאות כדי לקנות כמה בירות ובקבוק שמפניה.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם, הקופאית היא אישה טרנסג'נדרית די ברורה.","כשהלכנו לשלם, הקופאית הייתה אישה טרנסית שניתן לזהות בקלות."
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,ואמרתי שהציפורניים שלה נראות נהדרות.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מפוחדת קודם פשוט חרא ואני שונא את זה.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מבוהלת קודם ממש מעצבנת ואני שונא את זה.
33,It takes the state's governor.,זה לוקח את מושל המדינה.,זה דורש את מושל המדינה.
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על גרסה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להופעת תקשורת התלויה בהקשר בתרחיש ממוקם.","בעבודה זו, המבוססת על גרסה של מודל האיתות הקלאסי של לואיס (1969) אנו בוחנים את התנאים להופעת תקשורת תלוית הקשר בסיטואציה מסוימת."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הבהרת הקשר של משמעויות סמלים.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרות הבהרת משמעות הסמלים בהקשרם."
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים כי מגבלות סביבתיות על בחירת המושא של המקבל יכולות להיות מנוצלות באופן חד-צדדי על ידי השולח, ללא יכולות הבהרה מצד המקבל.",אנו מראים כי מגבלות סביבתיות על בחירת הרפרנט של המקבל יכולות להיות מנוצלות חד-צדדית על ידי השולח. ללא יכולות הבהרה מצד המקבל.
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","ארגון פיתוח אשנטי עובד עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, תוך מעורבות עם הקהילות ומתן תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","ארגון פיתוח אשנטי עובד עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך כמעט 20 שנה. הם משתפים פעולה עם הקהילות ומספקים תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות."
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע לשלב ולתמוך בפיתוח שלהן.,קהילות רוכשות את הידע להטמיע את הפיתוח שלהן ולתמוך בו.
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,תמונות מביקורי בגאנה בשנת 2011.
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאן זה נשלח ומי שולח את זה.,הם לא יאפשרו לי למסור את הכתובת שאליה זה נשלח ומי השולח.
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא יכול להתגבר על ההעמדת הפנים המבישה של כריס ליכט בעיתונות שירות ציבורי ב-CNN אמש.,"למחרת בבוקר, אני לא יכול להתגבר על העמדת הפנים המבישה של כריס ליכט כעיתונאי שירות ציבורי ב-CNN אמש."
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זה היה שערורייה, כמו פסטיבל אנטי-דמוקרטי סמלי של שקרים וטענות מ-6 בינואר, שהתקיים בהרס עצמי על ידי התקשורת האמריקאית.","זה היה שערורייה. כמו פסטיבל סמלי של 6 בינואר, אנטי-דמוקרטי של שקרים ותרעומת, שהתקיים בצורה הרסנית על ידי התקשורת האמריקאית."
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,הקהל הבזוי.
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל שכולו רפובליקנים!,ליכט הסכים להופיע בפני קהל שכולו רפובליקני!
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,יש שם סיפור שכדאי לדווח עליו.
64,The ratings--seeking delusional irresponsibility of it all.,החוסר אחריות ההזייתי לשם הרייטינג של כל זה.,החוסר-אחריות ההזייתי במרדף אחר הרייטינג של כל זה.
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף עם הרבה טיוטות, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","יש לי מרתף עם הרבה רוח פרצים, מה שבעצם אומר שמכרסמים מוצאים בו מקלט."
