index,original,translated,linguistic_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""עבורי"" is unnecessary in Hebrew and disrupts the natural flow of the sentence.
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
linguistic conventions errors:
major: punctuation - The comma after ""IDirectXObject"" should be a period to properly separate the clauses.
minor: punctuation - The comma after ""פונקציות"" is not necessary and disrupts the flow of the sentence.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma before ""נכונות"" should be followed by a space for proper punctuation.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""אך"" is unnecessary in Hebrew and disrupts the flow of the sentence.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""כפייה"" should be removed as it is unnecessary in Hebrew punctuation conventions.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period for proper punctuation.
```"
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence should end with a period to adhere to standard punctuation conventions.
```"
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: grammar - The translation uses the future tense ""אאסוף"" (I will collect) instead of the present continuous tense implied by ""Picking this up"" in the source text. The sentence could be more naturally expressed in Hebrew as ""אני אוסף את זה בסוף השבוע"" to match the source tense.
```"
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [spelling] - The term ""קוילאוברים"" should be spelled as ""קוילאוברים"" without the additional ""א"" to maintain correct spelling.
```"
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The word ""פדיברס"" should be capitalized as ""פדיברס"" to match the capitalization convention of proper nouns in Hebrew.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The Hebrew translation does not include a period at the end of the sentence, which is a punctuation error.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם, הקופאית היא אישה טרנסג'נדרית די ברורה.","```
MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The use of ""היא"" (she is) in the sentence is incorrect. It should be ""הייתה"" (was) to match the past tense context of the source sentence.
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The sentence is missing a period at the end.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מפוחדת קודם פשוט חרא ואני שונא את זה.,"```
MQM annotations:
linguistic conventions errors:
[Major]: [Punctuation] - The sentence lacks a period at the end, which disrupts the flow.
```"
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is incorrect. The translation ""זה לוקח את מושל המדינה"" is ungrammatical in Hebrew. A more grammatically correct structure would be ""זה דורש את מושל המדינה"" or ""זה מצריך את מושל המדינה"" depending on the intended meaning.
```"
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על גרסה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להופעת תקשורת התלויה בהקשר בתרחיש ממוקם.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""לואיס (1969)"" is unnecessary in Hebrew punctuation conventions.
```"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הבהרת הקשר של משמעויות סמלים.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: agreement - The word ""המאפשרים"" should agree in gender and number with ""היכולות הקוגניטיביות"" and should be ""המאפשרות"".
[Minor]: None
```"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים כי מגבלות סביבתיות על בחירת המושא של המקבל יכולות להיות מנוצלות באופן חד-צדדי על ידי השולח, ללא יכולות הבהרה מצד המקבל.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""השולח"" should be replaced with a period to correctly separate the clauses.
```"
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","ארגון פיתוח אשנטי עובד עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, תוך מעורבות עם הקהילות ומתן תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""קרוב ל-20 שנה"" should be a period to separate the two main clauses.
```"
