index,original,translated,style_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","```
MQM annotations:
minor: style/unnatural flow - The phrase ""עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה"" could be rephrased for a more natural flow in Hebrew. A more natural phrasing might be ""לדעתי, זו הנחה די גדולה מכיוון שהיא יוצרת את חלון התצוגה"".
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
Styles error:
minor: DO NOT TRANSLATE - ""IDirectXObject2"" and ""IDirectXObject"" should not be translated as they are technical terms or product names.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה"" reads slightly awkwardly and could be rephrased for a more natural flow in Hebrew.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","```
MQM annotations:
Styles error:
[minor]: [style/unnatural flow] - The phrase ""הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות"" is somewhat awkward and could be rephrased for better flow, such as ""הבחירה באילו ניסויים לערוך קובעת אילו עובדות יתגלו"".
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","```
MQM annotations:
Style Errors:
major: unnatural_flow - The translation ""משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת"" is too literal and awkward. A more natural phrasing would improve readability.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,"```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""תיאור קצר מאוד של טיעון סביר לפיו"" could be rephrased for a more natural flow in Hebrew, such as ""תיאור קצר של טיעון הגיוני שמראה ש"".
```"
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,"```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The translation ""יהיה רכב הפרויקט הראשון שלי"" is grammatically correct but reads slightly awkwardly. A more natural flow in Hebrew might be ""זה יהיה רכב הפרויקט הראשון שלי.""
```"
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The translation ""אאסוף את זה בסוף השבוע"" is grammatically correct but sounds slightly awkward in Hebrew. A more natural phrasing could be ""אני אאסוף את זה בסוף השבוע.""
```"
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
Styles error:
[minor]: [style/unnatural flow] - The phrase ""כבר על קוילאוברים והנמכת גובה נסיעה"" is grammatically correct but reads awkwardly in Hebrew. A more natural phrasing could improve the flow.
```"
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,"```
MQM annotations:
major: style/unnatural flow - The phrase ""משחרר קיטור לפדיברס זמן"" reads awkwardly in Hebrew and lacks natural flow. A more natural expression would be ""משחרר קיטור בפדיברס"" or ""משחרר קיטור בפדיברס עכשיו"".
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה.,"```
MQM annotations:
Styles error:
[minor]: [style/register] - The use of ""בן הזוג"" (Ben Hazug) is formal and does not match the informal tone of ""The Domestic Partner"" in the source text.
[minor]: [style/unnatural flow] - The phrase ""הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה"" reads awkwardly in Hebrew. A more natural flow would be ""הלכנו הערב לחנות המשקאות כדי לקנות כמה בירות ובקבוק שמפניה"".
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם, הקופאית היא אישה טרנסג'נדרית די ברורה.","```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""אישה טרנסג'נדרית די ברורה"" (a fairly obvious trans woman) is a literal translation and sounds awkward in Hebrew. A more natural expression would be ""אישה טרנסג'נדרית שניתן לזהות בקלות"" (a trans woman who is easily recognizable).
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The phrase ""נראות מגניבות"" is a literal translation of ""looked cool"" and sounds slightly awkward in Hebrew. A more natural expression could be used.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מפוחדת קודם פשוט חרא ואני שונא את זה.,"```
MQM annotations:
major: style/register - The use of ""חרא"" (crap/shit) is very informal and may not match the intended register of the source text.
minor: style/unnatural flow - The phrase ""פשוט חרא ואני שונא את זה"" is a bit awkward and could be rephrased for a more natural flow in Hebrew.
```"
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The translation ""זה לוקח את מושל המדינה"" is awkward and does not flow naturally in Hebrew. A more natural translation would be ""זה דורש את מושל המדינה"" or ""זה מצריך את מושל המדינה"".
```"
