index,original,translated,terminology_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.","עבורי, זו הנחה די גדולה כי היא יוצרת את חלון התצוגה רק באמצעות אובייקט Direct3D, ולא אובייקט Direct3D3.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""Direct3D3"" should be translated as ""Direct3D3"" in Hebrew, but it is missing in the translation.
```"
3,"Now, I get that in practice, IDirectXObject2 is typically a proper superset of IDirectXObject, with no changed function signatures, and new methods only added to the end.","עכשיו, אני מבין שבפועל, IDirectXObject2 הוא בדרך כלל על-קבוצה נכונה של IDirectXObject, ללא שינוי חתימות פונקציות, ורק שיטות חדשות נוספות בסוף.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""IDirectXObject2"" should be translated as ""אובייקט IDirectX2"" according to the glossary.
Minor: TERM NOT APPLIED - The term ""IDirectXObject"" should be translated as ""אובייקט IDirectX"" according to the glossary.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","נניח לצורך הדיון שהמדע לפחות בחלקו מורכב מרשימות של הצהרות עובדתיות אובייקטיביות על העולם, נכונות ללא קשר לכל תיאוריה שהן עשויות לתמוך בה.","```
MQM annotations:
Terminology errors:
no-error
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","הניסויים לא יוצרים את העובדות בקריאה זו, אך הבחירה באילו ניסויים לערוך שולטת באילו עובדות מתגלות.","```
MQM annotations:
Terminology errors:
no-error
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.","כמה עובדות, למשל על חלקיקים תת-אטומיים, יכולות לנבוע רק מניסויים שאפשריים רק בקפיטליזם, משום שהם דורשים יותר מדי משאבים, יותר מדי ארגון, יותר מדי כפייה, כדי להצליח בדרך אחרת.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""subatomic particles"" was translated as ""חלקיקים תת-אטומיים"" but should be checked against the glossary to ensure compliance.
Minor: TERM NOT APPLIED - The term ""capitalism"" was translated as ""קפיטליזם"" but should be checked against the glossary to ensure compliance.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,זהו תיאור קצר מאוד של טיעון סביר לפיו תיאוריות של קפיטליזם המשפיעות על התוכן הממשי של המדע עולות בקנה אחד עם תיאוריות הטוענות לקיומם של עובדות מדעיות אובייקטיביות.,"```
MQM annotations:
Terminology errors:
no-error
```"
13,Going to be my first project car.,יהיה רכב הפרויקט הראשון שלי.,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""project car"" should be translated according to the glossary, but it is not applied in the translation.
```"
14,Picking this up this weekend.,אאסוף את זה בסוף השבוע.,"```
MQM annotations:
Terminology errors:
no-error
```"
16,Already on coil overs and lowered ride height.,כבר על קוילאוברים והנמכת גובה נסיעה.,"```
MQM annotations:
Terminology errors:
Minor: WRONG TERM - The term ""קוילאוברים"" is a transliteration of ""coil overs"" and may not be the most appropriate term in Hebrew. A more accurate term could be used if available in the glossary.
```"
20,#Venting into the Fediverse time.,#משחרר קיטור לפדיברס זמן.,"```
MQM annotations:
Terminology errors:
major: TERM NOT APPLIED - The term ""Fediverse"" was not translated according to the glossary specification.
```"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,בן הזוג ואני הלכנו לחנות המשקאות הערב לקנות כמה בירות ובקבוק שמפניה.,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""bub"" should have been translated as ""שמפניה"" (champagne) in Hebrew, but it was not applied correctly in the translation.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","כשהלכנו לשלם, הקופאית היא אישה טרנסג'נדרית די ברורה.","```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""trans woman"" should be translated as ""אישה טרנסית"" according to the glossary, but ""אישה טרנסג'נדרית"" was used instead.
```"
27,And I said her nails looked cool.,ואמרתי שהציפורניים שלה נראות מגניבות.,"```
MQM annotations:
Terminology errors:
no-error
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,החיוך של ההקלה על פניה היה תחושה נהדרת אבל העובדה שהיא הייתה מפוחדת קודם פשוט חרא ואני שונא את זה.,"```
MQM annotations:
Terminology errors:
none
```

In this case, there are no terminology errors in the translation provided. The translation accurately reflects the source text, and there are no issues with glossary terms."
33,It takes the state's governor.,זה לוקח את מושל המדינה.,"```
MQM annotations:
Terminology errors:
major: TERM NOT APPLIED - The term ""state's governor"" should be translated according to the glossary, but ""מושל המדינה"" is used instead.
```"
38,"In this work, based on a variant of the classical Lewis (1969) signaling model, we explore the conditions for the emergence of context-dependent communication in a situated scenario.","בעבודה זו, המבוססת על גרסה של מודל האיתות הקלאסי של לואיס (1969), אנו בוחנים את התנאים להופעת תקשורת התלויה בהקשר בתרחיש ממוקם.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""context-dependent communication"" should have been translated as ""תקשורת תלויה בהקשר"" according to the glossary.
```"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","במקביל, אנו חוקרים את התנאים הסביבתיים והיכולות הקוגניטיביות המאפשרים הבהרת הקשר של משמעויות סמלים.","```
MQM annotations:
Terminology errors:
None
```"
41,"We show that environmental constraints on the receiver's referent choice can be unilaterally exploited by the sender, without disambiguation capabilities on the receiver's end.","אנו מראים כי מגבלות סביבתיות על בחירת המושא של המקבל יכולות להיות מנוצלות באופן חד-צדדי על ידי השולח, ללא יכולות הבהרה מצד המקבל.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""referent"" should have been translated using a specific term from the glossary if available, rather than ""מושא"" which is a general term.
```"
46,"Ashanti Development has been working with an ever-expanding number of communities in the Ashanti region of Ghana for approaching 20 years, engaging with communities and providing support with water and sanitation, education, healthcare, tree planting and farming.","ארגון פיתוח אשנטי עובד עם מספר הולך וגדל של קהילות באזור אשנטי בגאנה במשך קרוב ל-20 שנה, תוך מעורבות עם הקהילות ומתן תמיכה במים ותברואה, חינוך, בריאות, נטיעת עצים וחקלאות.","```
MQM annotations:
Terminology errors:
none
```"
47,Communities gain the knowledge to embed and support their own development.,קהילות רוכשות את הידע לשלב ולתמוך בפיתוח שלהן.,"```
MQM annotations:
Terminology errors:
no-error
```"
52,Photos from my visit to Ghana in 2011.,תמונות מהביקור שלי בגאנה ב-2011.,"```
MQM annotations:
Terminology errors:
no-error
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,הם לא יאפשרו לי להגיד להם לאן זה נשלח ומי שולח את זה.,"```
MQM annotations:
Terminology errors:
None
```"
58,The next morning and I can't get past Chris Licht's disgraceful pretense of public service journalism on CNN last night.,למחרת בבוקר ואני לא יכול להתגבר על ההעמדת הפנים המבישה של כריס ליכט בעיתונות שירות ציבורי ב-CNN אמש.,"```
MQM annotations:
Terminology errors:
None
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.","זה היה שערורייה, כמו פסטיבל אנטי-דמוקרטי סמלי של שקרים וטענות מ-6 בינואר, שהתקיים בהרס עצמי על ידי התקשורת האמריקאית.","```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""Jan 6"" should be translated as ""6 בינואר"" in Hebrew, but it is not highlighted as a glossary entry.
```"
60,THE SHAMEFUL AUDIENCE.,הקהל המביש.,"```
MQM annotations:
Terminology errors:
no-error
```"
61,Licht AGREED to an all Republican audience!,ליכט הסכים לקהל שכולו רפובליקנים!,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""Republican"" should have been translated as ""רפובליקני"" in Hebrew according to the glossary.
```"
63,There's a story to be reported there.,יש שם סיפור לדווח עליו.,"```
MQM annotations:
Terminology errors:
None
```"
64,The ratings--seeking delusional irresponsibility of it all.,החוסר אחריות ההזייתי לשם הרייטינג של כל זה.,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""ratings"" was not translated according to the glossary specification. The translation should have used the specific term for ""ratings"" if it exists in the glossary.
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","יש לי מרתף עם הרבה טיוטות, מה שבעצם אומר שאני יכול לקבל הרבה מכרסמים שמוצאים בו מקלט.","```
MQM annotations:
Terminology errors:
Major: TERM NOT APPLIED - The term ""drafty"" was translated as ""טיוטות"" (drafts) instead of using a term that conveys the meaning of ""drafty"" in the context of a basement, which should relate to air leaks or cold air.
```"
