index,original,translated,design_and_markup_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"MQM annotations:
design and markup errors:
minor: markup tag/code - Code snippets are not enclosed in a code block or marked up in a way that distinguishes them from the surrounding text. This makes it harder to read and understand.
minor: markup tag/code - Code snippets are not enclosed in a code block or marked up in a way that distinguishes them from the surrounding text. This makes it harder to read and understand.
minor: markup tag/code - Code snippets are not enclosed in a code block or marked up in a way that distinguishes them from the surrounding text. This makes it harder to read and understand.
minor: markup tag/code - Code snippets are not enclosed in a code block or marked up in a way that distinguishes them from the surrounding text. This makes it harder to read and understand."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"```
MQM annotations:
design and markup errors:
None
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"MQM annotations:
design and markup errors:
None"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors found."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"```
MQM annotations:
design and markup errors:
None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"```
MQM annotations:
design and markup errors:
None
```"
14,Picking this up this weekend.,週末に引き取ります。,"```
MQM annotations:
design and markup errors:
minor: no-error - None
```"
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"MQM annotations:
design and markup errors:
minor: no-error - None"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"```
MQM annotations:
design and markup errors:
None
```"
18,Personal experiences?,個人的な経験？,"MQM annotations:
design and markup errors:
minor: no-error - No design or markup errors were found in the translation."
19,I know they're not fast compared,それに比べて速くないのは分かっています。,"MQM annotations:
design and markup errors:
critical: no-error
major: no-error
minor: no-error"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,"MQM annotations:
design and markup errors:
minor: no-error - No design or markup errors found in the translation."
36,NY is the best hope for accountability,ニューヨークこそが説明責任を果たすための最良の希望だ。,"```
MQM annotations:
design and markup errors:
None
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,"```
MQM annotations:
design and markup errors:
```"
