index,original,zero_shot_translation,improved_translation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,実は、ＩDirect3D::CreateViewport()を呼び出すと、私が実装したＩDirect3DViewportではなく、それにメソッドを追加したＩDirect3DViewport3が返されると思い込んでいた。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,しかし、これは必ずしもそうではなく、該当のオブジェクトを生成するインターフェースによって事情が異なる場合がある。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,とりあえず、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストから成り、理論に関係なく真であると仮定しよう。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,科学にそのような事実が存在するのが真実だとしても、科学的事実は理論含意的であると主張することは依然として可能だ。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,この見方では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,たとえば、亜原子粒子に関する研究など、非常に多くの資源、組織、そして実行力が必要な実験の中には、資本主義体制下でのみ実現可能なものがある。
14,Picking this up this weekend.,週末に引き取ります。,週末に取りに行きます。
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,車高調が入っていて、車高も下がっています。
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,少し調べてみたのですが、もしこの車について何かご存知の方がいらっしゃいましたら教えていただけると嬉しいです。
18,Personal experiences?,個人的な経験？,個人的なご経験ですか？
19,I know they're not fast compared,それに比べて速くないのは分かっています。,速くないのは分かっています。
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,俺はボードショーツにランニングシャツ姿、連れ合いは全身にタトゥーがあり、自分で「ネオナチみたい」と言っていた新しい髪型だった。
36,NY is the best hope for accountability,ニューヨークこそが説明責任を果たすための最良の希望だ。,ニューヨークこそが説明責任を期待できる最良の場所だ。
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,現実のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠がある。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存的なコミュニケーションは、文脈の分布といった環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,文脈依存性コミュニケーションは、文脈の分布のような環境特性に大きく影響される、状況依存的な多層現象であると考えられます。
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に、様々なプロジェクトを支援する貴重な半年間を過ごすことができました。,2011年、幸運にもニコラスと共に様々なプロジェクトを支援する貴重な半年を過ごせた。
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会った時、進捗状況、特に植林と農家支援について聞けて嬉しかったよ。,週末に会った時、進捗状況、特に植林と農家へのサポートについて聞けて嬉しかったよ。
61,Licht AGREED to an all Republican audience!,リヒトは共和党支持者のみの聴衆に同意しました！,リヒトは共和党の聴衆に同意しました。
65,It can't be repeated.,繰り返せません。,繰り返すことはできません。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨夜、ついにこの繰り返しにうんざりして、ねり消しについてたピーナッツバターを全部取り除いて、罠にピスタチオを瞬間接着剤でくっつけた。,昨夜、ついにこの繰り返しにうんざりして、罠についていたピーナッツバターを全部取り除き、罠にピスタチオを瞬間接着剤でくっつけた。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",ちなみに、市販のほぼ全ての「人道的な」罠を試しましたが、ほとんど効果がありませんでした。,いろいろ試しましたが、市販のほとんど全ての「動物に優しい」罠は、ほとんど効果がありませんでした。
74,"They aren't, at least not in Alberta.",少なくとも、アルバータ州ではね。,少なくとも、アルバータ州ではそうではありません。
75,Sure they cut business taxes.,確かに彼らは法人税を減税した。,確かに彼らは法人税を削減した。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,「グラスゴーまで彼を送るだけなんです」と私は説明した、旅の連れを指さしながら。
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「グラスゴーにちょっと彼を降ろしてくるだけなんです、なんてあんまり聞かないセリフだな」と切符売り場の人は言った。,「グラスゴーで降ろすだけだなんて言う人は、あまりいませんね」と切符売り場の人は言った。
90,And they are truly nuts.,彼らは本当に頭がおかしい。,彼らは本当にどうかしている。
95,Yell back at those who would try to talk over us.,私たちを言い負かそうとする人たちには、言い返してやりなさい。,私たちの言葉を遮ろうとする人たちには、言い返してやりなさい。
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私が同時に帰宅したんだけど、向かい側から彼の咳と、コロナの痰が嵐のように吹き上がる音が聞こえてきた。,隣人と私が同時に帰宅したところ、向かい側からコロナのせいでひどく咳き込む音が聞こえてきた。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったのに、結局追いつかれて話しかけられちゃった。,彼を避けるために急いで自分のアパートに駆け込んだが、結局追いつかれて話しかけられてしまった。
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.",4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある。,4000もの苦難を経て、Ylは愛に溢れた場所に辿り着き、どうすればいいか分からないほどの感情に圧倒されている。その両方が彼女の中で渦巻いているのだ。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#MangoMoronの大失敗は、とんでもない大失敗だった。,昨日の#MangoMoron騒動は、本当にとんでもない失態だった。
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到来するでしょう。,来週の半ばには寒冷前線が来るでしょう。
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が確認されました。,今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が広がっているのが確認されました。
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大限に高めましょう。
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーがどのように実装、カスタマイズ、インテグレーション、継続的なサポートで貴社を支援し、Salesforceエコシステムでビジネスを成功に導くかをご紹介します。,Salesforceパートナーが実装、カスタマイズ、インテグレーションズ、継続的なサポートを通じて貴社のSalesforceエコシステムでのビジネスの成功を支援する方法をご紹介します。
137,But another individual often flies aboard that ship.,しかし、その船にはもう一人の人物がよく搭乗している。,しかし、その船にはもう一人がよく乗っている。
142,The Last of Us is an easy and canonical example of dad-ification.,The Last of Usは、ダッド化の分かりやすく典型的な例だ。,『The Last of Us』は、典型的な「ダディ化」の代表例と言えるでしょう。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父性化とは、親のような立場の者が子供や子供の代わりとなる者を世話したり保護したりしなければならない状況に対する解決策が、圧倒的な力であり、その力を使って非常に特異な形の力関係を強制することであると通常仮定する。,父親化とは、親が子供やそれに準ずる者を世話または保護しなければならない状況に対し、圧倒的な力を行使し、特定の力関係を強制することが解決策であるとみなす考え方を指すことが多い。
147,Here's a quick overview of how to make use of our website.,当ウェブサイトのご利用方法の簡単な概要です。,当サイトのご利用方法について簡単に説明します。
148,- We send out notifications when airfare goes on sale.,航空券がセールになった際にお知らせを送信します。,航空券が割引になったら、お知らせを送信します。
