index,original,translated,locale_convention_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"```
locale conventions:

MQM annotations:
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"locale conventions:

MQM annotations:"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"```
MQM annotations:
```"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"locale conventions:

MQM annotations:"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"locale conventions:

MQM annotations:"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"locale conventions:

MQM annotations:"
14,Picking this up this weekend.,週末に引き取ります。,"locale conventions:

MQM annotations:"
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"locale conventions:

MQM annotations:"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"locale conventions:

MQM annotations:"
18,Personal experiences?,個人的な経験？,"locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
19,I know they're not fast compared,それに比べて速くないのは分かっています。,"locale conventions:

MQM annotations:"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,"locale conventions:

MQM annotations:"
36,NY is the best hope for accountability,ニューヨークこそが説明責任を果たすための最良の希望だ。,"locale conventions:

MQM annotations:"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,"locale conventions:

MQM annotations:"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存的なコミュニケーションは、文脈の分布といった環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,"locale conventions:

MQM annotations:"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に、様々なプロジェクトを支援する貴重な半年間を過ごすことができました。,"locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会った時、進捗状況、特に植林と農家支援について聞けて嬉しかったよ。,"locale conventions:

MQM annotations:"
61,Licht AGREED to an all Republican audience!,リヒトは共和党支持者のみの聴衆に同意しました！,"locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
65,It can't be repeated.,繰り返せません。,"locale conventions:

MQM annotations:"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨夜、ついにこの繰り返しにうんざりして、ねり消しについてたピーナッツバターを全部取り除いて、罠にピスタチオを瞬間接着剤でくっつけた。,"locale conventions:

MQM annotations:
minor: accuracy/mistranslation - ""ねり消し"" (neri keshi) translates to ""kneaded eraser"" or ""putty eraser,"" which is an incorrect translation of ""peanut butter."""
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",ちなみに、市販のほぼ全ての「人道的な」罠を試しましたが、ほとんど効果がありませんでした。,"locale conventions:

MQM annotations:
None"
74,"They aren't, at least not in Alberta.",少なくとも、アルバータ州ではね。,"locale conventions:

MQM annotations:"
75,Sure they cut business taxes.,確かに彼らは法人税を減税した。,"locale conventions:

MQM annotations:"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,"locale conventions:

MQM annotations:"
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「グラスゴーにちょっと彼を降ろしてくるだけなんです、なんてあんまり聞かないセリフだな」と切符売り場の人は言った。,"locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
90,And they are truly nuts.,彼らは本当に頭がおかしい。,"locale conventions:

MQM annotations:"
95,Yell back at those who would try to talk over us.,私たちを言い負かそうとする人たちには、言い返してやりなさい。,"locale conventions:

MQM annotations:"
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私が同時に帰宅したんだけど、向かい側から彼の咳と、コロナの痰が嵐のように吹き上がる音が聞こえてきた。,"locale conventions:

MQM annotations:"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったのに、結局追いつかれて話しかけられちゃった。,"locale conventions:

MQM annotations:"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.",4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある。,"locale conventions:

MQM annotations:"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#MangoMoronの大失敗は、とんでもない大失敗だった。,"locale conventions:

MQM annotations:"
