index,original,zero_shot_translation,annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"MQM annotations:
Accuracy Errors
[no-error]: no-error - No accuracy errors were detected.

Fluency Errors
[no-error]: no-error - No fluency errors were detected.

Style Errors
[no-error]: no-error - No style errors were detected.

Terminology Errors
[no-error]: no-error - No terminology errors were detected."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"MQM annotations:
no-error"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"MQM annotations:
no-error"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"MQM annotations:
no-error"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"MQM annotations:
no-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"MQM annotations:
no-error"
14,Picking this up this weekend.,週末に引き取ります。,"MQM annotations:
no-error"
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"MQM annotations:
no-error"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"MQM annotations:
no-error"
18,Personal experiences?,個人的な経験？,"MQM annotations:
no-error"
19,I know they're not fast compared,それに比べて速くないのは分かっています。,"MQM annotations:
No error detected."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",俺はボードショーツにランニングシャツ姿、そして連れ合いは全身タトゥーで、自分で「ネオナチみたい」って言ってた新しい髪型。,"MQM annotations:
No error detected."
36,NY is the best hope for accountability,ニューヨークこそが説明責任を果たすための最良の希望だ。,"MQM annotations:
no-error"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号の送受信に還元できないという重要な証拠がある。,"MQM annotations:
no-error"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存的なコミュニケーションは、文脈の分布といった環境特性に大きく影響される、状況依存的な多層現象であると考えられます。,"MQM annotations:
no-error"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に、様々なプロジェクトを支援する貴重な半年間を過ごすことができました。,"MQM annotations:
no-error"
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会った時、進捗状況、特に植林と農家支援について聞けて嬉しかったよ。,"MQM annotations:
no-error"
61,Licht AGREED to an all Republican audience!,リヒトは共和党支持者のみの聴衆に同意しました！,"MQM annotations:
no-error"
65,It can't be repeated.,繰り返せません。,"MQM annotations:
no-error"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨夜、ついにこの繰り返しにうんざりして、ねり消しについてたピーナッツバターを全部取り除いて、罠にピスタチオを瞬間接着剤でくっつけた。,"MQM annotations:
Accuracy Errors
[Major]: [mistranslation] - ""cleaned all the traps of peanut butter"" translated to ""ピーナッツバターを全部取り除いて"" (removed all the peanut butter). While technically correct, the nuance of ""cleaned the traps of peanut butter"" implies removing peanut butter *from* the traps. The translation only says 'removed all peanut butter' without a clear origin. It should say something like 罠からピーナッツバターを綺麗にした (cleaned the peanut butter from the traps).

Fluency Errors
[Minor]: [style/awkward] - ""ねり消しについてたピーナッツバターを全部取り除いて"" (removed all the peanut butter that was on the kneaded eraser). This portion is unusual and likely nonsensical. The source text doesn't mention a kneaded eraser. This appears to be a hallucination of the translation model and not something in the original source. However, the translation overall conveys the meaning of cleaning peanut butter, so it doesn't prevent comprehension."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",ちなみに、市販のほぼ全ての「人道的な」罠を試しましたが、ほとんど効果がありませんでした。,"MQM annotations:
no-error"
74,"They aren't, at least not in Alberta.",少なくとも、アルバータ州ではね。,"MQM annotations:
no-error"
75,Sure they cut business taxes.,確かに彼らは法人税を減税した。,"MQM annotations:
no-error"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「グラスゴーまで彼を送っていくだけなんです」と私は説明しようとした、旅の連れを指さしながら。,"MQM annotations:
no-error"
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「グラスゴーにちょっと彼を降ろしてくるだけなんです、なんてあんまり聞かないセリフだな」と切符売り場の人は言った。,"MQM annotations:
no-error"
90,And they are truly nuts.,彼らは本当に頭がおかしい。,"MQM annotations:
no-error"
95,Yell back at those who would try to talk over us.,私たちを言い負かそうとする人たちには、言い返してやりなさい。,"MQM annotations:
no-error"
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私が同時に帰宅したんだけど、向かい側から彼の咳と、コロナの痰が嵐のように吹き上がる音が聞こえてきた。,"MQM annotations:
no-error"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったのに、結局追いつかれて話しかけられちゃった。,"MQM annotations:
no-error"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.",4000もの苦難の末、Ylは愛に満ちた場所にたどり着き、どうしていいかわからないほどの大きな感情に戸惑っている。だから、その両方がたくさんある。,"MQM annotations:
no-error"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#MangoMoronの大失敗は、とんでもない大失敗だった。,"MQM annotations:
no-error"
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到来するでしょう。,"MQM annotations:
no-error"
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",今朝早く、IR衛星と地上観測により、低層の層雲が拡大しており、まだらな<URL>が確認されました。,"MQM annotations:
No error detected."
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけて、その専門知識を活用し、CRM投資の価値を最大化しましょう。,"MQM annotations:
no-error"
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーがどのように実装、カスタマイズ、インテグレーション、継続的なサポートで貴社を支援し、Salesforceエコシステムでビジネスを成功に導くかをご紹介します。,"MQM annotations:
no-error"
137,But another individual often flies aboard that ship.,しかし、その船にはもう一人の人物がよく搭乗している。,"MQM annotations:
no-error"
142,The Last of Us is an easy and canonical example of dad-ification.,The Last of Usは、ダッド化の分かりやすく典型的な例だ。,"MQM annotations:
no-error"
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父性化とは、親のような立場の者が子供や子供の代わりとなる者を世話したり保護したりしなければならない状況に対する解決策が、圧倒的な力であり、その力を使って非常に特異な形の力関係を強制することであると通常仮定する。,"MQM annotations:
no-error"
147,Here's a quick overview of how to make use of our website.,当ウェブサイトのご利用方法の簡単な概要です。,"MQM annotations:
no-error"
148,- We send out notifications when airfare goes on sale.,航空券がセールになった際にお知らせを送信します。,"MQM annotations:
no-error"
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,ウクライナの子供たちは、平和で安全な環境で成長する権利を有します。,"MQM annotations:
no-error"
159,Over time dart became my go-to for quick UI.,時間の経過とともに、dartは手軽なUIに最適な選択肢になった。,"MQM annotations:
no-error"
164,Echidna with amethyst and magenta spikes.,アメジストとマゼンタのトゲを持つハリモグラ,"MQM annotations:
no-error"
166,Their tail is extremely thick.,彼らの尻尾は非常に太いです。,"MQM annotations:
no-error"
168,Their eyes are pear and they wear scarlet cateye glasses.,彼らの目はナシのようで、真っ赤なキャッツアイの眼鏡をかけている。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - ""Pear"" refers to the shape, not the fruit. Although understandable, it's not the best translation."
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",ブラム・ストーカー、マックス・シュレック、ステファニー・メイヤーが彼らを悪く見せようと最大限の努力をしたにもかかわらず、皆…,"MQM annotations:
no-error"
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",現実では、母が何年も前に私が作ったパズルゲームを気に入って、ほとんどの隠し要素を自力で見つけたので、褒め言葉がお母さん目線だけのものではなかったんです。,"MQM annotations:
no-error"
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","Here's the Japanese translation:

**北京語（標準中国語）もしくは福建語に翻訳する必要があり、どちらも全く分からないので、翻訳のみを提供してください。**","MQM annotations:
Accuracy Errors
[Critical]: [Mistranslation] - The Japanese translation mistranslates ""Mandarin"" as ""Beijing language"" and ""Hokkien"" as ""Fujian language"". While Beijing language is a standard Mandarin, and Fujian language is closely related to Hokkien, the translation loses the nuance of the original English source. The instruction also specifically asked for the translation in Mandarin/Hokkien, not a Japanese translation.
[Critical]: [Addition] - The Japanese translation adds ""translation only to be provided"", which is not stated in the original English source."
179,Been toying with this thought for a little while:,この考えをしばらくの間、弄んでいる。,"MQM annotations:
no-error"
180,"Mental health is often seen as something separate from ""regular"" health.",メンタルヘルスは、しばしば「普通の」健康とは別のものとして見なされる。,"MQM annotations:
no-error"
182,Because it happens in the mind and seems less tangible than physical health.,心の中で起こり、身体的な健康よりも実体がなさそうに見えるから。,"MQM annotations:
no-error"
194,Very much worth having a go at.,ぜひ挑戦する価値あり。,"MQM annotations:
no-error"
196,Playing around a bit with Flutter.,Flutterを少し触ってみています。,"MQM annotations:
no-error"
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",正直に言うと、グーグルの技術に事業の基盤を置きたくはない。一方で、グーグルは魅力的なクロスプラットフォーム体験を生み出す本当のインセンティブを持っている数少ない大企業の一つであり、それは明らかだ。,"MQM annotations:
no-error"
199,Also please refrain from telling me that google/flutter apps suck on iOS and macOS.,また、GoogleやFlutter製のアプリがiOSやmacOSでは使い物にならないといった話はしないで、翻訳だけを提供してください。,"MQM annotations:
Accuracy Errors
[Minor]: [addition] - The translation includes ""翻訳だけを提供してください"", which means ""just provide the translation"". This is an instruction that wasn't present in the original text, indicating an addition."
200,Cross platform is hard if you want to do it well.,クロスプラットフォームをきちんとやるのは難しい。,"MQM annotations:
no-error"
201,I know that.,知ってるよ。,"MQM annotations:
no-error"
202,Thank you to those people who have downloaded the latest update to Leasey.,Leaseyの最新アップデートをダウンロードしてくださった皆様、ありがとうございます。,"MQM annotations:
no-error"
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,なぜ私の脳が理解できないのか正確にはわからない。ツールが広範かつ曖昧すぎて、「選択肢が多すぎる」せいで脳がフリーズしてしまうのかもしれない。,"MQM annotations:
no-error"
211,Grafana looks pretty.,Grafanaは見栄えが良いですね。,"MQM annotations:
no-error"
213,"So with a new #FFXIV raid tier approaching, I've long been thinking ""man, I'd like to try proper raiding, but Party Finder sounds like a mess, and I'm never gonna find a static that'll have me.""",新しい #FFXIV のレイド tier が近づいてきて、「ちゃんとレイドに挑戦してみたいなあ、でもパーティ募集は荒れてそうだし、固定なんて見つかるわけないよなあ」ってずっと考えてた。,"MQM annotations:
no-error"
214,"So I thought, screw it!",くそくらえ！,"MQM annotations:
Accuracy Errors
[no-error]: no-error - The translation accurately conveys the sentiment."
216,"Full of people too anxious to try joining a raid static, with no expectations of being good at all!",レイド固定に入るのを試すのをためらうほど不安で、上手くなろうという期待は全くない人たちでいっぱい！,"MQM annotations:
Accuracy Errors
[No Error]: No Error - The translation accurately reflects the source text."
219,I was a voracious reader in my youth.,若い頃は、本の虫だった。,"MQM annotations:
no-error"
227,They're not gonna talk about this on Bloomberg!,ブルームバーグじゃ報道されないだろうな！,"MQM annotations:
no-error"
228,"But if Spotify has a good quarter, they will.",しかし、もしスポティファイの業績が良ければ、そうなるでしょう。,"MQM annotations:
no-error"
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,全国の空洞化し荒廃した都市を再建させよう。,"MQM annotations:
no-error"
231,These people want to improve their lives.,これらの人々は、生活を向上させたいと思っています。,"MQM annotations:
no-error"
234,"I am so tired of the headlines claiming that ""Remote work is dead."" or that ""Remote work was a failed experiment.""",「リモートワークは終わった」とか「リモートワークは失敗だった」という見出しには、もううんざりだ。,"MQM annotations:
no-error"
240,"It enables people to work in comfortable spaces and not stuffy, noisy offices.",人々が、息苦しい騒がしいオフィスではなく、快適な空間で働けるようにする。,"MQM annotations:
no-error"
243,To just ignore these facts is wrong.,これらの事実を無視するのは間違っている。,"MQM annotations:
no-error"
248,"Parker referred to abortion, and modern urban women's impulse to delay having children for their careers' sake.",パーカーは中絶と、現代の都市に住む女性がキャリアのために出産を遅らせようとする傾向について言及した。,"MQM annotations:
no-error"
255,It took years of changing my life and working hard but finally...,何年も生活を変え、努力した結果、ついに…,"MQM annotations:
no-error"
