index,original,single_agent_translation,single_agent_improved_translation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,実は、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport ではなく、IDirect3DViewport にメソッドが追加された IDirect3DViewport3 が返されると想定していたことが判明しました。私が実装したのは IDirect3DViewport でした。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,しかし、これは普遍的に当てはまるわけではなく、該当のオブジェクトを生成するために使用しているインターフェースによって状況が異なる場合があります。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,議論のために、科学が少なくとも部分的には、世界に関する客観的な事実の記述のリストから成り立ち、それらの記述は支持する可能性のあるいかなる理論からも独立して真であると仮定してみよう。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,科学にそのような事実が存在するのが真実だとしても、科学的事実が理論に依存していると主張することは依然として可能である。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,この解釈では、実験は事実を作り出すのではなく、どの実験を実施するかという選択が、どの事実が発見されるかを決定する。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,亜原子粒子に関する事実など、資本主義下でのみ可能な実験によってのみ得られる事実がある。なぜなら、そのような実験には膨大な資源、組織力、そして実行するための強制力が必要であり、資本主義以外では実現不可能だからだ。
14,Picking this up this weekend.,週末に引き取ります。,週末にこれを受け取ります。
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,車高調とローダウン済み。
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら、ぜひ教えていただきたいです。
18,Personal experiences?,個人的な経験？,個人的な経験についてですか？
