index,original,translated,style_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた"" sounds a bit verbose and could be phrased more naturally. A slightly more concise phrasing might improve the flow.
minor: inconsistency - The katakana representation of ""IDirect3DViewport"" and ""IDirect3DViewport3"" could benefit from a review to ensure consistent usage of spacing or other stylistic elements. Not a major issue, but could enhance polish."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"MQM annotations:
Style Errors:
[Minor]: [Unnatural Flow] - The phrase ""事情が変わる場合がある"" (jijou ga kawaru baai ga aru) is grammatically correct, but slightly stiff. A more natural phrasing could be used to improve the overall flow."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""議論のために仮に"" (giron no tame ni kari ni) while not incorrect, sounds slightly unnatural and overly formal for this context. A more natural phrasing might be ""とりあえず"" (toriaezu) or a simpler ""仮に"" (kari ni) alone depending on the desired nuance.
minor: unnatural flow - The phrase ""いかなる理論とも無関係に真であると仮定しよう"" (ikaru riron to mo mukankei ni shin de aru to katei shiyou) is grammatically correct but slightly verbose and stiff. A more streamlined phrasing could improve the flow. For example, ""...理論に関係なく真であると仮定しよう"" (...riron ni kankei naku shin de aru to katei shiyou)."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""科学的事実が理論負荷的であると主張することは依然として可能だ"" sounds a bit stiff and overly formal. A more natural phrasing might use a slightly different construction or word choice. While grammatically correct and understandable, it lacks a natural flow.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"MQM annotations:
minor: Unnatural Flow - The phrase ""どの事実が発見されるかを左右する"" (which facts are discovered are controlled) sounds a bit stiff and could be more naturally expressed in Japanese. A smoother phrasing might be possible, although the meaning is clear."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある"" sounds somewhat repetitive and could be rephrased for a more natural flow in Japanese.
minor: unnatural flow - The phrase ""そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ"" is grammatically correct, but the use of ""あまりに多くの...を必要とし"" sounds a little stiff. A more natural way to express this might exist.
```"
14,Picking this up this weekend.,週末に引き取ります。,"MQM annotations:
Style Errors:
minor: unnatural flow - The translation is grammatically correct but sounds slightly awkward and literal. A more natural phrasing in Japanese might be preferable depending on the context."
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"```
MQM annotations:
Style Errors:
minor: style/unnatural flow - While accurate, the repetition of ""済み"" (zumi) can sound slightly redundant and less natural in Japanese. A more concise option might be preferred depending on the specific context.
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"MQM annotations:
Style Errors:
minor: unnatural flow - While grammatically correct, the phrase ""もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです"" is a bit verbose and could be phrased more concisely for a natural feel in Japanese. A simpler phrase could be used."
18,Personal experiences?,個人的な経験？,"MQM annotations:
Style Errors:
minor: unnatural flow - While grammatically correct, the translation sounds a bit too literal and lacks the natural flow of a question in Japanese. A more natural phrasing might be considered."
