index,original,translated,terminology_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",実は、IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport ではなく、IDirect3DViewport にメソッドを追加した IDirect3DViewport3 が返ってくると思い込んでいた。私が実装したのは IDirect3DViewport だった。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""IDirect3D::CreateViewport()"" should be in half-width katakana (ＩDirect3D::CreateViewport()).
minor: WRONG TERM - ""IDirect3DViewport3"" should be in half-width katakana (ＩDirect3DViewport3).
minor: WRONG TERM - ""IDirect3DViewport"" should be in half-width katakana (ＩDirect3DViewport).
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に正しいわけではなく、該当のオブジェクトを生成する際に使用しているインターフェースによって事情が変わる場合がある。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""インターフェース"" (interface) is written in katakana. While not strictly wrong, it might be better written in hiragana or kanji depending on the specific context and style guide. This doesn't impede comprehension.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために仮に、科学が少なくとも部分的には、世界に関する客観的に事実な記述のリストで構成され、それらが支持するかもしれないいかなる理論とも無関係に真であると仮定しよう。,"```
MQM annotations:
```"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学にそのような事実が存在するというのが真実だとしても、科学的事実が理論負荷的であると主張することは依然として可能だ。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""理論負荷的"" should be ""理論含意"". The glossary term is correct, but the choice of kanji might be different. ""負荷的"" implies loaded with theory, while ""含意"" is more related to implication
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を作り出すのではなく、どの実験を行うかの選択が、どの事実が発見されるかを左右する。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - 「解釈」is a valid translation of ""reading"" in the context, but it might be slightly too strong of a word. A more neutral word like 「見方」or「捉え方」might be better, although it doesn't invalidate the current translation.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",亜原子粒子に関する事実など、資本主義においてのみ可能な実験からしか得られない事実がある。なぜなら、そのような実験はあまりに多くの資源、組織、そして強制力を必要とし、資本主義以外では実現不可能だからだ。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""亜原子粒子"" (subatomic particle) is grammatically correct but sounds slightly unnatural in this context. While not strictly *wrong*, a more common phrasing in Japanese might be considered for better fluency. However, this is a very minor stylistic point.
```"
14,Picking this up this weekend.,週末に引き取ります。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The use of ""引き取ります"" (hiki torimasu) is a bit formal and can imply taking something from a storage location or picking up something that belongs to you. A more natural and contextually appropriate translation might be ""取りに行きます"" (tori ni ikimasu) or simply ""もらってきます"" (moratte kimasu), depending on the context of ""picking up"". While not strictly incorrect, it's not the most natural choice.
```"
16,Already on coil overs and lowered ride height.,車高調済み、ローダウン済み。,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""車高調済み"" is not the most natural way to express ""already on coil overs"". A more natural phrasing might be 「車高調が入っていて」. While technically correct, it sounds a bit technical and less conversational.
minor: WRONG TERM - ""ローダウン済み"" is not the most natural way to express ""lowered ride height"". While correct, a more natural phrasing might be 「車高が下がっている」 or 「ローダウンされている」.

```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べてみたのですが、もしこの車について何か情報をお持ちの方がいらっしゃいましたら教えていただけると嬉しいです。,"```
MQM annotations:
```"
18,Personal experiences?,個人的な経験？,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The question mark should be a full-width question mark (？) in Japanese.
```"
