index,original,translated,accuracy_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""IDirect3DViewport3 を返すと推定していたことが判明しました"" does not accurately reflect the meaning of the source text, which states that the developer was ""presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3"". The translation does not convey the idea of presuming or expecting a specific return type.
[Minor]: [accuracy/addition] - The translation ""実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています"" adds the detail that the developer has ""implemented IDirect3DViewport"", which is not explicitly stated in the source text."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる"" does not fully reflect the meaning of the source text ""for those cases it matters what interface you are using to create the object in question"". The translation focuses more on the interface used to create the object, while the source text emphasizes that the situation varies depending on the interface used.
[Minor]: no-error"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""理論を支持するかどうかに関わらず真実である"" does not fully capture the nuance of the source text, which suggests that the statements are ""true apart from any theory they might support"". The translation implies that the statements are true regardless of the theory, while the source suggests that the statements are true independently of the theory.
[Minor]: [accuracy/addition] - The translation ""客観的な事実に関する一覧表"" adds the word ""一覧表"" (list) which is not present in the source text. This addition, while not critical, is not necessary for the translation."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""科学的事実は理論に依存していると主張することは可能である"" does not fully capture the nuance of the source text, which suggests that it is still possible to argue that scientific facts are theory-laden, even if such facts exist in science."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""発見される事実を制御する"" does not fully capture the meaning of the source text ""controls which facts are discovered"". The translation suggests that the experiments control the facts that are discovered, while the source text indicates that the choice of experiments controls which facts are discovered.
[Minor]: no-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""資源、組織、強制力が十分でなければ実現できない実験からしか得られません"" does not fully capture the meaning of the source text, which states that certain facts can only be obtained from experiments that require too much resources, organization, and coercion to be possible outside of a capitalist system.
[Minor]: accuracy/addition - The translation ""資本主義体制でなければ不可能です"" adds the phrase ""資本主義体制で"" (in a capitalist system), which is not explicitly stated in the source text."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/mistranslation - The translation ""この週末に取り上げる"" does not precisely reflect the meaning of the source text ""Picking this up this weekend."" The Japanese translation suggests ""taking up"" or ""addressing"" something this weekend, rather than ""picking up"" an item."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""エアサスペンションに変更し、車高を下げています"" (Changed to air suspension and lowered the ride height) does not precisely reflect the meaning of the source text ""Already on coil overs and lowered ride height."" The source indicates that the vehicle is already lowered, while the translation suggests that the lowering is an ongoing process."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""少し調べましたが、この車に関する情報があれば教えていただきたいです"" does not fully capture the meaning of the source text ""I've done a little research but I would love if anyone has any info about this car."" The translation focuses more on the speaker's desire for information, while the source text expresses that the speaker has already done some research.
[Minor]: [accuracy/addition] - The translation ""この車に関する情報があれば教えていただきたいです"" includes the additional phrase ""に関する"" (about) which is not present in the source text."
18,Personal experiences?,個人的な経験,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The Japanese translation ""個人的な経験"" does not fully capture the meaning of the English source ""Personal experiences?"". The Japanese translation focuses more on ""personal experiences"" rather than the question form of the English source.
[Minor]: none"
19,I know they're not fast compared,遅いと比べると、分かっています。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""遅いと比べると、分かっています。"" does not fully convey the meaning of the source text ""I know they're not fast compared"". The translation focuses on the comparison aspect, but does not capture the full meaning of the source, which is about acknowledging that the subject is not fast."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオナチみたいに見える」と表現した新しい髪型をしている。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""ネオナチみたいに見える"" (looks like a neo-Nazi) does not fully reflect the meaning of the source text ""making me look like a neo-nazi"", as the source text suggests that the person themselves described their new haircut in that way, rather than the translation implying that the haircut actually makes them look like a neo-Nazi."
36,NY is the best hope for accountability,ニューヨークが説明責任の最良の希望です。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""ニューヨークが説明責任の最良の希望です"" does not fully capture the meaning of the source text ""NY is the best hope for accountability"". The translation focuses on New York being the ""best hope for accountability"", while the source text suggests that New York is the ""best hope"" for accountability, without explicitly stating that New York is the location.

[Minor]: no-error

The translation conveys the overall meaning of the source text, but the phrasing could be improved to more accurately reflect the nuance of the original."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つシグナルを送ることに還元できないという重要な証拠がある。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""文脈に依存しない意味を持つシグナルを送ることに還元できない"" does not fully capture the meaning of the source text ""real-world communication cannot be reduced to sending signals with context-independent meaning"". The translation focuses more on the inability to reduce communication to sending signals with context-independent meaning, while the source text emphasizes that real-world communication cannot be reduced to this.
[Minor]: [no-error] - The translation accurately conveys the overall meaning of the source text."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",コンテキスト依存的なコミュニケーションは、環境特性(コンテキストの分布など)に大きく影響される、多層的な状況的現象であると提案する。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""多層的状況的現象"" does not fully convey the meaning of ""a situated multilayered phenomenon"" in the source text.
[Minor]: accuracy/addition - The phrase ""コンテキストの分布など"" adds more specificity to the ""environment properties"" mentioned in the source, which is not necessarily required for the accurate translation."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に様々なプロジェクトをサポートする6か月間を過ごせたことは幸運でした。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""supporting a range of projects"" is not fully accurate as the source text says ""supporting a range of projects"" which implies a more active role in the projects, whereas the Japanese translation ""サポートする"" (support) is a more passive role.
[Minor]: none"
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったときは、特に植林や農場支援の進捗を聞いて嬉しかったです。,"MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""週末に会ったときは、特に植林や農場支援の進捗を聞いて嬉しかったです"" does not fully capture the meaning of the source text ""When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support."" The translation does not convey the nuance of being ""chuffed"" (pleased) about the progress.
[Minor]: [no-error] - The translation accurately reflects the meaning of the source text."
61,Licht AGREED to an all Republican audience!,賛成しました。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""賛成しました"" (agreed) does not accurately reflect the meaning of the source text ""Licht AGREED to an all Republican audience!"", which indicates that Licht agreed to speak to an all-Republican audience."
65,It can't be repeated.,それを繰り返すことはできません。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""それを繰り返すことはできません"" does not fully capture the meaning of the source text ""It can't be repeated."" The translation implies that it is not possible to repeat something, while the source text suggests that the event or action described cannot be repeated.

[Minor]: none"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました"" does not fully capture the meaning of the source text ""I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them."" The translation focuses more on the cleaning of the traps and fixing the pistachio, but does not convey the sense of frustration and the act of ""getting fed up"" with the routine.
[Minor]: no-error"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",私はこれまでほとんどすべての「人道的」な罠を試してきましたが、あまり成功していません。,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""私はこれまでほとんどすべての「人道的」な罠を試してきましたが、あまり成功していません。"" does not fully reflect the meaning of the source text ""I've tried nearly every ""humane"" trap on the market with very little success."" The translation does not convey the sense of ""very little success"" in the source."
74,"They aren't, at least not in Alberta.",それらはそうではありません、少なくともアルバータでは。,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/mistranslation - The translation ""それらはそうではありません、少なくともアルバータでは。"" does not precisely reflect the meaning of the source text ""They aren't, at least not in Alberta."" The translation is a bit more literal and does not capture the nuance of the original statement."
75,Sure they cut business taxes.,はい、彼らは企業税を削減しました。,"MQM annotations:
Accuracy Errors
[Minor]: None

The Japanese translation ""はい、彼らは企業税を削減しました。"" accurately conveys the meaning of the English source text ""Sure they cut business taxes."" There are no accuracy errors in this translation."
