index,original,translated,audience_appropriateness_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""IDirect3DViewport3"" is a technical term related to DirectX graphics programming, which may not be familiar to the general Japanese audience."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""matters what interface you are using"" may not be easily understood by the Japanese audience, as it refers to a technical concept that may not be familiar to the general public."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""for the sake of argument"" may not be a common expression in the Japanese cultural context and could be less natural or intuitive for the target audience."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""such facts exist in science"" may not be a common expression in Japanese and could be perceived as unusual or academic."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
audience appropriateness errors:
[Minor]: [culture-specific reference] - The term ""実験"" (experiments) may not be a common or intuitive concept for the Japanese audience, as the focus on scientific experimentation may not be as prevalent in everyday discourse."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The reference to ""capitalism"" may not be easily understood or relevant for the Japanese audience, as the concept of capitalism and its relationship to scientific research may be interpreted differently in the Japanese cultural context."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""picking this up"" may not be a common expression in Japanese culture and could be confusing for the target audience."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""coil overs"" is a technical automotive term that may not be widely understood by the Japanese audience.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""エアサスペンションに変更し"" uses a more formal language variety that may not be appropriate for the context."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""I've done a little research"" may not be a common expression in Japanese culture, and could be perceived as slightly informal or casual."
18,Personal experiences?,個人的な経験,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""Personal experiences"" may not be a common or natural way to express this concept in Japanese culture, and could sound slightly awkward or unfamiliar to the target audience."
