index,original,translated,design_and_markup_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"Source (English):
Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.

Translation (Japanese):
それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。

MQM annotations:
design and markup errors:
[minor]: markup_tag - The Japanese translation uses the full name ""IDirect3DViewport3"" and ""IDirect3DViewport"" without any markup, while the English source uses the shortened forms ""IDirect3D::CreateViewport()"" and ""IDirect3DViewport3"". The lack of consistent markup for these technical terms may make it harder for the reader to distinguish them."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character `&gt;` cause it to be malformed."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters cause them to be malformed."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
design and markup errors:
[Minor]: [MARKUP TAG] - The Japanese translation contains extra whitespaces within the escaped HTML character `[& gt ;]`, making it malformed."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The translation uses ""エアサスペンション"" instead of the original ""coil overs"", which is a different type of suspension system. The change in terminology may affect the design and markup of the content."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
18,Personal experiences?,個人的な経験,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses square brackets `[ ]` to enclose the English word ""personal"", which is not present in the source text."
19,I know they're not fast compared,遅いと比べると、分かっています。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML character ""遅いと比べると、分かっています。"" causing it to be malformed."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオナチみたいに見える」と表現した新しい髪型をしている。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The escaped HTML characters for the word ""neo-nazi"" in the target text contain extra whitespaces, making them malformed.

The source text:
Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".

The translation:
私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオ ナチみたいに見える」と表現した新しい髪型をしている。

The error is in the translation of ""neo-nazi"", where the escaped HTML characters have extra whitespaces, resulting in a malformed markup tag: ""ネオ ナチ""."
36,NY is the best hope for accountability,ニューヨークが説明責任の最良の希望です。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation contains extra whitespaces within the escaped HTML character `&gt;`, making it malformed."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つシグナルを送ることに還元できないという重要な証拠がある。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",コンテキスト依存的なコミュニケーションは、環境特性(コンテキストの分布など)に大きく影響される、多層的な状況的現象であると提案する。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に様々なプロジェクトをサポートする6か月間を過ごせたことは幸運でした。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - Whitespaces inserted within the escaped HTML characters `&gt;` cause them to be malformed."
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったときは、特に植林や農場支援の進捗を聞いて嬉しかったです。,"MQM annotations:
design and markup errors:
[Minor]: MARKUP TAG - The Japanese translation uses the HTML entity `&gt;` instead of the correct Japanese character `>` for the ""greater than"" symbol."
61,Licht AGREED to an all Republican audience!,賛成しました。,"MQM annotations:
design and markup errors:
[Major]: MARKUP TAG - The Japanese translation ""賛成しました。"" does not contain any markup tags, while the source text ""Licht AGREED to an all Republican audience!"" includes the word ""AGREED"" which may have been formatted or marked up in the original text."
