index,original,zero_shot_translation,improved_translation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,IDirect3D::CreateViewport() を呼び出すと IDirect3DViewport3 が返されると想定していましたが、実際に実装しているのは IDirect3DViewport で、そちらのメソッドが追加されています。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,オブジェクトの作成に使用するインターフェースによって、状況は異なることがあります。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,仮に科学が、理論に関わらず真実である客観的な事実の集まりであるとすれば、
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,科学的事実は理論に依存しているとみなすことは可能である。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,実験の選択によって発見される事実が制御される。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,一部の事実(例えば、サブアトミック粒子に関するものなど)は、資本主義体制でなければ実現できない、膨大な資源や組織、強制力を必要とする実験からしか得られません。
14,Picking this up this weekend.,この週末に取り上げる。,この週末に手に入れようと思います。
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,コイルオーバーに変更し、車高を下げた。
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,車についてもっと情報がありましたら教えていただけますか。
18,Personal experiences?,個人的な経験,個人的な経験ですか?
