index,original,translated,linguistic_convention_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The order of the words ""IDirect3DViewport3"" and ""IDirect3DViewport"" is incorrect compared to the source text."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is not natural in Japanese. The original English sentence uses a conditional clause (""for those cases""), but the Japanese translation does not reflect this structure clearly."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of the first word in the translation should be capitalized."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The translation uses ""は"" (wa) instead of ""が"" (ga) in the sentence structure, which is not the most natural way to express the idea in Japanese."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation is slightly different from the source text, affecting the natural flow of the language."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of the first word in the second sentence should be capitalized.
[Minor]: [Punctuation] - The comma after ""organization"" should be a period to end the sentence.
[Minor]: [Whitespace] - There should be a space between ""too"" and ""much"" in the phrase ""toomuch""."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the translation ""この週末に取り上げる"" does not match the natural word order of the English source ""Picking this up this weekend."""
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The translation ""エアサスペンションに変更し、車高を下げています"" uses the wrong grammar structure. The correct grammar should be ""エアサスペンションに変更して、車高を下げています""."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of the first word in the translation should be capitalized."
18,Personal experiences?,個人的な経験,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The Japanese translation ""個人的な経験"" should have the first letter capitalized as ""個人的な経験""."
19,I know they're not fast compared,遅いと比べると、分かっています。,"MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The translation ""遅いと比べると、分かっています。"" does not match the grammatical structure of the source text ""I know they're not fast compared"". The Japanese translation is missing a subject and the verb form is not appropriate."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオナチみたいに見える」と表現した新しい髪型をしている。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""The"" in ""The Domestic Partner"" should not be capitalized.
[Minor]: [word order] - The order of ""Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi""."" should be ""Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi""."""
36,NY is the best hope for accountability,ニューヨークが説明責任の最良の希望です。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""ニューヨークが説明責任の最良の希望です。"" should have ""New York"" capitalized as ""ニューヨークが説明責任の最良の希望です。""."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つシグナルを送ることに還元できないという重要な証拠がある。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is not natural and fluent in Japanese. The translation sounds awkward and does not flow well."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",コンテキスト依存的なコミュニケーションは、環境特性(コンテキストの分布など)に大きく影響される、多層的な状況的現象であると提案する。,"MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The sentence structure could be more natural, e.g., ""コンテキスト依存的なコミュニケーションは、環境特性(コンテキストの分布など)に大きく影響される状況的な多層的現象であると提案する。"""
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に様々なプロジェクトをサポートする6か月間を過ごせたことは幸運でした。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""ニコラス"" should be capitalized."
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったときは、特に植林や農場支援の進捗を聞いて嬉しかったです。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The translation is missing a period at the end of the sentence."
61,Licht AGREED to an all Republican audience!,賛成しました。,"MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The word ""AGREED"" should not be in all uppercase.
[Minor]: [punctuation] - The exclamation mark at the end of the sentence is unnecessary."
65,It can't be repeated.,それを繰り返すことはできません。,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The Japanese translation uses a period (""."") at the end of the sentence, while the English source does not have any punctuation."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Superglued"" should be capitalized as ""superglued"" according to English capitalization conventions.
[Minor]: [punctuation] - The period at the end of the sentence is missing."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",私はこれまでほとんどすべての「人道的」な罠を試してきましたが、あまり成功していません。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Comma usage after ""fwiw"" is not necessary in English."
74,"They aren't, at least not in Alberta.",それらはそうではありません、少なくともアルバータでは。,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The Japanese translation is missing a period at the end of the sentence."
75,Sure they cut business taxes.,はい、彼らは企業税を削減しました。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""はい、彼らは企業税を削減しました。"" should capitalize the first word ""はい"" according to Japanese writing conventions."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",グラスゴーに彼を降ろすだけです。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The translation is missing a period at the end of the sentence."
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.","""グラスゴーに彼を降ろすだけです""と、チケット販売員は言った。","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing quotation marks around the quoted speech."
90,And they are truly nuts.,そして、彼らは本当にナッツです。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""そして、彼らは本当にナッツです。"" should have the first letter capitalized as ""そして、彼らは本当にナッツです。""."
95,Yell back at those who would try to talk over us.,怒鳴り返せ、私たちを押し黙らせようとする者たちに。,"MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - Missing punctuation at the end of the sentence.
[Minor]: [capitalization] - The first word ""怒鳴り"" should not be capitalized."
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,私の隣人と私は同時に家に着き、私は通りを隔てた向こうから彼がCOVID-19の痰を激しく咳き上げているのが聞こえました。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is unnatural and does not follow the typical Japanese sentence structure. The translation could be improved to sound more natural in Japanese.
[Minor]: [punctuation] - The comma after ""私の隣人と私は同時に家に着き"" is not necessary in Japanese."
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,そのため私は彼を避けるために急いでアパートに入ろうとしましたが、彼はまだ私と話をするために追いついてきました。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is different from the source text, affecting the natural flow of the language.

The source text says ""So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat."" The translation ""そのため私は彼を避けるために急いでアパートに入ろうとしましたが、彼はまだ私と話をするために追いついてきました。"" has a different word order that disrupts the flow of the sentence."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000の苦しみの後、Ylは愛の場所に自分を見出し、どうしていいかわからない大きな感情に満ちています。","MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The translation is missing a period at the end of the sentence."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンとの騒動は、はなはだしい大失態でした。,"MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The term ""#MangoMoron"" should not be capitalized in the translation.
[Minor]: [punctuation] - The translation uses a period (""."") at the end of the sentence, while the source text uses an exclamation mark (""!"")."
113,A cold front should arrive by the middle of next week.,来週の中旬までに寒冷前線が到着するはずです。,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first word ""来週"" should be capitalized according to Japanese writing conventions."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",早朝、赤外線衛星と地上観測により、低層ストラタスと散在する<URL>の範囲が拡大していることが示されました。,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is unnatural and does not follow the typical Japanese sentence structure. The translation sounds awkward."
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけ、その専門知識を活用してCRMへの投資の価値を最大化する。,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of ""Salesforce"" should be capitalized in the translation.
[Minor]: [punctuation] - The period at the end of the sentence is missing in the translation."
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーが実装、カスタマイズ、統合、継続的なサポートを通じてあなたの事業がSalesforceのエコシステムで繁栄できるよう支援することを発見してください。,"MQM annotations:
linguistic conventions errors:
[Major]: [capitalization] - The first word ""Salesforce"" in the translation should be capitalized.
[Minor]: [punctuation] - The period at the end of the translation is missing."
137,But another individual often flies aboard that ship.,その船に別の個人がしばしば乗っている。,"MQM annotations:
linguistic conventions errors:
[Minor]: [word order] - The word order in the Japanese translation does not match the natural flow of the language compared to the English source. The phrase ""その船に別の個人がしばしば乗っている"" would be more natural as ""別の個人がその船にしばしば乗っている""."
142,The Last of Us is an easy and canonical example of dad-ification.,最後のわれわれは、父親化の簡単で典型的な例です。,"MQM annotations:
linguistic conventions errors:
[Major]: [word order] - The word order in the translation is incorrect compared to the source text. The correct order should be ""最後のわれわれは、父親化の典型的で簡単な例です。""."
