index,original,translated,locale_convention_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"locale conventions:

MQM annotations:
[Major]: [locale_conventions/date_time_format] - The date format in the target text ""09.02.2024"" does not match the format used in the source text ""09-02-2024""."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The target text uses a slash (""/"") to separate the number groups, which is not the standard Japanese format. The Japanese number format typically uses a space to separate the groups."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The target text uses a different number format (using a slash instead of a hyphen) compared to the source text."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"locale conventions:

MQM annotations:
[Minor]: [no-error] - There are no locale convention errors in the Japanese translation."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"Locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""12345"" should be formatted with a comma separator (e.g., ""12,345"") to match the Japanese locale convention."
14,Picking this up this weekend.,この週末に取り上げる。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""この週末に取り上げる"" does not match the English format ""this weekend"". The Japanese translation should use a more natural date expression like ""今週末に取り上げる"" to convey the same meaning."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"locale conventions:

MQM annotations:
[Minor]: [MEASUREMENT FORMAT] - The translation uses ""エアサスペンション"" (air suspension) instead of the more common ""コイルオーバー"" (coil-over) term used in the source text."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a comma to separate the thousands, while the English source does not. The number format should be consistent with the target language conventions."
18,Personal experiences?,個人的な経験,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
19,I know they're not fast compared,遅いと比べると、分かっています。,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The translation does not follow the Japanese locale convention for formatting numbers. In Japanese, numbers are typically written without spaces between digits."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオナチみたいに見える」と表現した新しい髪型をしている。,"locale conventions:

MQM annotations:
Minor: address format - The address format in the Japanese translation does not match the English format. In Japanese, the order of the address elements is typically different from English.
Minor: number format - The use of the term ""ワイフビーター"" (wife beater) in the Japanese translation may not be appropriate or common usage."
36,NY is the best hope for accountability,ニューヨークが説明責任の最良の希望です。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The address format in the Japanese translation does not match the English source. In Japanese, the address should be presented in the order: prefecture, city, street, building/house number."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つシグナルを送ることに還元できないという重要な証拠がある。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the Japanese locale convention."
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",コンテキスト依存的なコミュニケーションは、環境特性(コンテキストの分布など)に大きく影響される、多層的な状況的現象であると提案する。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the Japanese locale convention."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒に様々なプロジェクトをサポートする6か月間を過ごせたことは幸運でした。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""2011年"" does not match the English format ""in 2011""."
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったときは、特に植林や農場支援の進捗を聞いて嬉しかったです。,"locale conventions:

MQM annotations:
[Minor]: [date/time format] - The date format in the Japanese translation ""週末に会ったときは"" does not match the English source ""when we caught up at the weekend"". The Japanese translation uses a more general phrase instead of a specific date format."
61,Licht AGREED to an all Republican audience!,賛成しました。,"locale conventions:

MQM annotations:
[Major]: [LOCALE CONVENTIONS/NUMBER FORMAT] - The translation ""賛成しました。"" does not accurately convey the meaning of the source text ""Licht AGREED to an all Republican audience!"". The translation appears to be a literal translation of ""agreed"" rather than capturing the full context and meaning of the source."
65,It can't be repeated.,それを繰り返すことはできません。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a full-width period (。) instead of a comma (,) to separate the thousands in the number."
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩、このルーティンに嫌気がさしたので、全てのトラップからピーナッツバターを取り除き、ピスタチオをスーパーグルーで固定しました。,"locale conventions:

MQM annotations:
Minor: address format - The address format in the Japanese translation does not match the English source. In Japanese, the order of the address elements is typically different from English."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",私はこれまでほとんどすべての「人道的」な罠を試してきましたが、あまり成功していません。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a comma to separate the thousands, which is not the standard format in English."
75,Sure they cut business taxes.,はい、彼らは企業税を削減しました。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a full-width comma (、) instead of a half-width comma (,) to separate the thousands digit, which is the standard Japanese number format."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",グラスゴーに彼を降ろすだけです。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The translation does not include the full address format, only the city name ""Glasgow"" is provided."
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.","""グラスゴーに彼を降ろすだけです""と、チケット販売員は言った。","locale conventions:

MQM annotations:
[Minor]: [currency format] - The currency format in the target text does not match the locale-specific requirements. In Japanese, the currency symbol (¥) should be placed before the numeric value."
90,And they are truly nuts.,そして、彼らは本当にナッツです。,"locale conventions:

MQM annotations:
[Minor]: [TERMINOLOGY/INAPPROPRIATE FOR CONTEXT] - The translation ""nuts"" does not accurately convey the intended meaning of ""truly crazy/insane"" in the source text."
95,Yell back at those who would try to talk over us.,怒鳴り返せ、私たちを押し黙らせようとする者たちに。,"locale conventions:

MQM annotations:
[Minor]: [LOCALE CONVENTIONS/ADDRESS FORMAT] - The address format in the Japanese translation does not match the English source. In Japanese, the address should be written in the order of ""地域, 番地, 建物名"" rather than ""番地, 地域, 建物名""."
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,そのため私は彼を避けるために急いでアパートに入ろうとしましたが、彼はまだ私と話をするために追いついてきました。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The address format in the Japanese translation does not match the English source. In Japanese, the address should be presented in the order: building number, street name, city, prefecture, postal code."
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000の苦しみの後、Ylは愛の場所に自分を見出し、どうしていいかわからない大きな感情に満ちています。","locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""4,000の苦しみの後"" does not match the English source ""After 4,000 of distress"". The Japanese translation should use a more standard date format."
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンとの騒動は、はなはだしい大失態でした。,"locale conventions:

MQM annotations:
[Major]: [LOCALE CONVENTIONS/CURRENCY FORMAT] - The currency format in the Japanese translation does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with no space in between."
113,A cold front should arrive by the middle of next week.,来週の中旬までに寒冷前線が到着するはずです。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""来週の中旬までに"" does not match the English format ""by the middle of next week""."
114,"Early this morning, IR satellite and surface based observations indicated an expanding area of low stratus and patchy <URL>",早朝、赤外線衛星と地上観測により、低層ストラタスと散在する<URL>の範囲が拡大していることが示されました。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The translation does not follow the Japanese address format, which typically includes the prefecture, city, and street address in that order."
121,Find a reliable Salesforce partner to leverage their expertise and maximize the value of your CRM investment.,信頼できるSalesforceパートナーを見つけ、その専門知識を活用してCRMへの投資の価値を最大化する。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a comma to separate the thousands in the numeric value, which is not the standard format in Japanese. The correct format would be to use a space to separate the thousands."
122,"Discover how a Salesforce partner can help you with implementation, customization, integration, and ongoing support, enabling your business to thrive in the Salesforce ecosystem.",Salesforceパートナーが実装、カスタマイズ、統合、継続的なサポートを通じてあなたの事業がSalesforceのエコシステムで繁栄できるよう支援することを発見してください。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The address format in the Japanese translation does not follow the standard Japanese address format.
[Minor]: [CURRENCY FORMAT] - The currency format in the Japanese translation does not follow the standard Japanese currency format."
137,But another individual often flies aboard that ship.,その船に別の個人がしばしば乗っている。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The target text uses a different format for the number compared to the source text. The source uses ""another individual"" while the translation uses ""別の個人"" which is a more literal translation."
142,The Last of Us is an easy and canonical example of dad-ification.,最後のわれわれは、父親化の簡単で典型的な例です。,"locale conventions:

MQM annotations:
[Minor]: [terminology/inappropriate for context] - The translation ""The Last of Us"" is not a literal translation of the source text ""最後のわれわれ"" and may not convey the intended meaning accurately."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父親化は通常、親の立場の人物が子供や子供の代替物を世話したり保護しなければならない状況の解決策として、圧倒的な力と、その力を使って非常に特定の形の力動学を強要することを主張する。,"locale conventions:

MQM annotations:
[Major]: [address format] - The address format in the Japanese translation does not match the English source. The order and placement of the address elements are not in the correct Japanese format."
147,Here's a quick overview of how to make use of our website.,ウェブサイトの使い方の概要はこちらです。,"locale conventions:

MQM annotations:
[Minor]: [ADDRESS FORMAT] - The placement of ""St."" is incorrect in Japanese."
153,Ukrainian children have a right to grow up in a peaceful and secure environment.,ウクライナの子供たちは平和で安全な環境で育つ権利がある。,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the Japanese translation does not match the English source."
159,Over time dart became my go-to for quick UI.,ダートは時間とともに私のクイックUIの定番になりました。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""ダートは時間とともに私のクイックUIの定番になりました。"" does not match the English source ""Over time dart became my go-to for quick UI."" The Japanese translation uses a more literal translation of ""over time"" rather than using the appropriate date/time format."
166,Their tail is extremely thick.,しっぽはとてもふさふさです。,"locale conventions:

MQM annotations:
[Minor]: [MEASUREMENT FORMAT] - The translation uses ""ふさふさ"" (fuzzy) instead of a more precise measurement term to describe the thickness of the tail."
168,Their eyes are pear and they wear scarlet cateye glasses.,彼らの目は梨色で、緋色のキャットアイグラスを着用しています。,"locale conventions:

MQM annotations:
[Major]: [COLOUR FORMAT] - The translation ""梨色"" (pear color) for ""pear"" is not a standard color description in Japanese and may be unclear to the target audience.
[Minor]: [TERMINOLOGY/INAPPROPRIATE FOR CONTEXT] - The translation ""緋色"" (scarlet) for ""scarlet"" is technically correct, but ""cateye"" glasses are more commonly described using the term ""キャッツアイ"" in Japanese."
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",愛吸血鬼,"locale conventions:

MQM annotations:
[Minor]: [address format] - The translation ""愛吸血鬼"" does not follow the standard Japanese locale convention for translating the source text ""Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ..."""
174,"In real life, my mom did like a puzzle game I made years ago, and she found most of the secrets on her own, so she wasn't just being mom when she said she liked it.",現実生活では、私が何年も前に作った謎解きゲームを、私の母は好きだと言っていました。そして、ほとんどの秘密を自分で見つけ出したので、単に母親としての立場から言っているのではありませんでした。,"locale conventions:

MQM annotations:
[Minor]: [DATE/TIME FORMAT] - The date format in the Japanese translation ""何年も前"" (years ago) does not match the English source ""years ago""."
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.",我需要把这个从英语翻译成中文和福建话。,"我需要把这个从英语翻译成中文和福建话。

MQM annotations:
[Critical]: [locale_conventions/address format] - The translation does not provide the target languages (Mandarin and Hokkien) for the requested translation.
[Major]: [locale_conventions/language format] - The translation is provided in Japanese instead of the requested Mandarin and Hokkien.
[Minor]: no-error"
180,"Mental health is often seen as something separate from ""regular"" health.",精神的健康は、「通常の」健康とは別のものと見なされることが多い。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a full-width space to separate the digits, which is the standard Japanese number format, but the English source uses a regular space."
182,Because it happens in the mind and seems less tangible than physical health.,心の中で起こるため、身体的な健康よりも目に見えにくいです。,"locale conventions:

MQM annotations:
[Minor]: [accuracy/mistranslation] - The translation ""身体的健康よりも目に見えにくいです"" does not fully capture the nuance of the source text, which suggests that mental health is less tangible than physical health."
194,Very much worth having a go at.,とても挑戦する価値があります。,"locale conventions:

MQM annotations:
[Minor]: [CURRENCY FORMAT] - The Japanese translation uses the word ""挑戦する"" (challenge) instead of a more natural expression like ""取り組む"" (take on) for the English ""have a go at""."
196,Playing around a bit with Flutter.,フラッターで少し遊んでいます。,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""a bit"" is not formatted according to English conventions."
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",私は正直に言って、Googleのテクノロジーをベースにしてビジネスを行うのは嫌です。一方で、Googleは魅力的なクロスプラットフォーム体験を作り出すための真の動機を持つ数少ない大手企業の1つであり、それが明らかになっています。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""11,99"" should be formatted as ""11.99"" according to the Japanese locale convention."
200,Cross platform is hard if you want to do it well.,クロスプラットフォームは、うまくやりたい場合は難しい。,"locale conventions:

MQM annotations:
[Major]: [CURRENCY FORMAT] - The Japanese translation does not follow the correct currency format. In Japanese, the currency symbol (¥) should be placed before the numeric value with no space in between."
201,I know that.,私はそれを知っています。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a full-width period (。) instead of a half-width period (.) for the number format."
202,Thank you to those people who have downloaded the latest update to Leasey.,ありがとうございます。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation does not include the number of people who have downloaded the latest update to Leasey, which is present in the English source text."
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,私の脳がそれを解き明かすことができないのはなぜかよくわかりません。ツールが非常に広範囲で曖昧であるため、選択肢が多すぎて脳がハードロックしてしまうのかもしれません。,"Locale conventions:

MQM annotations:
Major: currency format - The currency format in the target text does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with a space in between."
211,Grafana looks pretty.,グラファナはきれいです。,"locale conventions:

MQM annotations:
[Minor]: [number format] - The Japanese translation uses a full-width character for the period in ""きれいです。"", which is not the standard locale convention."
