index,original,zero_shot_translation,annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not accurately convey the meaning of the source text. The source text mentions that the author was ""presuming"" that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, but the translation does not clearly convey this presumption.

Fluency Errors
[Minor]: [grammar] - The translation has a grammatical error in the phrase ""その末尾にはさらにメソッドが追加されています"" which should be ""その末尾にはさらにメソッドが追加されている"".

Terminology Errors
[Minor]: [inconsistent use] - The translation uses the term ""IDirect3DViewport3"" and ""IDirect3DViewport"" inconsistently, when the source text uses ""IDirect3DViewport3"" and ""IDirect3DViewport"" consistently."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""これは必ずしも当てはまるわけではない"" does not fully capture the nuance of ""this is not universally true"" in the source text.
[Minor]: [omission] - The translation omits the phrase ""for those cases it matters"" from the source text.

Fluency Errors
[No errors detected]

Locale Convention Errors
[No errors detected]

Style Errors
[No errors detected]

Terminology Errors
[No errors detected]

Non-Translation Errors
[No errors detected]

Other Errors
[No errors detected]"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation does not fully capture the nuance of the original text. The phrase ""for the sake of argument"" is not directly translated.
[Minor]: [Omission] - The translation omits the phrase ""at least in part"" from the original text.

Fluency Errors
[Minor]: [Grammar] - The translation uses a slightly awkward grammatical structure compared to natural Japanese.

Terminology Errors
[Minor]: [Inappropriate for context] - The translation uses the formal term ""仮に"" (supposing) instead of a more natural phrasing like ""もし仮に"" (if we suppose).

Overall, the translation is generally accurate and understandable, with only minor errors that do not significantly impact the meaning or flow of the text."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not fully capture the meaning of the original sentence. The original sentence suggests that even if scientific facts exist, it is still possible to argue that they are theory-laden. The translation only states that it is possible to argue that scientific facts are theory-laden, without the nuance of ""even if it's true that such facts exist"".

Fluency Errors
[Minor]: [grammar] - The translation could be improved by using a more natural Japanese sentence structure, such as ""科学的事実は理論に依存していると主張することができる"" instead of the more literal ""科学的事実は理論に依存していると主張することは可能である"".

Terminology Errors
[Minor]: [inappropriate for context] - The translation uses the term ""科学的事実"" (scientific facts) which may not fully capture the nuance of the original ""such facts"" in the context of the sentence.

Overall, the translation conveys the main idea, but could be improved to better reflect the nuance and flow of the original English sentence."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""制御する"" (control) does not fully capture the nuance of ""controls which facts are discovered"" in the source text.

Fluency Errors
[Minor]: [grammar] - The translation uses the passive voice ""発見される事実を制御する"" (the facts that are discovered are controlled), whereas the source text uses the active voice ""the choice of which experiments to conduct controls which facts are discovered"".

Terminology Errors
[Minor]: [inappropriate for context] - The translation uses the term ""読み取り"" (reading) which does not directly correspond to the meaning of ""this reading"" in the source text.

Overall, the translation conveys the main idea of the source text, but there are some minor errors in accuracy, fluency, and terminology that could be improved."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not fully capture the meaning of the original text. The original text suggests that certain facts can only be obtained through experiments that require significant resources, organization, and coercion, which are only possible under capitalism. The translation focuses more on the necessity of resources, organization, and coercion for the experiments, without explicitly mentioning the connection to capitalism.

Fluency Errors
[Minor]: [grammar] - The translation could be improved by using more natural Japanese grammar, such as ""資本主義体制でなければ、そのような実験は不可能です"" instead of ""資本主義体制でなければ不可能です"".

Terminology Errors
[Minor]: [inappropriate for context] - The term ""サブアトミック粒子"" (subatomic particles) could be replaced with a more common term like ""微小粒子"" to better fit the context.

Overall, the translation conveys the main idea of the original text, but could be improved in terms of accuracy, fluency, and terminology to better reflect the nuances of the source text."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:

Accuracy Errors
[Minor]: Omission - The translation omits the word ""up"" from the original English sentence.

Fluency Errors
[Minor]: Grammar - The translation uses the phrase ""取り上げる"" which is not a natural way to express the meaning of ""picking up"" in Japanese.

Locale Convention Errors
[No Error]

Style Errors
[Minor]: Awkward - The translation sounds a bit unnatural and awkward in Japanese.

Terminology Errors
[No Error]

Non-Translation Errors
[No Error]

Other Errors
[No Error]

Overall, the translation has a few minor errors that affect the fluency and naturalness of the Japanese, but the meaning is still generally understandable. The quality of the translation is acceptable."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The source text mentions ""coil overs"" which is a type of suspension system, while the translation refers to ""air suspension"", which is a different type of suspension system.

Fluency Errors
[Minor]: [grammar] - The translation uses the present continuous tense (""changing to air suspension and lowering the ride height""), while the source text uses the past tense (""already on coil overs and lowered ride height"").

Terminology Errors
[Minor]: [inappropriate for context] - The term ""air suspension"" may not be the most appropriate translation for ""coil overs"" in this context, as they are different suspension systems.

Overall, the translation conveys the general meaning of the source text, but there are some minor errors in the accuracy and fluency of the translation."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
Accuracy Errors
[Minor]: [Omission] - The translation omits the word ""I've"" at the beginning of the sentence.

Fluency Errors
[No Errors]

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is of good quality and accurately conveys the meaning of the source text. The only minor error is the omission of the personal pronoun ""I've"" at the beginning of the sentence."
18,Personal experiences?,個人的な経験,"MQM annotations:
Accuracy Errors
[Minor]: [Omission] - The translation omits the question mark at the end of the source sentence.

Fluency Errors
[No Errors]

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is generally accurate and fluent, with only a minor omission error. The translation conveys the meaning of the source text effectively."
