index,original,translated,style_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. The phrase ""実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています"" sounds awkward and could be expressed more naturally.
[minor]: [REGISTER] - The use of the formal pronoun ""それが"" may not be appropriate in this context and a more casual register could be more suitable."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。"" reads too literally and lacks the natural flow expected in Japanese."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the Japanese language. A more natural phrasing would be more appropriate."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""科学的事実は理論に依存していると主張することは可能である"" reads too literally and lacks the natural flow expected in Japanese."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the Japanese language. A more natural and idiomatic expression could be used."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the Japanese language. The sentence structure could be improved to sound more natural.

[minor]: [REGISTER] - The use of the phrase ""強制力が十分でなければ"" is slightly more formal than the original English text, which could be rephrased in a more natural, conversational style."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""この週末に取り上げる"" reads too literally and lacks the natural flow expected in Japanese. A more natural expression would be something like ""この週末に手に入れる"" or ""この週末に手に入れようと思います""."
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""エアサスペンションに変更し、車高を下げています"" reads too literally and lacks the natural flow expected in Japanese. A more natural expression would be ""エアサスペンションに変更し、車高を下げた""."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""少し調べましたが、この車に関する情報があれば教えていただきたいです。"" reads a bit awkwardly and lacks the natural flow expected in Japanese. A more natural phrasing would be ""少し調べましたが、この車についてもっと情報がありましたら教えていただけますか。"""
18,Personal experiences?,個人的な経験,"MQM annotations:
Style Errors:
[minor]: [REGISTER] - The translation uses a more formal register (""個人的な経験"") compared to the casual tone of the source text (""Personal experiences?"")."
