index,original,translated,terminology_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",それが IDirect3DViewport3 を返すと推定していたことが判明しましたが、実際に実装しているのは IDirect3DViewport で、その末尾にはさらにメソッドが追加されています。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""IDirect3DViewport3"" should have been translated as ""IDirect3DViewport3"" instead of ""IDirect3DViewport"" as it is a specific interface in the Direct3D API.
[major]: [WRONG TERM] - The term ""IDirect3DViewport"" should have been translated as ""IDirect3DViewport"" instead of ""IDirect3DViewport"" as it is a specific interface in the Direct3D API."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは必ずしも当てはまるわけではない。問題のオブジェクトを作成するために使用するインターフェイスによって、状況が異なる。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""interface"" should be translated as ""インターフェース"" instead of ""インターフェイス"" in the given context."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",仮に議論のために、科学は少なくとも部分的に、理論を支持するかどうかに関わらず真実である、客観的な事実に関する一覧表で構成されているとする。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""science"" should have been translated as ""科学"" instead of ""科学至少部分由""."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,科学的事実は理論に依存していると主張することは可能である。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The translation ""科学的事実は理論に依存していると主張することは可能である"" does not accurately convey the meaning of the source text ""it's still possible to argue that scientific facts are theory-laden."" The Japanese translation suggests that it is possible to argue that scientific facts are dependent on theory, while the source text indicates that scientific facts can be considered as being ""theory-laden,"" which has a slightly different nuance."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",実験は、この読み取りの事実を作り出すのではなく、どの実験を行うかを選択することで、発見される事実を制御する。,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The glossary term ""experiments"" should have been translated as ""実験"" instead of ""実験は"".
[minor]: [WRONG TERM] - The glossary term ""facts"" should have been translated as ""事実"" instead of ""事実を"".
[minor]: [WRONG TERM] - The glossary term ""controls"" should have been translated as ""制御する"" instead of ""制御することで"".
[minor]: [WRONG TERM] - The glossary term ""discovered"" should have been translated as ""発見される"" instead of ""発見される事実を""."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",一部の事実(例えば、サブアトミック粒子に関するものなど)は、資源、組織、強制力が十分でなければ実現できない実験からしか得られません。そのような実験は資本主義体制でなければ不可能です。,"MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""サブアトミック粒子"" (subatomic particles) is not properly applied in the translation.
minor: WRONG TERM - The term ""強制力"" (coercion) does not accurately convey the meaning of ""coercion"" in the source text."
14,Picking this up this weekend.,この週末に取り上げる。,"MQM annotations:
Terminology Errors:
Major: TERM NOT APPLIED - The Japanese translation ""この週末に取り上げる"" does not match the glossary term for ""Picking this up this weekend."""
16,Already on coil overs and lowered ride height.,エアサスペンションに変更し、車高を下げています。,"MQM annotations:
Terminology Errors:
major: WRONG TERM - The term ""エアサスペンション"" (air suspension) does not accurately represent the source term ""coil overs"", which refers to a type of suspension system using coil springs rather than air springs.
minor: WRONG TERM - The term ""車高を下げています"" (lowering the vehicle height) does not fully capture the meaning of the source term ""lowered ride height"", which implies a specific modification to the suspension system."
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車に関する情報があれば教えていただきたいです。,"MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""car"" should have been translated as ""車"" in Japanese."
18,Personal experiences?,個人的な経験,"MQM annotations:
Terminology Errors:
minor: term not applied - The Japanese translation ""個人的な経験"" does not match the glossary term ""Personal experiences""."
19,I know they're not fast compared,遅いと比べると、分かっています。,"MQM annotations:
Terminology Errors:
minor: term not applied - The Japanese translation ""遅いと比べると、分かっています。"" does not use the correct terminology for ""fast"" as specified in the glossary."
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私はボードショーツとワイフビーターを着て、彼はタトゥーだらけで、自分で「ネオナチみたいに見える」と表現した新しい髪型をしている。,"MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""ワイフビーター"" (wife beater) is not an appropriate translation for the English term ""wife beater"" in this context. A more appropriate translation would be ""タンクトップ"" (tank top).
[major]: [WRONG TERM] - The term ""ネオナチ"" (neo-nazi) is not an appropriate translation for the English term ""neo-nazi"" in this context. A more appropriate translation would be ""ネオナチ風"" (having a neo-nazi appearance)."
36,NY is the best hope for accountability,ニューヨークが説明責任の最良の希望です。,"MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The glossary term ""accountability"" is not properly translated as ""説明責任"" in the Japanese translation."
