index,original,translated,accuracy_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation suggests that the speaker implemented IDirect3DViewport3, but the source text indicates they implemented IDirect3DViewport.
[Major]: [accuracy/omission] - The translation omits the detail that IDirect3DViewport3 has additional methods compared to IDirect3DViewport.
[Minor]: None
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""what interface you are using"" is mistranslated as ""使用しているインターフェース"" which implies a general usage rather than the specific context of creating the object in question.
[Minor]: [accuracy/error_subcategory] - None
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""true apart from any theory they might support"" is mistranslated. The translation implies that the factual statements are true ""regardless of the theories they might support,"" which slightly shifts the meaning from the source text's intent of being true ""independent of any theory.""
[Major]: [accuracy/omission] - The phrase ""for the sake of argument"" is not fully captured in the translation. The translation uses ""議論のために"" which means ""for the sake of discussion,"" but it misses the nuance of ""argument"" as a hypothetical scenario or assumption.
[Minor]: [accuracy/addition] - None
```"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""theory-laden"" is not accurately translated. The translation ""理論に依存している"" means ""dependent on theory,"" which does not fully capture the meaning of ""theory-laden,"" which implies that scientific facts are influenced or shaped by theoretical perspectives.
[Major]: [accuracy/omission] - The translation does not explicitly convey the possibility of arguing against the existence of scientific facts, which is implied in the source text by ""it's still possible to argue.""
[Minor]: None
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - ""この解釈では"" (on this reading) is a mistranslation. It should be ""この解釈において"" or similar to correctly convey ""on this reading.""
[Minor]: [accuracy/error_subcategory] - None
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/omission] - The translation omits ""e.g."" (for example), which specifies that subatomic particles are an example of the facts being discussed.
[Major]: [accuracy/mistranslation] - The translation of ""coercion"" as ""強制"" (coercion) may not fully capture the nuance of the original context, which implies a broader sense of coordinated effort and pressure.
[Minor]: [accuracy/addition] - None
```"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""受け取ります"" implies receiving something, which is not the same as ""picking up"" in the source text. The source implies an action of collecting or retrieving, which is not accurately conveyed.
[Major]: [accuracy/omission] - The translation omits the nuance of ""picking up,"" which suggests an action of going to a place to collect something, rather than just receiving it.
[Minor]: [accuracy/addition] - None
```"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/mistranslation - The translation ""車高調を装着"" (installed coilovers) does not accurately reflect the source text ""Already on coil overs,"" which implies that the coilovers are already present, not necessarily that they were just installed.
[Major]: accuracy/omission - The translation omits the concept of ""lowered ride height"" as a separate action or state, which is part of the source text.
[Minor]: None
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/omission - The phrase ""I've done a little research"" is omitted in the translation, which affects the completeness of the information.
[Major]: accuracy/mistranslation - None
[Minor]: accuracy/addition - The translation uses ""教えてください"" (please tell me) which is not present in the source text, but it does not significantly alter the meaning.
```"
18,Personal experiences?,個人的な経験？,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The translation ""個人的な経験"" does not fully capture the plural form ""experiences"" from the source text ""Personal experiences?"" The Japanese translation suggests a singular experience, which changes the meaning.
[Major]: [accuracy/omission] - None
[Minor]: [accuracy/addition] - None
```"
