index,original,translated,audience_appropriateness_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"```
MQM annotations:
audience appropriateness error:
Minor: CULTURE-SPECIFIC REFERENCE - The term ""末尾に追加のメソッドが付加されている"" (methods tacked onto the end) might be slightly informal and not entirely appropriate for a technical audience in Japanese, where a more precise or formal expression could be expected.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"```
MQM annotations:
audience appropriateness error:
Critical: None
Major: None
Minor: None
```

The translation provided is culturally and linguistically appropriate for a Japanese audience. There are no audience appropriateness errors in the translation."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

In this case, the translation from English to Japanese does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for a Japanese audience, with no unusual or inappropriate references that could cause confusion or a sense of non-belonging."
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation provided does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for a Japanese audience, and there are no unusual or inappropriate references that could cause confusion or a sense of non-belonging."
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"```
MQM annotations:
audience appropriateness error:
Minor: culture-specific reference - The concept of experiments being possible ""only in capitalism"" may not resonate culturally with a Japanese audience, as the cultural and historical context regarding capitalism may differ.
```"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The term ""coil overs"" is a technical term related to car suspension systems and may not be immediately understood by a general Japanese audience without additional context or explanation.
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"```
MQM annotations:
audience appropriateness error:
Critical: none
Major: none
Minor: none
```

The translation provided is appropriate for the target audience. There are no cultural or linguistic issues that would cause confusion or a sense of non-belonging for a Japanese audience. The request for information about the car is straightforward and culturally neutral."
18,Personal experiences?,個人的な経験？,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
19,I know they're not fast compared,比べると速くないことは知っています。,"```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The phrase ""比べると速くないことは知っています"" is a direct translation that may not fully capture the cultural nuance or context of the original English phrase. The Japanese translation is technically correct but could feel slightly awkward or less natural in conversational Japanese, where a more contextually appropriate expression might be used.
```"
