index,original,zero_shot_translation,improved_translation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドがあるもので、私が実装したのはIDirect3DViewportです。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使っている特定のインターフェースが重要です。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,議論の仮定として、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持する理論に関係なく真実であると仮定しましょう。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に基づいていると依然として主張することが可能です。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,この解釈において、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを決定します。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,いくつかの事実、例えば素粒子については、資本主義でのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの協力を必要とするからです。
14,Picking this up this weekend.,今週末にこれを受け取ります。,今週末にこれを取りに行きます。
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,すでにコイルオーバーが装着され、車高が下がっています。
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,少し調べましたが、この車についての情報があれば教えていただけると嬉しいです。
18,Personal experiences?,個人的な経験？,個人的な体験はありますか？
19,I know they're not fast compared,比べると速くないことは知っています。,他と比べると速くないことはわかっています。
