index,original,translated,linguistic_convention_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""付加されているもので"" is missing, which would improve the clarity of the sentence.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: punctuation - The comma after ""仮定しましょう"" should be a period as it is the end of the sentence.
```"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""科学的事実"" is unnecessary in Japanese and disrupts the natural flow of the sentence.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma used after ""事実を生み出すのではなく"" is not necessary in Japanese and can be removed to improve the flow of the sentence.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""いくつかの事実"" should be replaced with a period for better punctuation and sentence separation.
```"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
18,Personal experiences?,個人的な経験？,"```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The translation lacks a period at the end of the sentence, which is a minor punctuation error.
```"
19,I know they're not fast compared,比べると速くないことは知っています。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The Japanese translation ends with a period, which is not necessary as the English source does not end with a punctuation mark.
```"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私、ボードショーツとタンクトップを着て、そしてドメスティックパートナーはタトゥーだらけで、自分で「ネオナチみたいに見える」と言った新しい髪型をしている。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma after ""タンクトップを着て"" should be replaced with a conjunction to improve the flow of the sentence.
[Minor]: [punctuation] - The comma after ""タトゥーだらけで"" should be replaced with a conjunction to improve the flow of the sentence.
```"
36,NY is the best hope for accountability,NYは説明責任を果たすための最良の希望です。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence-ending period is missing.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠があります。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The sentence ends with a period, but the Japanese translation does not include a period at the end.
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""現象であり"" should be a full stop or period to properly separate the clauses in the sentence.
```"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出に残る6か月を過ごすことができて幸運でした。,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma should be placed after ""思い出に残る6か月を過ごすことができて"" to correctly separate the clauses.
```"
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったとき、特に植樹と農場支援の進展について聞いて嬉しかったです。,"```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma should be replaced with a period to separate the two independent clauses in the sentence.
```"
61,Licht AGREED to an all Republican audience!,リヒトは全員が共和党員の観客に同意しました！,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""リヒト"" should be ""リヒト"" with a capital letter at the beginning, as it is a proper noun.
```"
65,It can't be repeated.,繰り返すことはできません。,"```
MQM annotations:
linguistic conventions errors:
Critical: no-error
Major: no-error
Minor: no-error
```"
