index,original,zero_shot_translation,annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [mistranslation] - The phrase ""Turns out is was presuming"" is translated as ""判明したのは...と仮定していたことです,"" which slightly changes the nuance of the original. The translation implies a more definitive conclusion than the original, which suggests an unexpected realization.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

Overall: no-error"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [omission] - The translation omits the phrase ""too much"" before ""resources,"" ""organization,"" and ""coercion,"" which slightly changes the emphasis of the original sentence.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: mistranslation - The translation ""これを受け取ります"" implies receiving something, whereas ""picking this up"" suggests collecting or retrieving something, which may not necessarily mean receiving.
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: [omission] - The translation omits the nuance of ""I would love"" from the source text, which adds a level of enthusiasm or eagerness to the request for information.

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
18,Personal experiences?,個人的な経験？,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
