index,original,translated,style_annotation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,"```
MQM annotations:
Style Errors:
minor: UNNATURAL FLOW - The phrase ""末尾に追加のメソッドが付加されているもので"" reads awkwardly and could be rephrased for better flow.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,"```
MQM annotations:
Style Errors
[minor]: [unnatural_flow] - The phrase ""その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です"" is grammatically correct but reads awkwardly. A more natural phrasing could improve the flow.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,"```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう"" is slightly awkward and could be rephrased for smoother flow, such as ""それらが支持する理論に関係なく真実であると仮定しましょう"".
```"
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,"```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The phrase ""理論に依存していると主張することは依然として可能です"" is grammatically correct but reads awkwardly. A more natural phrasing could be ""理論に依存していると依然として主張することが可能です"".
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The translation ""どの実験を行うかの選択がどの事実が発見されるかを制御します"" reads awkwardly and could be more naturally expressed in Japanese.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,"```
MQM annotations:
Style Errors:
major: unnatural_flow - The translation reads awkwardly and too literally, especially the phrase ""資本主義においてのみ可能な実験の結果としてしか得られません,"" which could be more naturally expressed in Japanese.
minor: unnatural_flow - The phrase ""他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです"" could be rephrased for a smoother flow in Japanese.
```"
14,Picking this up this weekend.,今週末にこれを受け取ります。,"```
MQM annotations:
Styles error:
minor: unnatural_flow - The translation ""今週末にこれを受け取ります"" is grammatically correct but reads too literally. A more natural expression in Japanese might be ""今週末にこれを取りに行きます"" to convey the casual tone of ""picking this up.""
```"
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,"```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The translation ""すでに車高調を装着し、車高を下げています。"" reads slightly awkwardly and could be more naturally expressed in Japanese. A more natural phrasing might be ""すでに車高調を取り付けて、車高を下げています。""
```"
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The translation ""少し調べましたが、この車について何か情報があれば教えてください。"" is grammatically correct but reads slightly awkwardly. A more natural expression could be ""少し調べましたが、この車についての情報があれば教えていただけると嬉しいです。"" to improve the flow and naturalness.
```"
18,Personal experiences?,個人的な経験？,"```
MQM annotations:
Style error:
minor: UNNATURAL FLOW - The translation ""個人的な経験？"" is grammatically correct but reads slightly awkwardly. A more natural expression in Japanese might be ""個人的な体験はありますか？"" to better capture the nuance and flow of the source text.
```"
19,I know they're not fast compared,比べると速くないことは知っています。,"```
MQM annotations:
Styles error:
major: unnatural_flow - The translation ""比べると速くないことは知っています。"" is grammatically correct but reads awkwardly and lacks natural flow. A more natural expression could be ""速くないことはわかっていますが、他と比べるとそうです。"" or similar.
```"
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私、ボードショーツとタンクトップを着て、そしてドメスティックパートナーはタトゥーだらけで、自分で「ネオナチみたいに見える」と言った新しい髪型をしている。,"```
MQM annotations:
Styles error:
major: UNNATURAL FLOW - The phrase ""ボードショーツとタンクトップを着て"" is grammatically correct but sounds awkward and overly literal in Japanese. A more natural expression could be used.
minor: REGISTER - The use of ""ドメスティックパートナー"" is slightly formal and could be replaced with a more natural or commonly used term in Japanese for ""domestic partner"" to match the informal tone of the source.
```"
36,NY is the best hope for accountability,NYは説明責任を果たすための最良の希望です。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The translation ""説明責任を果たすための最良の希望です"" reads awkwardly and could be more naturally expressed in Japanese. A more natural translation might be ""説明責任を果たすための最良の選択肢はNYです"" or similar.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠があります。,"```
MQM annotations:
Style Errors
[major]: [unnatural_flow] - The translation ""文脈に依存しない意味を持つ信号を送ることに還元できない"" is technically correct but reads awkwardly and could be expressed more naturally in Japanese.
```"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。,"```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The translation ""文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。"" reads slightly awkwardly in Japanese. A more natural flow would involve restructuring the sentence for better readability.
```"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出に残る6か月を過ごすことができて幸運でした。,"```
MQM annotations:
Styles error:
[minor]: [unnatural_flow] - The phrase ""思い出に残る6か月を過ごすことができて幸運でした"" is slightly awkward and could be rephrased for a more natural flow in Japanese.
```"
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったとき、特に植樹と農場支援の進展について聞いて嬉しかったです。,"```
MQM annotations:
Styles error:
[minor]: [REGISTER] - The translation uses a formal register (""嬉しかったです"") while the source text uses an informal expression (""chuffed"").
```"
61,Licht AGREED to an all Republican audience!,リヒトは全員が共和党員の観客に同意しました！,"```
MQM annotations:
Style error:
major: UNNATURAL FLOW - The translation ""リヒトは全員が共和党員の観客に同意しました"" sounds awkward and overly literal. A more natural expression in Japanese would be ""リヒトは全員が共和党員の観客に対して同意を示しました"" or ""リヒトは全員が共和党員の観客に賛同しました"".
```"
65,It can't be repeated.,繰り返すことはできません。,"```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The translation ""繰り返すことはできません"" is grammatically correct but sounds slightly awkward and literal. A more natural expression could be used.
```"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩ついにこのルーティンにうんざりして、すべての罠からピーナッツバターを取り除き、ピスタチオをスーパーボンドで貼り付けました。,"```
MQM annotations:
Styles error:
minor: unnatural_flow - The phrase ""すべての罠からピーナッツバターを取り除き、ピスタチオをスーパーボンドで貼り付けました"" is grammatically correct but reads awkwardly in Japanese. A more natural expression could be used to improve the flow.
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",参考までに、市場に出回っているほとんどすべての「人道的」な罠を試しましたが、ほとんど成功しませんでした。,"```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The translation ""ほとんど成功しませんでした"" reads awkwardly and could be more naturally expressed.
```"
74,"They aren't, at least not in Alberta.",彼らはそうではありません、少なくともアルバータでは。,"```
MQM annotations:
Styles error:
Minor: UNNATURAL FLOW - The translation ""彼らはそうではありません、少なくともアルバータでは。"" reads awkwardly in Japanese. A more natural flow would be ""彼らは少なくともアルバータではそうではありません。""
```"
75,Sure they cut business taxes.,もちろん、彼らは事業税を削減しました。,"```
MQM annotations:
Styles error:
[minor]: [UNNATURAL FLOW] - The translation ""もちろん、彼らは事業税を削減しました。"" is grammatically correct but reads too literally. A more natural flow in Japanese might be ""確かに、彼らは事業税を減税しました。"" to better capture the emphasis and natural expression.
```"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「彼をグラスゴーに降ろすだけです」と、私は旅の仲間を指し示しながら説明しようとしました。,"```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The phrase ""彼をグラスゴーに降ろすだけです"" sounds slightly awkward and could be more naturally expressed as ""彼をグラスゴーで降ろすだけです"" to improve the flow.
```"
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「『彼をグラスゴーに降ろすだけです』なんてあまり聞かないですね」とチケット係が言った。,"```
MQM annotations:
Styles error:
[minor]: [style/unnatural_flow] - The phrase ""『彼をグラスゴーに降ろすだけです』なんてあまり聞かないですね"" is a bit awkward and could be expressed more naturally in Japanese.
```"
90,And they are truly nuts.,そして彼らは本当に狂っています。,"```
MQM annotations:
Styles error:
[major]: [REGISTER] - The translation uses a formal register (""彼らは"") which might not match the informal tone of ""they are truly nuts"" in the source text. A more casual expression could be used to better capture the informal tone.
[minor]: [UNNATURAL FLOW] - The phrase ""本当に狂っています"" is a literal translation and may sound slightly awkward. A more natural expression could improve the flow.
```"
95,Yell back at those who would try to talk over us.,私たちの声をかき消そうとする者たちに向かって叫び返せ。,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The phrase ""叫び返せ"" is a literal translation of ""yell back,"" which sounds awkward in Japanese. A more natural expression would improve the flow.
```"
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,隣人と私は同時に帰宅しましたが、通りの向こうから彼がコロナの痰を激しく咳き込んでいるのが聞こえました。,"```
MQM annotations:
major: style/unnatural flow - The phrase ""コロナの痰を激しく咳き込んでいる"" reads awkwardly and could be expressed more naturally in Japanese.
```"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったが、それでも彼は追いついてきて話しかけてきた。,"```
MQM annotations:
Styles error:
[major]: [UNNATURAL FLOW] - The translation reads awkwardly and lacks natural flow in Japanese. A more natural expression would improve readability.
```"
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000年の苦悩の後、Ylは愛の場所に自分を見つけ、どうしていいかわからないほどの大きな感情を抱えているので、両方がたくさんあります。","```
MQM annotations:
Styles error:
Minor: Unnatural Flow - The phrase ""どうしていいかわからないほどの大きな感情を抱えているので、両方がたくさんあります"" reads awkwardly in Japanese and could be expressed more naturally.
```"
