index,original,zero_shot_translation,reference_translation
1,"Turns out is was presuming that calling IDirect3D::CreateViewport() would return an IDirect3DViewport3, which has additional methods tacked onto the end compared to an IDirect3DViewport, which is what I've implemented.",判明したのは、IDirect3D::CreateViewport()を呼び出すと、IDirect3DViewport3が返されると仮定していたことです。これは、IDirect3DViewportと比較して、末尾に追加のメソッドが付加されているもので、私が実装したものです。,そのバージョンでは、IDirect3D::CreateViewport() を呼び出すと、IDirect3DViewport3が返ってくると仮定されていたことがわかり、やってみたけどIDirect3DViewportと比べると、最後にIDirect3DViewport3メソッドが追加されている。
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,しかし、これは普遍的に当てはまるわけではありません。その場合、問題のオブジェクトを作成するために使用しているインターフェースが重要です。,ただし、これは例外なく当てはまるものではなく、こういったケースでは、問題のオブジェクトを作るのに、どのインターフェイスを使っているかが重要となる。
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.",議論のために、科学が少なくとも一部は世界についての客観的な事実のリストから成り立っており、それらが支持するかもしれない理論とは無関係に真実であると仮定しましょう。,議論の仮定上の話として、科学とは、少なくとも部分的には、万象についての客観的事実に基づく記述の羅列で構成され、それが裏付ける可能性のある理論とは完全に分けられるものだ。
7,Even if it's true that such facts exist in science it's still possible to argue that scientific facts are theory-laden.,たとえそのような事実が科学に存在することが真実であっても、科学的事実は理論に依存していると主張することは依然として可能です。,科学にそのような事実が本当に存在すると仮定しても、科学的事実が理論に裏打ちされたものだと議論する余地はある。
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.",この解釈では、実験が事実を生み出すのではなく、どの実験を行うかの選択がどの事実が発見されるかを制御します。,実験が結果によって事実を生み出すのではなく、どの実験を行うかの選択が、どのような事実が発見されるのかコントロールするのである。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",いくつかの事実、例えば素粒子については、資本主義においてのみ可能な実験の結果としてしか得られません。なぜなら、それらの実験は、他の方法では成し遂げることができないほど多くの資源、多くの組織、多くの強制を必要とするからです。,例えば、素粒子に関する事実の中には、資本主義下での実験からのみ結果が得られるものがあるが、それ以外で成功させるには多大な資源、組織、強制力がかかるからである。
14,Picking this up this weekend.,今週末にこれを受け取ります。,今週末、引き取りに行く。
16,Already on coil overs and lowered ride height.,すでに車高調を装着し、車高を下げています。,既にコイルオーバーは付いていて、車高は下げられている。
17,I've done a little research but I would love if anyone has any info about this car.,少し調べましたが、この車について何か情報があれば教えてください。,自分でも少しリサーチはしてみたんだけど、もし誰かこの車について何か情報を持ってたら是非。
18,Personal experiences?,個人的な経験？,個人的な体験談で？
19,I know they're not fast compared,比べると速くないことは知っています。,比べると、そんなに速くないことは分かってる
23,"Me, in board shorts and a wife beater, and The Domestic Partner, all tatted up and with a new haircut that he himself described as ""making me look like a neo-nazi"".",私、ボードショーツとタンクトップを着て、そしてドメスティックパートナーはタトゥーだらけで、自分で「ネオナチみたいに見える」と言った新しい髪型をしている。,自分はというと、ボードショーツを穿いた妻虐待者で、ザ・ドメスティック・パートナーはというと、全身タトゥーで新しいヘアスタイルは本人曰く「ネオナチみたい」。
36,NY is the best hope for accountability,NYは説明責任を果たすための最良の希望です。,罪を償わせるにはニューヨークが一番期待できる
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,現実世界のコミュニケーションは、文脈に依存しない意味を持つ信号を送ることに還元できないという重要な証拠があります。,現実世界のコミュニケーションは、状況非依存の意味があるシグナルを送るだけに単純化できない、という重大な証拠がある。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",文脈依存のコミュニケーションは、状況に応じた多層的な現象であり、文脈の分布などの環境特性に大きく影響されると提案します。,我々が示唆するのは、状況依存的コミュニケーションが、状況に応じた多面性を持つ現象であり、状況の配分といった環境特性に極めて大きな影響を受けることである。
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,2011年にニコラスと一緒にさまざまなプロジェクトを支援しながら、思い出に残る6か月を過ごすことができて幸運でした。,幸運にも私は2011年、ニコラスと共にさまざまなプロジェクトをサポートして、思い出に残る半年を過ごした。
49,"When we caught up at the weekend I was chuffed to hear about progress, particularly with tree planting and farm support.",週末に会ったとき、特に植樹と農場支援の進展について聞いて嬉しかったです。,週末に会って話した時、進捗状況が聞けてとても嬉しかったし、特に植林と農業のサポートについては満足だった。
61,Licht AGREED to an all Republican audience!,リヒトは全員が共和党員の観客に同意しました！,リヒトは共和党だらけの観客に同調した！
65,It can't be repeated.,繰り返すことはできません。,繰り返してはいけない。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晩ついにこのルーティンにうんざりして、すべての罠からピーナッツバターを取り除き、ピスタチオをスーパーボンドで貼り付けました。,この定期的な作業についにうんざりしたので昨晩、全ての罠からピーナッツ・バターを取り除き、ピスタチオを強力瞬間接着剤で罠にくっ付けた。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",参考までに、市場に出回っているほとんどすべての「人道的」な罠を試しましたが、ほとんど成功しませんでした。,（お役に立つか分からないけど、市販されている「人道的」な罠のほとんどを全て試してきたのに、ほぼ効果はなかったよ。
74,"They aren't, at least not in Alberta.",彼らはそうではありません、少なくともアルバータでは。,そんなことなんてないのにさ、少なくともアルバータ州では。
75,Sure they cut business taxes.,もちろん、彼らは事業税を削減しました。,確かに事業税はカットされたわ。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",「彼をグラスゴーに降ろすだけです」と、私は旅の仲間を指し示しながら説明しようとしました。,「グラスゴーで彼を降ろすだけなんで」と、私は連れを身振りで示しながら説明を試みた。
85,"""There's not something you hear a lot 'I'm just dropping him off in Glasgow,' "" the ticket guy said.",「『彼をグラスゴーに降ろすだけです』なんてあまり聞かないですね」とチケット係が言った。,「『グラスゴーで彼を降ろすだけなんで』とは、あまり耳にすることがありませんね」と、その検札員は言った。
90,And they are truly nuts.,そして彼らは本当に狂っています。,そして、あいつらは本物のキチガイだ。
95,Yell back at those who would try to talk over us.,私たちの声をかき消そうとする者たちに向かって叫び返せ。,議論をふっかけて来るやつには大声で怒鳴り返そう。
98,My neighbor & I arrived home at the same time and I could hear him coughing up a covid mucus storm from across the street.,隣人と私は同時に帰宅しましたが、通りの向こうから彼がコロナの痰を激しく咳き込んでいるのが聞こえました。,隣人と私は同時に帰宅したのだが、彼が咳をしてコロナ粘液の雨あらしを吐きまくっているのが通りの反対側から聞こえた。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,彼を避けるために急いでアパートに入ったが、それでも彼は追いついてきて話しかけてきた。,それで僕は、彼を避けようと大急ぎで自分のアパートに入ろうしたが、彼はそれでもなんとか私に追いついてきて立ち話をしたのだった。
107,"After 4,000 of distress Yl finds herself in a place of love and is having huge feels she doesn't know what to do with so there's a lot of both.","4,000年の苦悩の後、Ylは愛の場所に自分を見つけ、どうしていいかわからないほどの大きな感情を抱えているので、両方がたくさんあります。","4,000回もの苦悩を経て、Ylは自分が愛に包まれた場所にいることに気付き、どうしたらいいか分からないものすごい愛を感じたので、YIには苦悩と愛の両方ともがたくさんある。"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨日の#マンゴーモロンの大失敗は、非常にひどい失敗でした。,昨日の#MangoMoronの失態はとんでもないものだった。
113,A cold front should arrive by the middle of next week.,来週の半ばまでに寒冷前線が到達するでしょう。,来週の半ばには、寒冷前線がやってくるでしょう。
