index,original,translated,accuracy_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
13,Going to be my first project car.,Будет моей первой машиной для проекта.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Ее тело мгновенно напряглось, и в глазах появился страх.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за свои вещи.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Увидеть улыбку облегчения на её лице было прекрасно, но то, что она сначала испугалась, ПРОСТО ОТСТОЙНО И Я ЭТО НЕНАВИЖУ.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
32,But he can't pardon himself out of state prison.,"Но он не может сам себя помиловать, чтобы выйти из государственной тюрьмы.","MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
33,It takes the state's governor.,Это касается губернатора штата.,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: accuracy/mistranslation - ""Это касается губернатора штата"" translates to ""This concerns the state's governor"" or ""This relates to the state's governor"". It doesn't accurately capture the meaning of ""It takes the state's governor,"" which implies requiring or needing the governor's involvement.
[Minor]: no-error"
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существуют веские доказательства того, что реальное общение не сводится к передаче сигналов с не зависящим от контекста значением.","```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные способности, которые позволяют контекстуально устранять неоднозначность значений символов.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне было очень приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать об их успехах.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев рядом с Николасом в 2011 году, поддерживая ряд проектов.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николас работает с фермерами над сокращением использования пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и такими вредителями, как кукурузная совка, которая может опустошать посевы кукурузы.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
53,The UPS store near me won't allow me to write a label or write on the box.,"В отделении UPS рядом со мной не разрешают писать ни наклейку, ни на коробке.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,Они не разрешают мне сообщать им адрес доставки и отправителя.,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда берут с меня 2 доллара 25 центов за это ""удобство"".","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
64,The ratings--seeking delusional irresponsibility of it all.,"Стремление к рейтингам, бредовая безответственность всего этого.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
65,It can't be repeated.,Этого не повторить.,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень продуваемый подвал, а это, по сути, значит, что у меня может укрыться много грызунов.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","В последнее время появилось много признаков увеличения количества грызунов, что особенно удивительно, поскольку сейчас весна, и я думал, что с изменением погоды они выберутся на улицу.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","К слову, я перепробовал практически все представленные на рынке ""гуманные"" ловушки, но с очень небольшим успехом.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно рад их убивать, но я не буду принимать комментарии об этичности убийства мышей.","```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, стимулирующие деловую активность.","```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx больше не существует, хотя это была бы гонка на самое дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","В первом утреннем поезде контролер посмотрел на наши билеты и сказал: ""Долгая дорога!"".","```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто высаживаю его в Глазго,"" попытался я объяснить, указывая на моего попутчика.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"Что окончательно убедило меня прошлой ночью, так это то, что нам нужно быть готовыми дать отпор трампизму.","```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, в котором никто особо не заинтересован, кроме фанатиков, которые в нём состоят.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
90,And they are truly nuts.,И они совершенно чокнутые.,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,Купи антитрамповские наклейки на бампер и обклей ими всё.,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
95,Yell back at those who would try to talk over us.,"Отвечайте криком тем, кто пытается нас перекричать.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Не принято появляться на людях или подбегать к людям, когда у вас сильный кашель с мокротой.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
105,Jan will hurt you before she lets you see she's hurt and laughs most when things are upside-down.,"Джейн причинит тебе боль, прежде чем позволит увидеть, что больно ей, и смеется больше всего, когда все идет кувырком.","MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""Джейн"" (Jane) is used instead of ""Jan"". This is a mistranslation of the name. While close, names should be preserved as accurately as possible unless there's a clear need for transliteration based on target language conventions.
[Minor]: none"
