index,original,translated,audience_appropriateness_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","MQM annotations:
no-error"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","MQM annotations:
audience appropriateness error:
[Critical]: no-error - None
[Major]: no-error - None
[Minor]: no-error - None"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","MQM annotations:
minor: style/awkward - The phrase ""ради аргументации"" (for the sake of argumentation) is a direct translation of ""for the sake of argument."" While grammatically correct, it sounds somewhat formal and academic in Russian. A more natural phrasing might be ""допустим"" (let's assume) or ""предположим для простоты"" (let's assume for simplicity). This is a minor issue because it doesn't impede understanding, but slightly affects the naturalness of the text for a general audience."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","MQM annotations:
minor: no-error
major: no-error
critical: no-error"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
minor: style/awkward - While not strictly an audience appropriateness issue, the phrase ""Это очень краткий набросок правдоподобного аргумента"" (""This is a very brief sketch of a plausible argument"") is a bit verbose and could be more concise for a Russian audience, though acceptable."
13,Going to be my first project car.,Будет моей первой машиной для проекта.,"MQM annotations:
audience appropriateness error:
[Critical]: no-error - None
[Major]: no-error - None
[Minor]: no-error - None"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,"MQM annotations:
critical: no-error
major: no-error
minor: no-error"
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,"MQM annotations:
audience appropriateness error:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","MQM annotations:
minor: style/awkward - While grammatically correct, the phrase ""довольно очевидной транс-женщиной"" (dovol'no очеvidnoy trans-zhenshchinoy) could be perceived as slightly clinical or objectifying in some Russian contexts. A more sensitive phrasing might exist, though it depends on the specific context and intended audience."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Ее тело мгновенно напряглось, и в глазах появился страх.","MQM annotations:
minor: no-error
major: no-error
critical: no-error"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за свои вещи.,"MQM annotations:
minor: no-error - The translation is accurate and appropriate for the target audience."
