index,original,translated,design_and_markup_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"MQM annotations:
design and markup errors:
minor: no-error - No design or markup errors detected."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","```
MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors found.
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","```
MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors found.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors were found in the translation."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
design and markup errors:
None
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
design and markup errors:
```"
13,Going to be my first project car.,Будет моей первой машиной для проекта.,"MQM annotations:
design and markup errors:
minor: no-error - None"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,"MQM annotations:
design and markup errors:
minor: no-error - No design and markup errors found."
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,"MQM annotations:
design and markup errors:
minor: markup tag/emoji format - The source text doesn't contain an emoji, but the target text implies the existence of a Fediverse emoji representation without providing a specific emoji."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","MQM annotations:
design and markup errors:
None"
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Ее тело мгновенно напряглось, и в глазах появился страх.","```
MQM annotations:
design and markup errors:
critical: no-error - No design and markup errors found.
```"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за свои вещи.,"```
MQM annotations:
design and markup errors:
minor: markup tag/ellipsis - The ellipsis (...) may have a slightly different rendering or spacing in Russian compared to English. Although functionally correct, it's a minor difference in presentation.
```"
