index,original,single_agent_translation,single_agent_improved_translation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию за пределами таблицы виртуальных методов."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","Но это не всегда верно; для таких случаев важно, какой интерфейс вы используете для создания соответствующего объекта."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","В общем, поскольку это здесь справедливо, для исправления мне пришлось расширить реализацию области просмотра, добавив методы IDirect3DViewport3, чтобы вызов новой версии был корректным."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","Предположим, для аргументации, что наука, по крайней мере частично, состоит из перечней объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтвердить."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Согласно этой интерпретации, эксперименты не создают факты, а выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","Это очень краткий набросок правдоподобного аргумента в пользу того, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов."
13,Going to be my first project car.,Будет моей первой машиной для проекта.,Будет моей первой машиной для тюнинга.
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,Уже установлены койловеры и занижен клиренс.
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,Время поныть во Федівсесвіті.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","Когда мы пошли рассчитываться, кассир была довольно очевидной трансгендерной женщиной."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Ее тело мгновенно напряглось, и в глазах появился страх.","Ее тело мгновенно напряглось, и в глазах появился испуг."
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за свои вещи.,А потом мы просто... заплатили за наши покупки.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Увидеть улыбку облегчения на её лице было прекрасно, но то, что она сначала испугалась, ПРОСТО ОТСТОЙНО И Я ЭТО НЕНАВИЖУ.","Видеть улыбку облегчения на её лице было замечательно, но осознание того, что она до этого испугалась, — это просто отвратительно, и я это ненавижу."
32,But he can't pardon himself out of state prison.,"Но он не может сам себя помиловать, чтобы выйти из государственной тюрьмы.",Но он не может сам себя помиловать из государственной тюрьмы.
33,It takes the state's governor.,Это касается губернатора штата.,Это относится к губернатору штата.
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,Нью-Йорк – лучшая надежда на обеспечение подотчетности.
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существуют веские доказательства того, что реальное общение не сводится к передаче сигналов с не зависящим от контекста значением.","Существуют убедительные доказательства того, что реальное общение не сводится к передаче сигналов, чьё значение не зависит от контекста."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные способности, которые позволяют контекстуально устранять неоднозначность значений символов.","В то же время мы изучаем экологические условия и когнитивные способности, которые позволяют контекстуально устранять неоднозначность значений символов."
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне было очень приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать об их успехах.,Мне было очень приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать об их успехах.
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев рядом с Николасом в 2011 году, поддерживая ряд проектов.","Мне посчастливилось провести незабываемые шесть месяцев рядом с Николасом в 2011 году, работая над различными проектами."
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николас работает с фермерами над сокращением использования пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и такими вредителями, как кукурузная совка, которая может опустошать посевы кукурузы.","Николас работает с фермерами, чтобы сократить использование пестицидов, одновременно изыскивая способы решения проблем, вызванных изменением климата и такими вредителями, как кукурузная совка, способная уничтожать посевы кукурузы."
53,The UPS store near me won't allow me to write a label or write on the box.,"В отделении UPS рядом со мной не разрешают писать ни наклейку, ни на коробке.","В отделении UPS рядом со мной не разрешают ни подписывать наклейку, ни делать надписи на коробке."
55,They won't allow me to tell them the address it's going to and who is shipping it.,Они не разрешают мне сообщать им адрес доставки и отправителя.,Они не позволяют мне сообщить им адрес доставки и имя отправителя.
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда берут с меня 2 доллара 25 центов за это ""удобство"".","И они всегда берут с меня 2 доллара 25 центов за это ""удобство""."
