index,original,translated,style_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"```
MQM annotations:
Style error:
minor: unnatural flow - While technically correct, ""вылетала из-за вызова функции за пределами vtable"" sounds slightly awkward. A more natural phrasing might exist, though the current version is understandable.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""в таких случаях имеет значение"" (in such cases it matters) sounds slightly awkward and could be rephrased for a more natural flow in Russian. A more natural phrasing might be ""в этих случаях важно"" or ""в этих ситуациях имеет значение"".
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""В общем, поскольку здесь это действительно так"" (roughly, ""In general, since this is really so here"") sounds a bit unnatural and could be more concise. A smoother opening could be achieved.
minor: unnatural flow - The phrase ""чтобы вызов новой версии был действительным"" (so that the call to the new version was valid) is grammatically correct but could be phrased more elegantly to improve the flow of the sentence in Russian. A more natural phrasing could be used."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","MQM annotations:
Styles error:
minor: Unnatural Flow - While grammatically correct and understandable, ""ради аргументации"" (for the sake of argument) sounds slightly more formal and less natural in this context compared to other options. A more common phrasing might be ""допустим"" or a less literal translation of ""for the sake of argument.""
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
Style Errors:
minor: style/unnatural flow - The phrase ""определяет, какие факты будут обнаружены"" (determines which facts will be discovered) is grammatically correct but sounds slightly awkward and could be rephrased for a more natural flow in Russian. A more natural wording could be ""определяет, какие факты станут известны"" or ""определяет, какие факты мы узнаем"".
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
minor: style/Unnatural Flow - The phrase ""фактическое содержание науки"" sounds a bit unnatural. While literally correct, a more fluent phrasing might be preferred in Russian."
13,Going to be my first project car.,Будет моей первой машиной для проекта.,"MQM annotations:
minor: unnatural flow - The phrase ""машиной для проекта"" sounds somewhat unnatural. A more idiomatic way to express ""project car"" in Russian could be ""машиной под проект"" or ""машиной для тюнинга/восстановления"" (depending on the specific project). However, the given translation is understandable."
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,"```
MQM annotations:
```"
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,"MQM annotations:
minor: style/register - ""поныть"" (ponýt') is too informal. A more neutral word like ""пожаловаться"" (pozhalovat'sya) would be more appropriate."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","MQM annotations:
minor: unnatural flow - The phrase ""довольно очевидной"" (fairly obvious) sounds a bit unnatural in this context. A more natural phrasing in Russian might be ""вполне заметной"" or something similar, depending on the intended nuance."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Ее тело мгновенно напряглось, и в глазах появился страх.","```
MQM annotations:
minor: style/unnatural flow - While grammatically correct, ""Ее тело мгновенно напряглось"" sounds slightly unnatural. A more natural phrasing might be ""Ее тело мгновенно сковало"" or ""Она мгновенно напряглась.""
```"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за свои вещи.,"```
MQM annotations:
Styles error:
minor: style/unnatural flow - The phrase ""за свои вещи"" (for our stuff) sounds slightly unnatural in this context. A more natural phrasing might be ""за покупки"" (for the purchases) or simply ""за все"" (for everything), although ""за свои вещи"" is not incorrect.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Увидеть улыбку облегчения на её лице было прекрасно, но то, что она сначала испугалась, ПРОСТО ОТСТОЙНО И Я ЭТО НЕНАВИЖУ.","MQM annotations:
Style Error:
[Major]: [Register/Inappropriate] - The phrase ""ПРОСТО ОТСТОЙНО"" is too informal compared to the source ""FUCKING SUCKS"". While it conveys the strong negative emotion, a slightly more neutral or literary equivalent would be more appropriate for a general context."
32,But he can't pardon himself out of state prison.,"Но он не может сам себя помиловать, чтобы выйти из государственной тюрьмы.","MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - The phrase ""сам себя помиловать, чтобы выйти из государственной тюрьмы"" is grammatically correct but sounds slightly awkward and could be phrased more naturally in Russian. A more natural phrasing might be something like ""выйти из государственной тюрьмы по собственному помилованию"" or ""освободиться из государственной тюрьмы, помиловав самого себя""."
33,It takes the state's governor.,Это касается губернатора штата.,"MQM annotations:
Style error:
[Minor]: [Unnatural Flow] - The translation is grammatically correct but sounds somewhat formal and could be more naturally expressed in Russian. A more colloquial alternative might exist."
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"```
MQM annotations:
Style Errors:
minor: unnatural flow - The phrase ""привлечение к ответственности"" is a correct translation of ""accountability"" but sounds a bit formal and legalistic in this context. A more natural phrasing might be ""привлечения виновных к ответу"" or similar, depending on the intended nuance.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существуют веские доказательства того, что реальное общение не сводится к передаче сигналов с не зависящим от контекста значением.","```
MQM annotations:
```"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные способности, которые позволяют контекстуально устранять неоднозначность значений символов.","```
MQM annotations:
Minor: Style/Unnatural Flow - While the translation is accurate, using ""устранять неоднозначность"" (ustranyat' neodnoznachnost') sounds slightly formal and less natural than alternative phrasing in Russian. A more common or fluid expression could be used.
```"
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне было очень приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать об их успехах.,"MQM annotations:
minor: Style/Unnatural Flow - While accurate, ""Мне было очень приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать об их успехах"" sounds a little formal and could be more conversational in Russian. A slightly more natural phrasing might be ""Мне было очень здорово/приятно пообщаться с Пенни и Николасом из Ashanti Development на выходных и узнать, как у них дела/что нового""."
