index,original,translated,terminology_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,Взломанная версия Jedi Knight вылетала из-за вызова функции за пределами vtable.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""vtable"" is transliterated, but should be translated to its Russian equivalent (""таблица виртуальных методов"" or ""VMT"") for better readability and understanding in a technical context.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда так; в таких случаях имеет значение, какой интерфейс вы используете для создания рассматриваемого объекта.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""интерфейс"" (interface) is correctly translated and compliant with the termbase, but its usage might be slightly unnatural in this specific context. A more common phrasing might use a different word for ""interface,"" although the current translation is not incorrect.
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","В общем, поскольку здесь это действительно так, чтобы это исправить, мне пришлось расширить мою реализацию окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов новой версии был действительным.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""окна просмотра"" (window of viewing) is a valid translation of ""viewport"", but given the context of DirectX and graphics programming, a more precise and standard translation would be ""видовой экран"" or ""окно вывода"". While ""окна просмотра"" isn't technically incorrect, it lacks the precision expected in technical documentation, making it a minor issue.
minor: WRONG TERM - The translation of ""IDirect3DViewport3"" as ""IDirect3DViewport3"" is correct in that the identifier of an API doesn't need to be translated. However, this glossary entry should be flagged to confirm that the text ""IDirect3DViewport3"" refers to the DirectX interface name and is a technical term.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргументации, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных вне зависимости от какой-либо теории, которую они могли бы подтверждать.","```
MQM annotations:
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Согласно этой интерпретации, эксперименты не создают факты, но выбор того, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The word ""интерпретации"" is a valid translation of ""reading,"" but it's slightly more formal and less common in this context. A more common and natural translation might be ""толкования"" or ""понимания."" While understandable, it's not the most natural choice.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории о влиянии капитализма на фактическое содержание науки согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Terminology errors:
minor: WRONG TERM/Wrong Term - ""фактическое содержание науки"" is a valid translation of ""actual content of science,"" but ""фактическое"" could be seen as redundant in this context, making the phrase slightly less natural. While not strictly incorrect, a more concise option might be preferable."
13,Going to be my first project car.,Будет моей первой машиной для проекта.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""машиной для проекта"" is a grammatically correct translation of ""project car"", but the more common term in Russian for this concept, especially in the context of hobbyist car modification, would be ""проект"". This makes the translation slightly less idiomatic.
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженным клиренсом.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The Russian translation ""клиренсом"" is not a direct translation of ""ride height"" but refers to ground clearance. While related, it's not a perfect term in this context, although understandable.
```"
20,#Venting into the Fediverse time.,Время поныть в Федивселенную.,"```
MQM annotations:
Terminology errors:
minor: WRONG TERM - ""Федивселенную"" should be in the dative case: ""в Федивселенной"".
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли рассчитываться, кассир была довольно очевидной транс-женщиной.","```
MQM annotations:
Terminology errors:
minor: WRONG TERM - The term ""транс-женщиной"" is not the most appropriate translation for ""#trans woman"" in this context. While grammatically correct, it could be considered insensitive. A more neutral translation might be ""трансгендерной женщиной"" or simply ""трансгендерной женщиной"".
```"
