index,original,translated,accuracy_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - ""за пределами vtable"" does not precisely reflect the meaning of ""off the end of a vtable"" in the source text.
[Minor]: none"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе"" does not fully capture the meaning of the source text ""for those cases it matters what interface you are using to create the object in question."" The translation is more literal and does not convey the nuance of the original.
[Minor]: none"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""чтобы вызов к новому был действителен"" does not accurately reflect the meaning of the source text ""so that the call to the new one was valid"". The translation suggests that the call to the new method was valid, while the source indicates that the implementation of the viewport needed to be extended to include the IDirect3DViewport3 methods in order for the call to the new one to be valid.
[Minor]: [accuracy/addition] - The phrase ""так или иначе"" is added in the translation, which is not present in the source text."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

The Russian translation accurately conveys the meaning of the English source text. There are no significant accuracy errors."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""создают"" (create) does not accurately reflect the meaning of the source text ""don't create"", which indicates that the experiments do not create the facts, but rather control which facts are discovered.
[Minor]: none"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Accuracy Errors
[Major]: [accuracy/mistranslation] - The translation ""теории, утверждающие существование объективных научных фактов"" does not fully capture the meaning of the source text ""theories asserting the existence of objective scientific facts"". The translation is more literal and does not convey the nuance of the original.
[Minor]: [accuracy/addition] - The translation ""правдоподобного аргумента"" adds the word ""правдоподобного"" (plausible) which is not present in the source text.
[Minor]: [accuracy/addition] - The translation ""фактическое содержание науки"" adds the word ""фактическое"" (actual) which is not present in the source text."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Это будет моим первым проектным автомобилем"" does not precisely reflect the meaning of the source text ""Going to be my first project car."" The translation uses the word ""проектным"" (project) which does not accurately convey the meaning of ""project car"" in the source.
[Minor]: none"
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
Accuracy Errors
[Minor]: accuracy/mistranslation - The translation ""пружинных амортизаторов"" (coil springs) does not precisely reflect the meaning of ""coil overs"" in the source text, which refers to a specific type of suspension system."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""Выпускание пара в Федиверсум"" does not accurately convey the meaning of the source text ""#Venting into the Fediverse time."" The Russian translation focuses on the idea of ""releasing steam/venting"" rather than the specific context of ""venting into the Fediverse."""
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
Accuracy Errors
[Major]: accuracy/mistranslation - The translation ""довольно очевидная #trans женщина"" does not fully capture the meaning of the source text ""a fairly obvious #trans woman"". The translation focuses more on the obviousness of the person's transgender identity, rather than the neutral observation of the cashier's transgender status.
[Minor]: none"
