index,original,translated,audience_appropriateness_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""vtable"" may not be familiar to the target Russian audience and could require additional explanation."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The term ""interface"" may not be a commonly understood concept for the target Russian audience, and a more accessible term could be used."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""viewport"" may not be familiar to the target Russian audience, as it is a technical term related to computer graphics."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""for the sake of argument"" may not be a common expression in the target Russian culture and could be less natural or idiomatic."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""эксперименты"" (experiments) may not be a common or familiar concept for the intended Russian audience, and could benefit from further explanation or contextualization."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""plausible argument"" may not be a common phrase in the target Russian audience and could be perceived as overly formal or academic."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""project car"" may not be a common concept or understood in the same way by the Russian audience."
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""coil overs"" may not be familiar to the Russian audience, as it is a specific automotive term that may not be widely used in the target culture.
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The concept of ""lowered ride height"" may not be immediately understood by the Russian audience, as it is a technical term related to vehicle modifications that may not be common knowledge in the target culture."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
audience appropriateness error:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""Fediverse"" may not be widely known or understood by the Russian target audience, as it is a technical term related to decentralized social media platforms."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
audience appropriateness error:
[major]: CULTURE-SPECIFIC REFERENCE - The use of the term ""#trans"" may not be widely understood or accepted in the Russian cultural context, and could be seen as inappropriate or offensive."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело сразу же окаменело, и в её глазах появился страх.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""окаменело"" (literally ""petrified"") may not be a common or natural way to describe someone's body stiffening in the target Russian culture, and could be perceived as overly dramatic or formal."
25,And then we just... paid for our stuff.,И тогда мы просто... заплатили за наши вещи.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""paid for our stuff"" may not be a common or natural way of expressing the idea in Russian, as it could sound too informal or colloquial for the target audience."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The use of the phrase ""FUCKING SUCKS AND I HATE IT"" may be considered inappropriate or too strong for some target audiences, as it contains profanity and strong negative language."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из государственной тюрьмы.,"MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""pardon himself out of state prison"" may not be easily understood by the Russian audience, as the concept of a state governor or president pardoning themselves from a state prison sentence is not a common occurrence in the Russian legal system."
33,It takes the state's governor.,Это занимает у губернатора штата.,"MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""takes the state's governor"" is not a common expression in Russian and may be confusing for the target audience."
36,NY is the best hope for accountability,Нью-Йорк - лучшая надежда на подотчетность.,"MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""accountability"" may not have a direct equivalent or be easily understood in the Russian cultural context."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""sending signals with context-independent meaning"" may not be easily understood by the general Russian audience and could benefit from a more accessible explanation."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""дезамбигуацию"" (disambiguation) may not be familiar to the general Russian audience and could be perceived as overly technical or academic language.
[Minor]: WRONG LANGUAGE VARIETY - The term ""экологические условия"" (environmental conditions) could be more natural in Russian as ""природные условия""."
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,"Я действительно наслаждался встречей с Пенни и Николасом из Ashanti Development на выходных, чтобы поговорить об их прогрессе.","MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""catching up with"" may not be a common expression in the Russian context and could be perceived as unusual."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Я был достаточно удачлив, чтобы провести незабываемые шесть месяцев рядом с Николасом в 2011 году, поддерживая ряд проектов.","MQM annotations:
audience appropriateness error:
[minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""рядом с Николасом"" may not be as culturally appropriate or common in the Russian context compared to the English original ""alongside Nicholas""."
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николай работает с фермерами, чтобы сократить использование пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как осенний армейский червь, который может опустошить посевы кукурузы.","MQM annotations:
Audience Appropriateness Errors
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The term ""fall armyworm"" may not be familiar to the Russian audience, and a more common or descriptive term could be used."
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне написать этикетку или написать на коробке.,"MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""UPS store"" may not be familiar or have the same cultural connotations for a Russian audience, as UPS is an American shipping company.
[Minor]: WRONG LANGUAGE VARIETY - The translation ""Магазин UPS"" uses a more formal term for ""store"" that may not align with the casual tone of the source text."
55,They won't allow me to tell them the address it's going to and who is shipping it.,"Они не позволят мне сообщить им адрес, куда это отправляется, и кто это отправляет.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""won't allow me to tell them"" may be interpreted as overly formal or bureaucratic language, which may not be appropriate for the target audience.
[Minor]: WRONG LANGUAGE VARIETY - The phrase ""куда это отправляется, и кто это отправляет"" uses a more formal and impersonal language variety that may not align with the intended target audience's expectations."
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда взимают с меня $2,25 за это ""удобство"".","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The term ""convenience"" may not have the same cultural connotation in the Russian context as it does in English, potentially causing a slight disconnect for the target audience."
64,The ratings--seeking delusional irresponsibility of it all.,"Рейтинг-ищущая, бредовая безответственность всего этого.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The term ""рейтинг-ищущая"" (ratings-seeking) may not be a common or easily understandable phrase for the target Russian audience.
[Minor]: WRONG LANGUAGE VARIETY - The word ""бредовая"" (delusional) is a more colloquial or informal term that may not align with the expected language register for the target audience."
65,It can't be repeated.,Это не может быть повторено.,"MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""это не может быть повторено"" may sound slightly unnatural or formal in the target Russian culture, as the more common way to express this idea would be ""это невозможно повторить""."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозной подвал, что, по сути, означает, что я могу получить много грызунов, ищущих убежища.","MQM annotations:
audience appropriateness error:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""ищущих убежища"" (seeking refuge) may not be the most appropriate way to describe rodents in the basement, as it could be seen as anthropomorphizing the animals and may not resonate well with the target audience."
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","Было много признаков большего количества грызунов в течение последнего месяца или около того, что было исключительно удивительно, так как это весна, и я думал, что они будут выходить на улицу с изменением погоды.","MQM annotations:
audience appropriateness errors:
[Major]: CULTURE-SPECIFIC REFERENCE - The phrase ""venture outdoors"" may not be a common expression in the target Russian culture, and could be less natural or understandable for the intended audience."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","(для информации, я пробовал почти все ""гуманные"" ловушки на рынке с очень небольшим успехом.)","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""for information"" (fwiw) may not be a common expression in the Russian cultural context."
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно счастлив убивать их, но я не буду принимать комментарии об этике убийства мышей.","MQM annotations:
Audience Appropriateness Errors
[Major]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""I won't be taking comments on the ethics of killing mice"" may be perceived as insensitive or inappropriate for some audiences, as the ethics of animal treatment can be a sensitive topic."
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые поощряют более активную деловую активность.","MQM annotations:
audience appropriateness error:
[minor]: culture-specific reference - The phrase ""more business activity"" may not be a common or easily understandable concept for the Russian audience, as the translation ""более активную деловую активность"" may sound overly formal or technical."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx исчез, хотя это была бы близкая гонка на дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","MQM annotations:
audience appropriateness errors:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The reference to ""goatse.cx"" and ""khou.com"" may not be widely understood or appropriate for the target audience, as they are likely obscure or potentially inappropriate websites."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","На первом поезде сегодня контролер посмотрел на наши билеты и сказал ""долгое путешествие!"".","MQM annotations:
audience appropriateness errors:
[Minor]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""long journey!"" may not be a common or natural expression in the Russian cultural context, and could be perceived as slightly unusual or unfamiliar."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто отвожу его в Глазго,"" - попытался я объяснить, указывая на своего спутника.","MQM annotations:
audience appropriateness errors:
[Minor]: CULTURE-SPECIFIC REFERENCE - The phrase ""in Glasgow"" may not be immediately clear to all Russian readers, as it refers to a specific city in the UK."
