index,original,zero_shot_translation,improved_translation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","Взломанная версия Jedi Knight аварийно завершалась, потому что она вызывала функцию за пределами таблицы виртуальных функций."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","Но это не всегда так; в таких случаях важно, какой интерфейс вы используете для создания этого объекта."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","Чтобы исправить это, мне пришлось расширить реализацию моего графического окна, включив методы IDirect3DViewport3, чтобы вызов к новому методу был корректным."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","Эксперименты не порождают фактов в этом контексте, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это краткий очерк аргумента о том, что теории капитализма, влияющие на содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,Это будет моим первым автомобилем-проектом.
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,Уже установлены амортизаторы с пружинами и понижена высота подвески.
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,#Время поделиться мыслями в Федивёрсе.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","Когда мы подошли к кассе, кассир была очевидно трансгендерной женщиной."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело сразу же окаменело, и в её глазах появился страх.","Её тело сразу напряглось, и в её глазах появился испуганный взгляд."
25,And then we just... paid for our stuff.,И тогда мы просто... заплатили за наши вещи.,И тогда мы просто оплатили свои покупки.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","Улыбка облегчения на ее лице была замечательным чувством, но то, что она сначала испугалась, ЧЕРТОВСКИ УЖАСНО, и это меня бесит."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из государственной тюрьмы.,Но он не может выйти из государственной тюрьмы по помилованию.
33,It takes the state's governor.,Это занимает у губернатора штата.,Это является обязанностью губернатора штата.
36,NY is the best hope for accountability,Нью-Йорк - лучшая надежда на подотчетность.,Нью-Йорк - лучшая надежда на обеспечение подотчетности.
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","Реальное общение не может быть сведено к передаче контекстно-независимых сигналов, о чем свидетельствуют значительные данные."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","В то же время мы изучаем условия окружающей среды и когнитивные возможности, которые позволяют разрешать неоднозначность значений символов в контексте."
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,"Я действительно наслаждался встречей с Пенни и Николасом из Ashanti Development на выходных, чтобы поговорить об их прогрессе.","Я с удовольствием пообщался с Пенни и Николасом из Ashanti Development на выходных, чтобы обсудить их прогресс."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Я был достаточно удачлив, чтобы провести незабываемые шесть месяцев рядом с Николасом в 2011 году, поддерживая ряд проектов.","Я провёл незабываемые шесть месяцев в 2011 году, поддерживая ряд проектов вместе с Николасом."
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николай работает с фермерами, чтобы сократить использование пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как осенний армейский червь, который может опустошить посевы кукурузы.","Николай работает с фермерами, чтобы сократить использование пестицидов и найти способы решения проблем, вызванных изменением климата и вредителями, такими как осенний армейский червь, который может уничтожить посевы кукурузы."
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне написать этикетку или написать на коробке.,В отделении UPS рядом со мной не разрешают наклеивать этикетку или писать на коробке.
55,They won't allow me to tell them the address it's going to and who is shipping it.,"Они не позволят мне сообщить им адрес, куда это отправляется, и кто это отправляет.",Они не разрешат мне сообщить адрес получателя и кто отправляет.
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда взимают с меня $2,25 за это ""удобство"".","И они всегда берут с меня дополнительную плату в размере 2,25 $ за это."
64,The ratings--seeking delusional irresponsibility of it all.,"Рейтинг-ищущая, бредовая безответственность всего этого.","Рейтингоискательская, безответственная и нереалистичная суть всего этого."
65,It can't be repeated.,Это не может быть повторено.,Это невозможно повторить.
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозной подвал, что, по сути, означает, что я могу получить много грызунов, ищущих убежища.","У меня в подвале сильные сквозняки, из-за чего там могут поселиться многие грызуны, ищущие укрытия."
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","Было много признаков большего количества грызунов в течение последнего месяца или около того, что было исключительно удивительно, так как это весна, и я думал, что они будут выходить на улицу с изменением погоды.","Было заметно значительное увеличение количества грызунов в последний месяц, что оказалось довольно неожиданным, учитывая, что сейчас весна, и я ожидал, что они будут чаще появляться на улице с наступлением теплой погоды."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","(для информации, я пробовал почти все ""гуманные"" ловушки на рынке с очень небольшим успехом.)","Я пробовал почти все ""гуманные"" ловушки на рынке, но с очень небольшим успехом."
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно счастлив убивать их, но я не буду принимать комментарии об этике убийства мышей.","Я не в восторге от необходимости их убивать, но не буду обсуждать этику умерщвления мышей."
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые поощряют более активную деловую активность.","Но они также отменили гранты и налоговые кредиты, которые стимулировали более активную предпринимательскую деятельность."
