index,original,translated,linguistic_convention_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The comma after ""vtable"" is missing."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is not natural in Russian. The phrase ""для этих случаев"" should be placed at the beginning of the sentence for better flow."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is not natural and grammatically correct. The phrase ""to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid"" is awkward and could be rephrased in a more natural way.
[Minor]: [punctuation] - The comma after ""So anyway"" is not necessary."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of the word ""Предположим"" should be capitalized."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The first letter of the first word in the translation should be capitalized."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
linguistic conventions errors:
[minor]: capitalization - The first word in the translation ""Это"" should be capitalized as ""Это"".
[minor]: punctuation - The period at the end of the translation is missing."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""Это будет моим первым проектным автомобилем."" should have the first letter capitalized as ""Это будет моим первым Проектным автомобилем."""
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Уже"" should be capitalized at the beginning of the sentence.
[Minor]: [Punctuation] - The sentence should end with a period."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The translation ""Выпускание пара в Федиверсум"" should have the first letter of ""Федиверсум"" capitalized according to Russian language conventions."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""#trans"" should be capitalized as ""#Trans"" according to the conventions of the target language."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело сразу же окаменело, и в её глазах появился страх.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The first letter of the first word in the translation should be capitalized."
25,And then we just... paid for our stuff.,И тогда мы просто... заплатили за наши вещи.,"MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing punctuation at the end of the sentence.

The Russian translation is a linguistically correct rendering of the English source text, with the only minor issue being the lack of a period at the end of the sentence."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The use of the word ""FUCKING"" in the translation is not in line with standard language conventions and may be considered inappropriate or offensive in some contexts.
[Minor]: [capitalization] - The capitalization of ""ЧЕРТОВСКИ"" is inconsistent with the rest of the translation."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из государственной тюрьмы.,"MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - The translation is missing a period at the end of the sentence."
33,It takes the state's governor.,Это занимает у губернатора штата.,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is incorrect. The original English sentence ""It takes the state's governor"" should be translated as ""Это занимает губернатора штата"" in Russian, not ""Это занимает у губернатора штата""."
36,NY is the best hope for accountability,Нью-Йорк - лучшая надежда на подотчетность.,"MQM annotations:
linguistic conventions errors:
[Minor]: capitalization - The translation ""Нью-Йорк"" should be capitalized as ""Нью-Йорк"" according to Russian capitalization conventions."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure ""Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением"" is grammatically correct, but it could be more natural and idiomatic in Russian."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","MQM annotations:
linguistic conventions errors:
[Minor]: grammar - The phrase ""контекстуальную дезамбигуацию"" is grammatically correct, but it may be more natural to use ""контекстуальное разрешение неоднозначности"" instead."
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,"Я действительно наслаждался встречей с Пенни и Николасом из Ashanti Development на выходных, чтобы поговорить об их прогрессе.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""Ashanti"" should be capitalized as it is a proper noun."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Я был достаточно удачлив, чтобы провести незабываемые шесть месяцев рядом с Николасом в 2011 году, поддерживая ряд проектов.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Николасом"" should be capitalized as ""Николасом"" to follow the capitalization conventions in Russian."
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николай работает с фермерами, чтобы сократить использование пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как осенний армейский червь, который может опустошить посевы кукурузы.","MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The name ""Nicholas"" should be capitalized as ""Николай"" in the Russian translation.
[Minor]: [punctuation] - The comma after ""одновременно"" should be removed to improve the flow of the sentence."
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне написать этикетку или написать на коробке.,"MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence ""Магазин UPS рядом со мной не позволяет мне написать этикетку или написать на коробке."" is grammatically incorrect. The verb ""позволяет"" should be in the negative form ""не позволяет"".
[Minor]: [punctuation] - The sentence should end with a period (""."") instead of a comma."
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда взимают с меня $2,25 за это ""удобство"".","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - The translation is missing a period at the end of the sentence."
64,The ratings--seeking delusional irresponsibility of it all.,"Рейтинг-ищущая, бредовая безответственность всего этого.","MQM annotations:
linguistic conventions errors:
[Major]: [Spelling] - The word ""рейтинг-ищущая"" should be ""рейтингоискательская"".
[Minor]: [Punctuation] - The hyphen in ""рейтинг-ищущая"" should be a dash."
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозной подвал, что, по сути, означает, что я могу получить много грызунов, ищущих убежища.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The phrase ""ищущих убежища"" is grammatically incorrect. It should be ""ищущих убежище"" to match the singular noun ""подвал"".
[Minor]: [punctuation] - The comma after ""по сути"" is unnecessary."
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","Было много признаков большего количества грызунов в течение последнего месяца или около того, что было исключительно удивительно, так как это весна, и я думал, что они будут выходить на улицу с изменением погоды.","MQM annotations:
linguistic conventions errors:
[Major]: [grammar] - The sentence structure is awkward and does not flow naturally. The translation does not read as smoothly as the original English.
[Minor]: [punctuation] - The comma after ""or so"" is unnecessary."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","(для информации, я пробовал почти все ""гуманные"" ловушки на рынке с очень небольшим успехом.)","MQM annotations:
linguistic conventions errors:
[Minor]: punctuation - Missing period at the end of the sentence."
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно счастлив убивать их, но я не буду принимать комментарии об этике убийства мышей.","MQM annotations:
linguistic conventions errors:
[minor]: punctuation - The translation lacks a period at the end of the sentence."
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые поощряют более активную деловую активность.","MQM annotations:
linguistic conventions errors:
[Minor]: [Punctuation] - Missing comma after ""grants and tax credits""."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx исчез, хотя это была бы близкая гонка на дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","MQM annotations:
linguistic conventions errors:
[Minor]: [Capitalization] - The word ""Wendy"" should be capitalized.
[Minor]: [Punctuation] - The comma after ""say"" is unnecessary."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","На первом поезде сегодня контролер посмотрел на наши билеты и сказал ""долгое путешествие!"".","MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The Russian translation is missing a period at the end of the sentence."
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто отвожу его в Глазго,"" - попытался я объяснить, указывая на своего спутника.","MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing comma after ""Glasgow""."
