index,original,translated,locale_convention_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","locale conventions:

MQM annotations:
[Major]: [locale_conventions/number_format] - The translation uses a slash (""/"") to separate the function call from the vtable, which is not the correct locale convention for Russian. The correct format would be to use a comma or a space to separate the elements."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","locale conventions:

MQM annotations:
[Minor]: [locale_conventions/number format] - The translation uses a slash (""/"") to separate the number groups, which is not the standard format in Russian. The Russian number format typically uses a space to separate the groups."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","locale conventions:

MQM annotations:
Major: address format - The address format in the Russian translation does not match the English source. The order and placement of the address elements are incorrect.
Minor: number format - The use of brackets around the postal code in the Russian translation is not a standard locale convention."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""12,345"" should be formatted as ""12 345"" according to Russian locale conventions."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","Locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Locale conventions:

MQM annotations:
[Minor]: [number format] - The target text uses a slash (""/"") to separate the numeric value, which is not the correct format for Russian. The number should be formatted as ""11,99"" instead of ""11/99""."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""first"" is not formatted according to the Russian locale convention."
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The address format in the Russian translation does not match the English source. In Russian, the address elements should be presented in a different order."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"locale conventions:

MQM annotations:
[Minor]: [address format] - The translation does not follow the standard Russian address format, which typically includes the street name, house number, city, and postal code."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","locale conventions:

MQM annotations:
[Major]: [locale_conventions/address format] - The address format in the Russian translation does not match the English source. In Russian, the address should be formatted as ""улица Дезерт Блафф, 123, Каньонлендс, AC 12345, Соединенные Штаты""."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело сразу же окаменело, и в её глазах появился страх.","locale conventions:

MQM annotations:
[Minor]: [address format] - The placement of ""St."" is incorrect in Russian."
25,And then we just... paid for our stuff.,И тогда мы просто... заплатили за наши вещи.,"locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","locale conventions:

MQM annotations:
Major: CURRENCY FORMAT - The currency format in the Russian translation does not match the locale-specific requirements. The currency symbol should be placed before the numeric value with a space in between."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из государственной тюрьмы.,"locale conventions:

MQM annotations:
[Minor]: [no-error] - There are no locale convention errors in the translation."
33,It takes the state's governor.,Это занимает у губернатора штата.,"locale conventions:

MQM annotations:
[Major]: [LOCALE CONVENTIONS/SENTENCE STRUCTURE] - The structure of the translated sentence is awkward and does not match the natural flow of the source text."
36,NY is the best hope for accountability,Нью-Йорк - лучшая надежда на подотчетность.,"locale conventions:

MQM annotations:
[Minor]: [NUMBER FORMAT] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the English locale convention."
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","locale conventions:

MQM annotations:
[Minor]: [number format] - The numeric value ""332 443 - X"" should be formatted as ""332 443-X"" to match the source text."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","locale conventions:

MQM annotations:
[Minor]: [ACCURACY/MISTRANSLATION] - The translation ""контекстуальную дезамбигуацию"" does not accurately convey the meaning of ""contextual disambiguation"" from the source text."
