index,original,zero_shot_translation,annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""вызывала функцию за пределами vtable"" does not accurately convey the meaning of the original ""calling a function off the end of a vtable"". The translation is not as precise as the original.

Fluency Errors
[Minor]: [grammar] - The translation uses the past tense ""падала"" (was crashing) instead of the present tense, which would be more appropriate for describing the issue.

Terminology Errors
[Minor]: [inappropriate for context] - The term ""vtable"" is a technical programming concept that may not be familiar to all Russian readers. A more general, less technical term could be more appropriate.

Overall, the translation conveys the main idea, but could be improved in terms of accuracy, fluency, and terminology to better match the source text."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""для этих случаев"" does not accurately convey the meaning of ""for those cases"" in the source text.

Fluency Errors
[Minor]: [grammar] - The translation ""имеет значение, какой интерфейс вы используете"" could be improved to ""важно, какой интерфейс вы используете"" to better match the grammar of the source text.

Terminology Errors
[Minor]: [inappropriate for context] - The term ""в вопросе"" is not the most natural way to refer to ""the object in question"" in this context.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact the comprehension of the text."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation does not accurately convey the meaning of the original text. The phrase ""to fix it"" is translated as ""чтобы исправить это"", which is not a direct translation.
[Minor]: [omission] - The translation omits the phrase ""since it does hold true here"", which is present in the original text.

Fluency Errors
[Minor]: [grammar] - The translation contains some grammatical errors, such as the use of ""до включения"" instead of ""для включения"".

Terminology Errors
[Minor]: [inappropriate for context] - The term ""viewport"" is a technical term that may not be familiar to all readers in the target language.

Overall, the translation conveys the general meaning of the original text, but there are some minor errors in accuracy, fluency, and terminology that could be improved."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
Accuracy Errors
[Minor]: [Mistranslation] - The translation accurately conveys the meaning of the source text, but the phrasing is slightly different.

Fluency Errors
[No Errors]

Locale Convention Errors
[No Errors]

Style Errors
[No Errors]

Terminology Errors
[No Errors]

Non-Translation Errors
[No Errors]

Other Errors
[No Errors]

Overall, the translation is of high quality and accurately conveys the meaning of the source text with minimal errors."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Эксперименты не создают фактов в этом чтении"" does not fully capture the meaning of the original ""The experiments don't create the facts on this reading"". The translation implies that the experiments do not create facts in this particular reading, while the original suggests that the experiments themselves do not create the facts.
[Minor]: [omission] - The translation omits the phrase ""but the choice of which experiments to conduct controls which facts are discovered"" from the original.

Fluency Errors
[Minor]: [grammar] - The translation ""какие эксперименты проводить, контролирует, какие факты будут обнаружены"" has a slightly awkward grammatical structure compared to the original."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов."" does not fully capture the meaning of the original English sentence, which states that the theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.
Fluency Errors
[Minor]: [grammar] - The translation uses a slightly awkward grammatical structure compared to the original English sentence.
[Minor]: [register] - The translation uses a slightly more formal register compared to the original English sentence.
Terminology Errors
[Minor]: [inappropriate for context] - The translation uses the term ""набросок"" (sketch) which may not be the most appropriate term in this context.
Style Errors
[Minor]: [awkward] - The translation is a bit more wordy and less concise compared to the original English sentence."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:

Accuracy Errors
[Minor]: Mistranslation - The phrase ""project car"" is not accurately translated as ""проектный автомобиль"" in Russian. A more appropriate translation would be ""автомобиль для тюнинга"" or ""автомобиль для доработки"".

Fluency Errors
[Minor]: Register - The translation uses a more formal register than the original English text, which has a more casual tone.

Terminology Errors
[Minor]: Inappropriate for context - The term ""проектный автомобиль"" is not a common or natural way to refer to a ""project car"" in Russian.

Overall, the translation is understandable, but there are some minor issues with accuracy, fluency, and terminology that could be improved to better capture the meaning and tone of the original English text."
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""пружинных амортизаторах"" (coil springs) does not accurately convey the meaning of ""coil overs"" in the source text.

Fluency Errors
[Minor]: [grammar] - The translation ""с пониженной высотой подвески"" (with lowered suspension height) is grammatically correct but could be more natural as ""с пониженной посадкой"" (with lowered ride height).

Terminology Errors
[Minor]: [inappropriate for context] - The term ""пружинных амортизаторах"" (coil springs) is not the most appropriate terminology for the context of describing a vehicle's suspension modifications.

Overall, the translation is generally accurate and fluent, with only minor errors that do not significantly impact comprehension."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
Accuracy Errors
[Minor]: [mistranslation] - The translation ""Выпускание пара в Федиверсум"" does not accurately convey the meaning of the original English phrase ""#Venting into the Fediverse time."" The Russian translation is more literal and does not capture the idiomatic meaning of ""venting"" in this context.

Fluency Errors
[Minor]: [register] - The Russian translation uses a more formal and technical register compared to the more casual and conversational tone of the original English phrase.

Terminology Errors
[Minor]: [inappropriate for context] - The term ""Федиверсум"" is a direct transliteration of the English term ""Fediverse,"" which may not be a widely recognized or commonly used term in the Russian language context.

Overall, the translation is generally understandable, but there are some minor errors in accuracy, fluency, and terminology that could be improved to better convey the intended meaning of the original English phrase."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
Accuracy Errors
[Minor]: Untranslated text - The term ""#trans"" was not translated.

Fluency Errors
[Minor]: Register - The translation uses a more formal register compared to the source text.

Locale Convention Errors
[No Error]

Style Errors
[No Error]

Terminology Errors
[No Error]

Non-Translation Errors
[Minor]: Untranslated text - The term ""#trans"" was not translated.

Other Errors
[No Error]"
