index,original,translated,style_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation ""Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable"" reads too literally and lacks the natural flow expected in the Russian language. A more natural expression could be used."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе."" reads too literally and lacks the natural flow expected in the Russian language.
[Minor]: [REGISTER] - The use of the formal pronoun ""вы"" in the translation may not be appropriate for the context, a more informal register could be more natural."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. For example, ""чтобы вызов к новому был действителен"" could be expressed more naturally as ""чтобы вызов к новому методу был корректным"".
[Minor]: [REGISTER] - The translation uses a more formal register (""мне пришлось"") than the source text (""I had to""), which has a more casual tone."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
Style Errors:
[major]: [unnatural flow] - The translation ""Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать"" reads a bit awkwardly and lacks the natural flow expected in Russian. A more natural phrasing could be used."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural expression could be used.

The translation is:
""Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.""

This is a direct translation of the English source, which results in an unnatural flow in Russian. A more natural way to express this could be:

""Эксперименты не порождают фактов в этом контексте, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены."""
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The translation reads too literally and lacks the natural flow expected in the target language. A more natural phrasing would be more appropriate."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""Это будет моим первым проектным автомобилем."" reads too literally and lacks the natural flow expected in the Russian language. A more natural way to express this would be ""Это будет моим первым автомобилем-проектом."""
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
Style Errors:
[major]: [register] - The translation uses a more formal register (""Уже на пружинных амортизаторах"") compared to the informal tone of the source text (""Already on coil overs"").
[minor]: [unnatural flow] - The translation ""с пониженной высотой подвески"" reads a bit awkwardly compared to the more natural-sounding source text ""lowered ride height""."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
Style Errors:
[Major]: [UNNATURAL FLOW] - The translation ""Выпускание пара в Федиверсум"" reads too literally and lacks the natural flow expected in the Russian language. A more idiomatic expression would be more appropriate."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
Style Errors:
[major]: [register] - The translation uses a formal register (""женщина"") when a more natural and inclusive term like ""женщина-транс"" would be more appropriate."
