index,original,translated,terminology_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""vtable"" in the source text should have been translated as ""таблица виртуальных функций"" in Russian, instead of ""vtable""."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""interface"" should have been translated as ""интерфейс"" instead of ""интерфейс вы используете""."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","MQM annotations:
Terminology Errors:
major: WRONG TERM - The term ""viewport"" in the target text does not accurately convey the meaning of the source term. The Russian translation ""реализация моего viewport"" is not a common or idiomatic way to express the concept.
minor: WRONG TERM - The term ""IDirect3DViewport3"" in the target text is not properly translated. The Russian translation ""методы IDirect3DViewport3"" is a direct transliteration of the English term and may not be familiar to the target audience."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
Terminology Errors:
[minor]: [TERM NOT APPLIED] - The term ""world"" should be translated as ""мир"" instead of ""мире"" to match the glossary entry."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""эксперименты"" in the target text does not match the correct glossary term ""experiments"" from the source text.
[major]: [TERM NOT APPLIED] - The term ""факты"" in the target text does not match the correct glossary term ""facts"" from the source text.
[minor]: [WRONG TERM] - The term ""чтение"" in the target text is not the appropriate translation for the glossary term ""reading"" from the source text."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""capitalism"" in the source text should be translated as ""капитализм"" in Russian, but the translation uses ""капитала"" instead.
[minor]: [WRONG TERM] - The term ""content"" in the source text should be translated as ""содержание"" in Russian, but the translation uses ""фактическое содержание"" instead.
[minor]: [WRONG TERM] - The term ""facts"" in the source text should be translated as ""факты"" in Russian, but the translation uses ""научных фактов"" instead."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,"MQM annotations:
Terminology Errors:
major: TERM NOT APPLIED - The term ""проектным автомобилем"" does not accurately convey the meaning of ""project car"" in the source text."
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,"MQM annotations:
Terminology Errors:
[major]: [TERM NOT APPLIED] - The term ""coil overs"" should have been translated as ""амортизаторы с пружинами"" instead of ""пружинные амортизаторы"".
[minor]: [WRONG TERM] - The term ""ride height"" should have been translated as ""высота подвески"" instead of ""высота подвески""."
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,"MQM annotations:
Terminology Errors:
minor: [TERM NOT APPLIED] - The term ""Федиверсум"" does not match the glossary specification for the English term ""Fediverse""."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.","MQM annotations:
Terminology Errors:
[major]: [WRONG TERM] - The term ""#trans"" should be translated as ""трансгендерная"" in Russian to match the context."
