index,original,zero_shot_translation,reference_translation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight падала, потому что она вызывала функцию за пределами vtable.","Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию с конца виртуальной таблицы."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не является универсально верным; для этих случаев имеет значение, какой интерфейс вы используете для создания объекта в вопросе.","Но это не всегда верно; в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Так или иначе, поскольку это действительно верно здесь, чтобы исправить это, мне пришлось расширить реализацию моего viewport до включения методов IDirect3DViewport3, чтобы вызов к новому был действителен.","Так или иначе, поскольку в данном случае произошло именно это, чтобы все исправить, мне пришлось расширить реализацию области просмотра и добавить методы IDirect3DViewport3, чтобы новый вызов работал."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Давайте в рамках дискуссии предположим, что по крайней мере частично, научное знание представляет собой списки объективно соответствующих действительности утверждений о мире, которые истинны независимо от того, верность какой теории они подтверждают."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают фактов в этом чтении, но выбор, какие эксперименты проводить, контролирует, какие факты будут обнаружены.","Эксперименты не формируют факты, но при этом то, какие именно факты будут получены, зависит от выбора проводимых экспериментов."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это лишь краткая версия вполне обоснованной аргументации в пользу того, что теории капитализма, влияющие на фактическое содержание научного знания, согласуются с теориями, утверждающими, что объективные научные факты в принципе существуют."
13,Going to be my first project car.,Это будет моим первым проектным автомобилем.,Это будет мой первый опыт тюнинга машины.
16,Already on coil overs and lowered ride height.,Уже на пружинных амортизаторах и с пониженной высотой подвески.,Она уже с койловерами и занижена.
20,#Venting into the Fediverse time.,#Выпускание пара в Федиверсум.,#Время выговориться на Fediverse.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассир - довольно очевидная #trans женщина.",За кассой была очевидная #транс-женщина.
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело сразу же окаменело, и в её глазах появился страх.","Она сразу напряглась, в глазах появился испуг."
25,And then we just... paid for our stuff.,И тогда мы просто... заплатили за наши вещи.,А потом мы просто... заплатили за наши покупки.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на ее лице была великим чувством, но тот факт, что она сначала испугалась, ЧЕРТОВСКИ ОТСТОЙ И Я НЕНАВИЖУ ЭТО.","Было здорово увидеть, как она с облегчением улыбнулась, но сам факт, что сначала она нас испугалась — это БЛЯДСКИЙ ОТСТОЙ, НЕНАВИЖУ ЭТУ ФИГНЮ."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из государственной тюрьмы.,"Но он не сможет этого сделать, если будет сидеть в тюрьме штата."
33,It takes the state's governor.,Это занимает у губернатора штата.,Для этого понадобится помилование от губернатора штата.
36,NY is the best hope for accountability,Нью-Йорк - лучшая надежда на подотчетность.,"Нью-Йорк — наш главный шанс добиться того, чтобы Трамп понес ответственность"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное свидетельство того, что реальное общение не может быть сведено к отправке сигналов с контекстно-независимым значением.","Имеются убедительные доказательства того, что реальная коммуникация не может быть сведена к отправке сигналов с контекстно-независимым значением."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем экологические условия и когнитивные возможности, которые позволяют контекстуальную дезамбигуацию значений символов.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют исключить неоднозначность значений символов в зависимости от контекста."
