index,original,translated,accuracy_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""hacked up version"" is mistranslated as ""взломанная версия,"" which implies ""cracked"" or ""hacked"" in the sense of unauthorized access, rather than the intended meaning of ""modified"" or ""altered"" in a rough or incomplete way.
[Major]: [accuracy/omission] - The translation omits the specific detail ""off the end of a vtable,"" which is crucial for understanding the exact cause of the crash.
[Minor]: [accuracy/mistranslation] - The term ""vtable"" should be transliterated or explained in Russian to maintain technical accuracy.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/omission] - The phrase ""in question"" is omitted in the translation, which slightly alters the specificity of the statement.
[Minor]: [accuracy/error_subcategory] - None
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""the call to the new one was valid"" is mistranslated as ""вызов нового метода был допустим,"" which implies a new method was created, whereas the original text refers to making an existing call valid.
[Minor]: [accuracy/error_subcategory] - None
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""true apart from any theory they might support"" is mistranslated as ""истинных независимо от любой теории, которую они могут поддерживать,"" which slightly alters the meaning. The translation implies independence from any theory, whereas the original suggests truthfulness regardless of the theory they might support.
[Minor]: [accuracy/error_subcategory] - None
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""на этом прочтении"" (on this reading) is a mistranslation of ""on this reading,"" which should be interpreted as ""in this context"" or ""in this interpretation.""
[Major]: [accuracy/mistranslation] - The phrase ""определяет, какие факты будут обнаружены"" (determines which facts will be discovered) is a mistranslation of ""controls which facts are discovered,"" which implies a more active role in guiding the discovery process rather than merely determining it.
[Minor]: [accuracy/mistranslation] - None
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""влияющие на фактическое содержание науки"" translates to ""influencing the actual content of science,"" but ""фактическое"" is more accurately ""factual"" rather than ""actual,"" which could lead to a misunderstanding of the source text's meaning.
[Minor]: [accuracy/error_subcategory] - None
```"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The translation ""Станет"" means ""will become"" instead of ""going to be,"" which is less precise in conveying the intended future action of the source text.
[Minor]: [accuracy/error_subcategory] - None
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"```
MQM annotations:
Accuracy Errors
[Critical]: accuracy/omission - The source text mentions ""lowered ride height,"" which is not fully captured in the translation. The translation ""с заниженной высотой дорожного просвета"" implies a lowered ground clearance, which is accurate, but the specific term ""ride height"" is not directly translated.
[Major]: accuracy/mistranslation - None
[Minor]: accuracy/addition - The translation includes the word ""дорожного"" (ground), which is not explicitly present in the source text but is implied in the context of ride height.
```"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/mistranslation] - The phrase ""Venting into the Fediverse time"" is mistranslated as ""#Выпуск пара в Федивёрс время,"" which suggests ""venting steam"" rather than expressing thoughts or feelings in the Fediverse.
[Major]: [accuracy/omission] - The translation omits the sense of ""into"" as a preposition indicating direction towards the Fediverse.
[Minor]: [accuracy/addition] - None
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","```
MQM annotations:
Accuracy Errors
[Critical]: [accuracy/error_subcategory] - None
[Major]: [accuracy/mistranslation] - The phrase ""is a fairly obvious"" is mistranslated as ""оказалась довольно очевидная,"" which changes the meaning from ""is"" to ""turned out to be.""
[Minor]: [accuracy/error_subcategory] - None
```"
