index,original,translated,audience_appropriateness_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","```
MQM annotations:
audience appropriateness error:
[Major]: [culture-specific reference] - The term ""vtable"" is a technical jargon specific to programming and may not be familiar to all Russian audiences. It could benefit from additional context or explanation to ensure understanding.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation provided is culturally and linguistically appropriate for a Russian-speaking audience. There are no audience appropriateness issues present in the translated text."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```

The translation provided is appropriate for the target audience and does not contain any cultural or linguistic issues that would cause confusion or a sense of non-belonging. The technical content related to IDirect3DViewport3 methods is preserved, and there are no culture-specific references or language variety issues present."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
audience appropriateness error:
Minor: culture-specific reference - The translation does not contain any culture-specific references that are inappropriate or confusing for the Russian audience. The content is culturally neutral and understandable.
```"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"```
MQM annotations:
audience appropriateness error:
Minor: Culture-specific Reference - The term ""проектный автомобиль"" might not be immediately understood by all Russian speakers as ""project car"" is a specific term used in car enthusiast communities to describe a car that is being worked on as a hobby or project. The cultural context of car modification and restoration projects might not be as prevalent or understood in Russian culture without additional context.
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: CULTURE-SPECIFIC REFERENCE - The term ""койловеры"" (coilovers) is a specialized automotive term that may not be widely understood by a general Russian audience unfamiliar with car modification jargon.
Minor: no-error
```"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The term ""Fediverse"" may not be widely recognized or understood by a Russian-speaking audience, as it is a niche term related to decentralized social networks, which might not have a direct cultural equivalent or widespread usage in Russian.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","```
MQM annotations:
audience appropriateness error:
[Major]: [culture-specific reference] - The phrase ""довольно очевидная транс-женщина"" might not be culturally sensitive or appropriate for all Russian-speaking audiences, as it implies a judgment about the person's appearance that could be considered disrespectful or offensive. It is important to handle descriptions of gender identity with care to avoid potential cultural misunderstandings or offense.
```"
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело мгновенно напряглось, и в глазах появился страх.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за наши вещи.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The use of ""ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО"" may not fully capture the cultural tone of ""FUCKING SUCKS AND I HATE IT"" in the source text, which carries a strong emotional and informal tone that might not be directly translatable into Russian while maintaining the same impact.
```"
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
33,It takes the state's governor.,Это зависит от губернатора штата.,"```
MQM annotations:
audience appropriateness error:
[Major]: [CULTURE-SPECIFIC REFERENCE] - The phrase ""It takes the state's governor"" is translated as ""Это зависит от губернатора штата,"" which means ""It depends on the state's governor."" The translation shifts the meaning slightly, which may cause confusion for a Russian audience unfamiliar with the specific context or idiomatic expression used in the source language.
```"
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"```
MQM annotations:
audience appropriateness error:
Minor: CULTURE-SPECIFIC REFERENCE - The abbreviation ""NY"" for New York may not be immediately recognized by all Russian-speaking audiences, as it is a common English abbreviation that might not be as familiar in Russian contexts.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне очень понравилось пообщаться с Пенни и Николасом из Ashanti Development на выходных и обсудить их успехи.,"```
MQM annotations:
audience appropriateness error:
[Critical]: None
[Major]: None
[Minor]: None
```

Explanation: The translation from English to Russian does not contain any audience appropriateness errors. The content is culturally and linguistically appropriate for the target audience, with no unusual or inappropriate references that would cause confusion or a sense of non-belonging."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев вместе с Николасом в 2011 году, поддерживая ряд проектов.","```
MQM annotations:
audience appropriateness error:
Minor: CULTURE-SPECIFIC REFERENCE - The phrase ""провести незабываемые шесть месяцев"" (spend unforgettable six months) might not fully convey the same cultural nuance of ""memorable"" as in the source text. In Russian, ""незабываемые"" can imply something extraordinary or once-in-a-lifetime, which may not be the intended tone.
```"
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николас работает с фермерами над сокращением использования пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как гусеница совки, которая может уничтожать посевы кукурузы.","```
MQM annotations:
audience appropriateness error:
[Critical]: none
[Major]: none
[Minor]: CULTURE-SPECIFIC REFERENCE - The term ""гусеница совки"" (caterpillar of the scoop) is a literal translation of ""fall armyworm,"" which may not be a commonly recognized term in Russian. A more culturally adapted term or explanation might be needed for clarity.
```"
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне писать этикетку или писать на коробке.,"```
MQM annotations:
audience appropriateness error:
Minor: CULTURE-SPECIFIC REFERENCE - The term ""UPS store"" may not be as commonly understood in Russian culture as it is in English-speaking countries. While UPS operates internationally, the concept of a ""UPS store"" as a retail location might not be as familiar to a Russian audience, potentially leading to minor confusion.
```"
55,They won't allow me to tell them the address it's going to and who is shipping it.,"Они не позволят мне сообщить им адрес, куда это отправляется, и кто отправляет.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда берут с меня $2.25 за это ""удобство"".","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: CULTURE-SPECIFIC REFERENCE - The use of quotation marks around ""удобство"" (""convenience"") may not convey the same sarcastic tone or implication as in English, potentially leading to a slight cultural misunderstanding.
```"
64,The ratings--seeking delusional irresponsibility of it all.,Рейтинго-ищущая бредовая безответственность всего этого.,"```
MQM annotations:
audience appropriateness error:
[Minor]: culture-specific reference - The term ""рейтинго-ищущая"" is a direct translation of ""ratings-seeking,"" which may not be a commonly understood or culturally relevant expression in Russian. A more culturally adapted phrase could enhance understanding.
```"
65,It can't be repeated.,Это нельзя повторить.,"```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозистый подвал, что, по сути, означает, что там может укрываться много грызунов.","```
MQM annotations:
audience appropriateness error:
[Minor]: [Culture-specific Reference] - The term ""сквозистый"" is not commonly used in Russian to describe a drafty space. A more culturally appropriate term would be ""продуваемый"" or ""ветреный,"" which are more familiar to the target audience.
```"
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","За последний месяц или около того появилось много признаков увеличения числа грызунов, что было особенно удивительно, так как сейчас весна, и я бы подумал, что с изменением погоды они отправятся на улицу.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","Кстати, я пробовал почти все ""гуманные"" ловушки на рынке, но с очень небольшим успехом.","```
MQM annotations:
audience appropriateness error:
[Minor]: CULTURE-SPECIFIC REFERENCE - The abbreviation ""fwiw"" (for what it's worth) is a culture-specific expression that might not be immediately understood by a Russian audience without additional context or explanation.
```"
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно рад их убивать, но не собираюсь обсуждать этику убийства мышей.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые стимулируют более активную предпринимательскую деятельность.","```
MQM annotations:
audience appropriateness error:
Critical: no-error
Major: no-error
Minor: no-error
```"
