index,original,translated,linguistic_convention_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The term ""vtable"" should be capitalized as ""Vtable"" to follow proper noun capitalization conventions in Russian.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The semicolon should be replaced with a comma for better punctuation in Russian.
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma after ""так"" is unnecessary in Russian.
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","```
MQM annotations:
linguistic conventions errors:
Minor: punctuation - The comma after ""аргумента"" should be replaced with a dash to better align with Russian punctuation conventions for introductory phrases.
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma before ""но"" should be replaced with a semicolon to properly separate the two independent clauses in the sentence.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The comma before ""согласуются"" is unnecessary in Russian punctuation conventions.
```"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period.
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"```
MQM annotations:
linguistic conventions errors:
Minor: Grammar - The phrase ""с заниженной высотой дорожного просвета"" could be more naturally expressed as ""с заниженным дорожным просветом"" to improve grammatical flow.
```"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [capitalization] - The word ""время"" should be capitalized as ""Время"" to match the capitalization of the original English text where ""Time"" is capitalized.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - Missing comma after ""кассу"" in the Russian translation.
```"
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело мгновенно напряглось, и в глазах появился страх.","```
MQM annotations:
linguistic conventions errors:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за наши вещи.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The ellipsis ""..."" is used inconsistently in Russian. It should be a single character ""…"" or three dots without spaces in Russian typography.
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","```
MQM annotations:
linguistic conventions errors:
[Major]: [punctuation] - The use of commas before conjunctions in Russian is often necessary to separate clauses, so a comma should be added before ""но"" (but).
```"
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [punctuation] - The sentence should end with a period for proper punctuation.
```"
33,It takes the state's governor.,Это зависит от губернатора штата.,"```
MQM annotations:
linguistic conventions errors:
[Minor]: [grammar] - The Russian translation ""Это зависит от губернатора штата."" is grammatically correct, but the phrase ""It takes the state's governor"" is more accurately translated as ""Это требует участия губернатора штата."" The current translation implies dependency rather than the necessity of action.
```"
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"```
MQM annotations:
linguistic conventions errors:
minor: punctuation - The dash in ""Нью-Йорк — лучшая надежда"" should be an en dash (–) instead of a hyphen (-) for proper punctuation in Russian.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: None
```

The translation provided does not contain any linguistic convention errors. The text is well-formed in terms of grammar, punctuation, capitalization, spelling, and word order according to Russian linguistic conventions."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""окружающей среды"" should be replaced with a semicolon to separate the two independent clauses more clearly.
```"
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне очень понравилось пообщаться с Пенни и Николасом из Ashanti Development на выходных и обсудить их успехи.,"```
MQM annotations:
linguistic conventions errors:
Minor: Punctuation - The comma is missing after ""выходных"" in the Russian translation, which would improve the readability of the sentence.
```"
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев вместе с Николасом в 2011 году, поддерживая ряд проектов.","```
MQM annotations:
linguistic conventions errors:
[Critical]: None
[Major]: None
[Minor]: punctuation - The comma after ""2011 году"" should be replaced with a dash for better punctuation style in Russian.
```"
