index,original,zero_shot_translation,annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","MQM annotations:
Accuracy Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Fluency Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Locale Convention Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Style Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Terminology Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Non-Translation Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

Other Errors
[Critical]: [error/error_subcategory] - None
[Major]: [error/error_subcategory] - None
[Minor]: [error/error_subcategory] - None

No-error"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: mistranslation - ""So anyway"" is omitted in the translation, which slightly changes the tone and flow of the sentence.
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: punctuation - The translation could benefit from a comma after ""Итак"" to improve readability.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: awkward - The phrase ""вызов нового метода был допустим"" could be rephrased for smoother readability in Russian.
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-Error
[Critical]: None
[Major]: None
[Minor]: None"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

Overall: no-error"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Non-translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: The translation is accurate and maintains the intended meaning of the source text."
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: None

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"MQM annotations:
Accuracy Errors
[Critical]: mistranslation - The phrase ""Venting into the Fediverse time"" is mistranslated as ""Выпуск пара в Федивёрс время,"" which does not convey the intended meaning of expressing or releasing emotions or thoughts into the Fediverse. The translation is confusing and does not accurately reflect the source text.
[Major]: omission - The translation omits the concept of ""into"" which is crucial for understanding the direction or action of venting.
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: grammar - The word order in ""Федивёрс время"" is awkward and disrupts the flow of the sentence.
[Minor]: punctuation - The lack of punctuation between ""Федивёрс"" and ""время"" makes the sentence difficult to read.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: awkward - The translation is awkward and does not flow naturally in Russian.
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: inappropriate for context - The term ""Выпуск пара"" is not an appropriate translation for ""Venting"" in this context.
[Minor]: None

Non-Translation Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None

Fluency Errors
[Critical]: None
[Major]: None
[Minor]: punctuation - The original sentence contains a period at the end, which is missing in the translation.

Locale Convention Errors
[Critical]: None
[Major]: None
[Minor]: None

Style Errors
[Critical]: None
[Major]: None
[Minor]: None

Terminology Errors
[Critical]: None
[Major]: None
[Minor]: None

Other Errors
[Critical]: None
[Major]: None
[Minor]: None

No-error: None"
