index,original,single_agent_translation,single_agent_improved_translation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","Но это не всегда так; в таких случаях важно, какой интерфейс вы используете для создания данного объекта."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","Итак, в любом случае, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был корректным."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов."
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,Станет моим первым проектным автомобилем.
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,Уже на койловерах и с заниженной высотой дорожного просвета.
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,#Выплеск эмоций в Федивёрс.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина."
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело мгновенно напряглось, и в глазах появился страх.","Её тело мгновенно напряглось, и в глазах появился страх."
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за наши вещи.,А потом мы просто... заплатили за наши вещи.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, просто отвратителен, и я ненавижу это."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"Но он не может помиловать себя, чтобы выйти из тюрьмы штата."
33,It takes the state's governor.,Это зависит от губернатора штата.,Это требует участия губернатора штата.
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,Нью-Йорк — лучшая надежда на привлечение к ответственности.
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов."
