index,original,translated,style_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","```
MQM annotations:
Style Errors:
[major]: [UNNATURAL FLOW] - The phrase ""взломанная версия Jedi Knight вылетала"" reads awkwardly and could be rephrased for a more natural flow, such as ""взломанная версия Jedi Knight постоянно вылетала"".
[minor]: [DO NOT TRANSLATE] - The term ""vtable"" is a technical term that is often left untranslated in Russian technical contexts.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта"" could be rephrased for a more natural flow in Russian.
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","```
MQM annotations:
Style Errors:
minor: UNNATURAL FLOW - The phrase ""чтобы вызов нового метода был допустим"" is grammatically correct but reads awkwardly. A more natural phrasing could be ""чтобы можно было вызывать новый метод"".
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","```
MQM annotations:
Styles error:
[minor]: [style/unnatural flow] - The phrase ""ради аргумента"" is a literal translation of ""for the sake of argument"" and sounds slightly unnatural in Russian. A more natural expression could be ""допустим"" or ""предположим"".
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
Styles error:
minor: unnatural flow - The phrase ""в этом прочтении"" is awkward and could be more naturally expressed as ""в данном контексте"" to improve readability.
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The phrase ""очень краткий набросок правдоподобного аргумента"" sounds slightly awkward and could be more naturally expressed as ""краткий обзор правдоподобного аргумента"".
```"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"```
MQM annotations:
Style errors:
[minor]: [UNNATURAL FLOW] - The phrase ""Станет моим первым проектным автомобилем"" is grammatically correct but sounds slightly awkward and overly literal in Russian. A more natural expression could be ""Это будет мой первый проектный автомобиль.""
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"```
MQM annotations:
Style Errors:
[minor]: [unnatural_flow] - The phrase ""уже на койловерах и с заниженной высотой дорожного просвета"" could be rephrased for a more natural flow in Russian, such as ""уже установлены койловеры и занижена высота дорожного просвета.""
```"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"```
MQM annotations:
Styles error:
minor: UNNATURAL FLOW - The phrase ""выпуск пара в Федивёрс время"" reads awkwardly and lacks natural flow in Russian. A more natural phrasing would be ""время выпустить пар в Федивёрс.""
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","```
MQM annotations:
Style Errors
[major]: [unnatural_flow] - The phrase ""довольно очевидная транс-женщина"" is a literal translation and sounds awkward in Russian. A more natural phrasing would improve readability.
```"
