index,original,translated,terminology_annotation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","```
MQM annotations:
Terminology errors:
minor: TERM NOT APPLIED - The term ""vtable"" should be translated as ""виртуальная таблица"" according to the glossary.
```"
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","```
MQM annotations:
Terminology errors:
None
```"
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""viewport"" should be translated as ""видовой экран"" according to the glossary, but it was translated as ""окно просмотра.""
```"
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","```
MQM annotations:
Terminology errors:
None
```"
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","```
MQM annotations:
Terminology errors:
None
```"
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","```
MQM annotations:
Terminology errors:
none
```"
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,"```
MQM annotations:
Terminology errors:
Minor: TERM NOT APPLIED - The term ""проектный автомобиль"" should be used as ""проектная машина"" according to the glossary specification.
```"
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""coil overs"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,"```
MQM annotations:
Terminology errors:
major: WRONG TERM - The term ""Федивёрс"" should be capitalized as ""Федивёрс"" is a proper noun referring to ""Fediverse"" in Russian.
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.","```
MQM annotations:
Terminology errors:
no-error
```"
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело мгновенно напряглось, и в глазах появился страх.","```
MQM annotations:
Terminology errors:
None
``` 

In this case, there are no terminology errors in the translation provided. The translation accurately conveys the meaning of the source text, and there are no glossary terms that are incorrectly applied or wrongly used."
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за наши вещи.,"```
MQM annotations
Terminology errors:
no-error
```"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","```
MQM annotations:
Terminology errors:
no-error
```"
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"```
MQM annotations:
Terminology errors:
Critical: TERM NOT APPLIED - The term ""state prison"" should be translated according to the glossary specification, but it is not applied in the translation.
```"
33,It takes the state's governor.,Это зависит от губернатора штата.,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The translation ""Это зависит от губернатора штата"" does not accurately reflect the source phrase ""It takes the state's governor."" The Russian translation implies dependency rather than the need for the governor's involvement, which disrupts the flow of the text.
```"
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"```
MQM annotations:
Terminology errors:
Major: WRONG TERM - The translation of ""NY"" as ""Нью-Йорк"" is compliant with the termbase but does not fit in context. The abbreviation ""NY"" should be retained in the translation to match the source.
```"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","```
MQM annotations
Terminology errors:
None
```

In this translation, there are no terminology errors related to glossary entries. The translation correctly conveys the meaning of ""real-world communication"" and ""context-independent meaning"" without any issues in terminology application."
