index,original,zero_shot_translation,reference_translation
0,The hacked up version of Jedi Knight was crashing because it was calling a function off the end of a vtable.,"Взломанная версия Jedi Knight вылетала, потому что вызывала функцию за пределами vtable.","Взломанная версия Jedi Knight вылетала из-за того, что вызывала функцию с конца виртуальной таблицы."
4,But this is not universally true; for those cases it matters what interface you are using to create the object in question.,"Но это не всегда верно; в таких случаях имеет значение, какой интерфейс вы используете для создания данного объекта.","Но это не всегда верно; в этих случаях важно, какой интерфейс вы используете для создания рассматриваемого объекта."
5,"So anyway, since it does hold true here, to fix it I had to extend my viewport implementation to contain the IDirect3DViewport3 methods so that the call to the new one was valid.","Итак, поскольку это действительно так, чтобы исправить это, мне пришлось расширить реализацию моего окна просмотра, чтобы она содержала методы IDirect3DViewport3, чтобы вызов нового метода был допустим.","Так или иначе, поскольку в данном случае произошло именно это, чтобы все исправить, мне пришлось расширить реализацию области просмотра и добавить методы IDirect3DViewport3, чтобы новый вызов работал."
6,"Suppose for the sake of argument that science at least in part consists of lists of objectively factual statements about the world, true apart from any theory they might support.","Предположим, ради аргумента, что наука, по крайней мере частично, состоит из списков объективно фактических утверждений о мире, истинных независимо от любой теории, которую они могут поддерживать.","Давайте в рамках дискуссии предположим, что по крайней мере частично, научное знание представляет собой списки объективно соответствующих действительности утверждений о мире, которые истинны независимо от того, верность какой теории они подтверждают."
9,"The experiments don't create the facts on this reading, but the choice of which experiments to conduct controls which facts are discovered.","Эксперименты не создают факты в этом прочтении, но выбор, какие эксперименты проводить, определяет, какие факты будут обнаружены.","Эксперименты не формируют факты, но при этом то, какие именно факты будут получены, зависит от выбора проводимых экспериментов."
11,This is a very brief sketch of a plausible argument that theories of capitalism influencing the actual content of science are consistent with theories asserting the existence of objective scientific facts.,"Это очень краткий набросок правдоподобного аргумента о том, что теории капитализма, влияющие на фактическое содержание науки, согласуются с теориями, утверждающими существование объективных научных фактов.","Это лишь краткая версия вполне обоснованной аргументации в пользу того, что теории капитализма, влияющие на фактическое содержание научного знания, согласуются с теориями, утверждающими, что объективные научные факты в принципе существуют."
13,Going to be my first project car.,Станет моим первым проектным автомобилем.,Это будет мой первый опыт тюнинга машины.
16,Already on coil overs and lowered ride height.,Уже на койловерах и с заниженной высотой дорожного просвета.,Она уже с койловерами и занижена.
20,#Venting into the Fediverse time.,#Выпуск пара в Федивёрс время.,#Время выговориться на Fediverse.
22,"When we went to check out, the cashier is a fairly obvious #trans woman.","Когда мы пошли на кассу, кассиром оказалась довольно очевидная транс-женщина.",За кассой была очевидная #транс-женщина.
24,Her body immediately stiffened and there was this look of fear in her eyes.,"Её тело мгновенно напряглось, и в глазах появился страх.","Она сразу напряглась, в глазах появился испуг."
25,And then we just... paid for our stuff.,А потом мы просто... заплатили за наши вещи.,А потом мы просто... заплатили за наши покупки.
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,"Улыбка облегчения на её лице была замечательным чувством, но тот факт, что сначала она была напугана, ПРОСТО ОТВРАТИТЕЛЕН, И Я НЕНАВИЖУ ЭТО.","Было здорово увидеть, как она с облегчением улыбнулась, но сам факт, что сначала она нас испугалась — это БЛЯДСКИЙ ОТСТОЙ, НЕНАВИЖУ ЭТУ ФИГНЮ."
32,But he can't pardon himself out of state prison.,Но он не может помиловать себя из тюрьмы штата.,"Но он не сможет этого сделать, если будет сидеть в тюрьме штата."
33,It takes the state's governor.,Это зависит от губернатора штата.,Для этого понадобится помилование от губернатора штата.
36,NY is the best hope for accountability,Нью-Йорк — лучшая надежда на привлечение к ответственности.,"Нью-Йорк — наш главный шанс добиться того, чтобы Трамп понес ответственность"
37,There is significant evidence that real-world communication cannot be reduced to sending signals with context-independent meaning.,"Существует значительное количество доказательств того, что реальная коммуникация не может быть сведена к передаче сигналов с независимым от контекста значением.","Имеются убедительные доказательства того, что реальная коммуникация не может быть сведена к отправке сигналов с контекстно-независимым значением."
40,"At the same time, we study the environmental conditions and cognitive capabilities that enable contextual disambiguation of symbol meanings.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют контекстуально разрешать неоднозначность значений символов.","В то же время мы изучаем условия окружающей среды и когнитивные способности, которые позволяют исключить неоднозначность значений символов в зависимости от контекста."
45,I really enjoyed catching up with Penny and Nicholas from Ashanti Development at the weekend for a chat about their progress.,Мне очень понравилось пообщаться с Пенни и Николасом из Ashanti Development на выходных и обсудить их успехи.,"На выходных я с большим удовольствием встретилась с Пенни и Николасом из Ashanti Development, чтобы обсудить, как у них дела."
48,I was fortunate enough to spend a memorable six months alongside Nicholas in 2011 supporting a range of projects.,"Мне посчастливилось провести незабываемые шесть месяцев вместе с Николасом в 2011 году, поддерживая ряд проектов.",Мне посчастливилось поработать над рядом проектов вместе с Николасом в течение незабываемых шести месяцев в 2011 году.
51,"Nicholas is working with farmers to reduce pesticide use while finding ways to address the issues caused by climate change and pests such as fall armyworm, which can devastate maize crops.","Николас работает с фермерами над сокращением использования пестицидов, одновременно находя способы решения проблем, вызванных изменением климата и вредителями, такими как гусеница совки, которая может уничтожать посевы кукурузы.","Николас работает с фермерами над сокращением использования пестицидов одновременно с поиском решений для проблем, вызванных изменением климата и такими вредителями, как совка травяная, которая может уничтожить весь урожай кукурузы."
53,The UPS store near me won't allow me to write a label or write on the box.,Магазин UPS рядом со мной не позволяет мне писать этикетку или писать на коробке.,В ближайшем пункте UPS мне не разрешают самому наклеить бланк или написать адрес на коробке.
55,They won't allow me to tell them the address it's going to and who is shipping it.,"Они не позволят мне сообщить им адрес, куда это отправляется, и кто отправляет.",Они не позволяют просто сказать им адрес получателя и кто отправляет посылку.
57,"And they always to charge me $2.25 for that ""convenience"".","И они всегда берут с меня $2.25 за это ""удобство"".","И за это «удобство» с меня всегда берут 2,25 доллара."
64,The ratings--seeking delusional irresponsibility of it all.,Рейтинго-ищущая бредовая безответственность всего этого.,Вся эта бредовая идея - безответственная погоня за рейтингами.
65,It can't be repeated.,Это нельзя повторить.,Нельзя допустить повторения такого.
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.","У меня очень сквозистый подвал, что, по сути, означает, что там может укрываться много грызунов.","У меня в подвале много щелей, что по сути означает, что в нем постоянно прячутся грызуны."
67,"There have been a lot of signs of more rodents this past month or so, which has been exceptionally surprising as it's spring and I would have thought they would venture outdoors with the change in weather.","За последний месяц или около того появилось много признаков увеличения числа грызунов, что было особенно удивительно, так как сейчас весна, и я бы подумал, что с изменением погоды они отправятся на улицу.","В прошлом месяце или около того я видел много признаков появления новых грызунов, что очень необычно, ведь сейчас весна, и я думал, что с изменением погоды они наоборот захотят переселиться на улицу."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.","Кстати, я пробовал почти все ""гуманные"" ловушки на рынке, но с очень небольшим успехом.","(не знаю, насколько это важно, но я перепробовал почти все «гуманные» мышеловки, которые есть на рынке, но толку от них мало."
72,"I'm not especially happy with killing them, but I won't be taking comments on the ethics of killing mice.)","Я не особенно рад их убивать, но не собираюсь обсуждать этику убийства мышей.","Мне не очень нравиться убивать мышей, но я не собираюсь обсуждать, насколько это этично.)"
76,But they also cut grants and tax credits that encourage more business activity.,"Но они также сократили гранты и налоговые льготы, которые стимулируют более активную предпринимательскую деятельность.","Но они также сокращают гранты и налоговые льготы, стимулирующие рост деловой активности."
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.","Это верно даже сейчас, когда goatse.cx больше не существует, хотя это была бы гонка на дно между goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислала Венди.","Это все еще так даже сейчас, когда больше нет goatse.cx, хотя сложно выбрать, кто хуже из goatse и, скажем, khou.com, где я пытался посмотреть видео, которое мне прислали Wendy."
82,"On the first train today, the ticket checker looked at our tickets and said ""long journey!""","Сегодня в первом поезде контролер посмотрел на наши билеты и сказал: ""долгое путешествие!"".",В первом поезде сегодня контролер проверил наши билеты и сказал: «Долгая поездка!»
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.","""Я просто высаживаю его в Глазго,"" попытался объяснить я, указывая на моего попутчика.","«Я просто провожаю его в Глазго», — пояснил я, указывая на своего попутчика."
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,"То, в чем я убедился прошлой ночью, это то, что мы должны быть готовы бороться против трампизма.","Вчера вечером я убедился в том, что мы должны быть готовы дать отпор трампизму."
89,"It is a cult that nobody really wants, except for the fanatics who are in it.","Это культ, который на самом деле никто не хочет, кроме фанатиков, которые в нем состоят.","Это секта, которая на самом деле никому не нужна, кроме фанатиков, которые в ней состоят."
90,And they are truly nuts.,И они действительно сумасшедшие.,И они действительно психи.
94,Get some bumper stickers that are anti-Trump and plaster them all over.,Купите наклейки на бампер с антиреспубликанскими лозунгами и наклейте их повсюду.,Купите несколько наклеек на бампер с лозунгами против Трампа и обклейте ими свою машину.
95,Yell back at those who would try to talk over us.,"Кричите в ответ на тех, кто пытается нас перебить.","Пора ответить тем, кто пытается заглушить наши голоса."
101,It is not socially acceptable to go out in public or rush up to people when you are coughing up a mucus storm.,"Недопустимо выходить на улицу или подбегать к людям, когда у вас сильный кашель с мокротой.","Социально неприемлемо выходить на улицу или подходить к людям, когда у вас сильный мокрый кашель."
