index,original,translated,accuracy_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
14,Picking this up this weekend.,这个周末去取。,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""男人味"" translates to ""manly"" or ""masculine,"" which doesn't precisely capture the meaning of ""guy car"" in the context of a first car. A more accurate translation would focus on the idea of a car that's appealing or suitable for a young person interested in cars.
[Minor]: none
```"
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: accuracy/addition - ""和别人"" (hé bírén) translates to ""compared to others"", while the source only states ""compared"". While not a major shift in meaning, it adds specificity not present in the original."
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: accuracy/mistranslation - ""联邦宇宙"" (Federal Universe) is a mistranslation of ""Fediverse"" which is a portmanteau of ""federated"" and ""universe,"" referring to a network of interconnected social media servers. The term is not accurately conveyed as a political entity.
[Minor]: none"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,"```
MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none
```"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
29,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
32,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
33,It takes the state's governor.,需要州长。,"MQM annotations:
Accuracy Errors
[Critical]: Omission - The translation lacks the nuance of ""takes"" which can imply that the governor is either required or affected by something.
[Major]: None
[Minor]: None"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,"```
MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None
```"
47,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植成活，农民的作物产量也得到了提高。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
53,The UPS store near me won't allow me to write a label or write on the box.,我家附近的 UPS 商店不允许我写标签或在箱子上写字。,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们寄往的地址和是谁寄的。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场暴行，就像一场象征性的1月6日反民主谎言和委屈节，由美国媒体自取灭亡地举办。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
61,Licht AGREED to an all Republican audience!,利希特同意面对全体共和党观众！,"MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
64,The ratings--seeking delusional irresponsibility of it all.,追逐收视率的妄想般的不负责任。,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我家地下室非常漏风，这基本上意味着会有很多啮齿动物进来避难。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种一成不变的生活，把所有的捕鼠器都清理掉了花生酱，然后用强力胶粘了一颗开心果在上面。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",恕我直言，我尝试了市面上几乎所有“人道”的捕鼠器，但效果甚微。,"```
MQM annotations:
Accuracy Errors
[Critical]: no-error
[Major]: no-error
[Minor]: no-error
```"
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府将自己包装成亲商的品牌。,"MQM annotations:
Accuracy Errors
[Critical]: None
[Major]: None
[Minor]: None"
74,"They aren't, at least not in Alberta.",至少在阿尔伯塔省不是。,"MQM annotations:
Accuracy Errors
[Critical]: none
[Major]: none
[Minor]: none"
