index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,"```
MQM annotations:
audience appropriateness error:
minor: culture-specific reference/technical jargon - The terms ""Direct3D object"" and ""Direct3D3 object"" are technical jargon and while accurately translated, might not be easily understood or relevant for a general audience in all Chinese-speaking contexts. Without further context, it's difficult to determine if they need further explanation or adaptation.
```"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,"MQM annotations:
minor: style/awkward - The phrase ""过多的强制力"" (too much coercion) might be interpreted negatively in Chinese, depending on the context and audience. While a literal translation, it can carry connotations of authoritarianism or oppression, even in the context of scientific research. While not inherently inappropriate, it would benefit from being rephrased for certain audiences."
14,Picking this up this weekend.,这个周末去取。,"MQM annotations:
minor: style/general - The translation is a bit too literal. While accurate, it lacks a more natural flow for everyday conversation in Chinese. A more natural translation might include context or clarify the object being picked up."
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,"MQM annotations:
audience appropriateness error:
minor: culture-specific reference/idiom - The phrase ""男人味"" (manly flavor) to describe a car is not a common or natural expression in Chinese when discussing cars, and may sound awkward or unnatural to some native speakers. While understandable, there might be more idiomatic ways to express the same idea."
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,"MQM annotations:
minor: style/awkward - The translation is grammatically correct but sounds a bit unnatural. A more natural translation would be ""我知道它们比不上别人的速度"" or ""我知道它们不算很快""."
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,"MQM annotations:
minor: culture-specific reference/jargon - The term ""联邦宇宙"" (Fediverse) might not be widely understood by the general Chinese audience without prior knowledge of decentralized social networks. While a more literal translation might lose the nuance, it could be more accessible to a broader audience."
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,"MQM annotations:
minor: culture-specific reference/terminology - While ""香槟"" is a common translation for ""bub"" (referring to champagne), it might sound slightly formal compared to the casual tone of the original English. A more colloquial term might be more appropriate for the target audience in certain contexts, although the current translation is generally acceptable."
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,"MQM annotations:
audience appropriateness error:
minor: style/awkward - While factually accurate, explicitly stating ""跨性别女性 (transgender woman)"" might be more direct than necessary in some Chinese contexts. A more subtle phrasing might be preferred depending on the target audience and the overall tone of the content. The phrase itself is not offensive, but the directness might be perceived differently."
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"MQM annotations:
minor: style/awkward - The translation is too literal and lacks natural flow for conversational Chinese. It could be improved by adding particles or rephrasing for a more natural feel. While not strictly inappropriate, it sounds slightly unnatural."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,"MQM annotations:
minor: audience_appropriateness/register - While ""他妈的"" is a direct translation of ""fucking,"" it's generally considered quite vulgar in Chinese and might be inappropriate for some audiences depending on the context. A less offensive term could have been used to convey the negative emotion."
