index,original,zero_shot_translation,improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,依我看，这个假设相当大胆，因为它仅仅是用Direct3D对象创建视口，而不是Direct3D 3对象。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,某些关于亚原子粒子的发现，只有在资本主义制度下才有可能实现的实验中才能获得，因为这些实验需要大量的资源、组织和协作才能完成。
14,Picking this up this weekend.,这个周末去取。,这个周末去拿吧。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,我在寻找一辆适合新手且具有80年代风格的汽车，我非常喜欢那个年代的审美。
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,我知道它们不算快。
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,在联邦宇宙社区发泄一下。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,今晚我和伴侣去了酒类商店，买了一些啤酒和一瓶气泡酒。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,当我们去结账时，收银员看起来很明显是位跨性女。
25,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就付了钱了。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,看到她脸上如释重负的笑容，我感到欣慰，但之前她所经历的恐惧真是太糟糕了，我对此深恶痛绝。
29,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,这是最糟糕的时间线，我讨厌死了.com。
32,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,但他无法通过赦免让自己离开州立监狱。
33,It takes the state's governor.,需要州长。,这取决于州长的决定。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,我们认为上下文相关的交流是一种情境化的多层现象，它受到环境特征（如上下文的分布）的重大影响。
47,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,社区获得知识，从而能够融入并支持自身发展。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植成活，农民的作物产量也得到了提高。,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植，农民的作物产量也得到了提高。
53,The UPS store near me won't allow me to write a label or write on the box.,我家附近的 UPS 商店不允许我写标签或在箱子上写字。,我家附近的 UPS 商店不允许我在标签或箱子上书写。
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们寄往的地址和是谁寄的。,他们不允许我告诉他们收货地址和是谁寄的。
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场暴行，就像一场象征性的1月6日反民主谎言和委屈节，由美国媒体自取灭亡地举办。,这是一场暴行，就像一场象征性的1月6日事件反民主谎言和抱怨节，由美国媒体搬起石头砸自己的脚地举办。
61,Licht AGREED to an all Republican audience!,利希特同意面对全体共和党观众！,利希特同意只面对共和党观众！
64,The ratings--seeking delusional irresponsibility of it all.,追逐收视率的妄想般的不负责任。,追求收视率，真是妄想般的不负责任。
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我家地下室非常漏风，这基本上意味着会有很多啮齿动物进来避难。,我家地下室非常漏风，因此容易有许多小动物进来藏身。
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种一成不变的生活，把所有的捕鼠器都清理掉了花生酱，然后用强力胶粘了一颗开心果在上面。,昨晚我终于受够了这种日复一日的生活，把所有捕鼠器上的花生酱都清理干净了，然后用强力胶在上面粘了一颗开心果。
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",恕我直言，我尝试了市面上几乎所有“人道”的捕鼠器，但效果甚微。,说实话，我试过市面上几乎所有“人道的”捕鼠器，但效果甚微。
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府将自己包装成亲商的品牌。,我厌倦了保守党派和政府打着亲商的旗号。
74,"They aren't, at least not in Alberta.",至少在阿尔伯塔省不是。,至少在阿尔伯塔省不是这样。
75,Sure they cut business taxes.,当然，他们削减了商业税。,当然，他们削减了营业税。
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",痛苦地发现，在2023年，地方电视台的网站绝对是互联网上最糟糕的体验。,后来我才发现，2023年地方电视台的网站绝对是互联网上最糟糕的体验。
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出框、以及广告，广告，广告。,弹出窗口、自动播放视频、动画、弹窗、以及大量广告。
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使在goatse.cx已经消失的现在，情况仍然如此。不过，如果要在goatse和khou.com（我在那里尝试观看Wendy发给我的视频）之间选一个最烂的网站，那将会是一场势均力敌的比赛。,即使 goatse.cx 已经消失，情况依旧没有好转。如果非要说哪个网站更烂，goatse 和 khou.com（我在那里尝试观看 Wendy 发给我的视频）简直是半斤八两。
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是送他到格拉斯哥，”我试图解释，一边指着我的旅伴。,“我只是送他到格拉斯哥去一下，”我一边指着我的旅伴，一边试图解释。
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚发生的事情让我确信我们需要做好准备，反击特朗普主义。,昨晚的事让我确信，我们需要做好准备，反击Trumpism。
94,Get some bumper stickers that are anti-Trump and plaster them all over.,搞一些反特朗普的保险杠贴纸，到处贴。,搞一些反特朗普的保险杠贴纸，四处张贴。
95,Yell back at those who would try to talk over us.,对那些试图盖过我们声音的人，大声回应回去。,对那些试图压制我们的人，大声回应。
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧冲进公寓想躲开他，但他还是追上来和我聊天了。,所以我赶紧冲进公寓想躲开他，但他还是追上来和我聊天。
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处散播你的新冠病毒飞沫是不被社会接受的！！！,再說一次，不要到處亂噴你的新冠病毒！
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,安倍把悲伤藏在心底，笑容常挂脸上；而汤姆则不怕流泪，但对粗俗的笑话不感兴趣。,安倍把悲伤藏在心底，脸上常带笑容；而汤姆则不怕流泪，但对低俗的笑话不感兴趣。
106,Mio knows that sorrow is life's constant companion.,澪知道悲伤是人生的永恒伴侣。,澪知道悲伤是人生的常伴。
108,#CNN needs to just close down.,CNN 应该倒闭了。,CNN 应该关闭了吧。
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天的#芒果莫伦 惨败简直是场荒唐的惨败。,昨天关于#芒果白痴的闹剧简直是一场荒唐的惨败。
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了克莉丝汀，一辆锈迹斑斑的1958年款普利茅斯·弗瑞，并痴迷于将这辆经典汽车修复到昔日的辉煌。,书呆子学生阿尼·坎宁安爱上了克莉丝汀——一辆锈迹斑斑的1958年款普利茅斯 Fury，并痴迷于将这辆经典汽车修复到昔日的光彩。
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着他的异国情调的美车时变成了傲慢。,随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着他那辆稀有的漂亮跑车时变成了傲慢。
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,我的邻居们与我为敌，其中最令人难以置信的一点是想到要充满敌意得需要付出多大的努力。,我的邻居们与我为敌，其中最令人难以置信的一点是想到要怀有敌意需要付出这么大的努力。
126,It hurts but you gotta do you.,虽然很伤人，但你还是要做你自己。,虽然这很伤人，但你还是要坚持做自己。
127,But at this point the open hostility and violence is getting worse.,但此时公开的敌意和暴力正在加剧。,但公开的敌意和暴力正在日益加剧。
128,That takes effort.,这需要付出努力。,这需要努力。
132,They had keys to my apartment for 6+ years.,他们有我家公寓钥匙六年多了。,他们有我公寓的钥匙六年多了。
134,I am aware of your hatred of Organa.,我知道你憎恨奥加纳。,我知道你憎恨欧嘉纳。
142,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是“爹化”现象的一个简单而典型的例子。,《最后生还者》是“奶爸化”现象的一个简单而典型的例子。
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父亲化通常假定，解决父辈角色必须照顾或保护儿童或儿童替代品的情况的方法是压倒性的力量，并利用这种力量来强加一种特定形状的权力动态。,在需要父亲角色照顾或保护儿童的情况下，“父亲化”现象通常认为解决方案是凭借压倒性的力量，强制形成一种特定的权力关系。
149,- We provide links to where you can book the fare.,我们提供预订机票的链接。,我们提供可预订票价的链接。
151,- More details are in the full blog post.,更多详情请见完整博文。,更多细节请阅读完整博文。
159,Over time dart became my go-to for quick UI.,随着时间的推移，Dart成了我快速构建UI的首选。,渐渐地，Dart成了我快速构建用户界面的首选。
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",使用 Flutter 开发是一种享受，并且他们有 MobX 可以轻松进行状态管理。,使用 Flutter 开发是一种享受，并且他们有 #mobx 方便地进行存储管理。
164,Echidna with amethyst and magenta spikes.,具有紫水晶色和品红色尖刺的针鼹.,长着紫水晶色和洋红色尖刺的针鼹。
167,"Their hair is raspberry, short and curly.",他们的头发是覆盆子色，又短又卷。,他们的头发是覆盆子色，短而卷曲。
169,Their most interesting feature is their good deeds.,他们最引人注目的特点是他们的善行。,他们最让人印象深刻的是他们的善举。
172,"Despite the best efforts of Bram Stoker, Max Schreck, and Stephenie Meyer in trying to make them look bad - everyone ...",尽管布莱姆·斯托克、马克斯·施莱克和斯蒂芬妮·梅尔尽了最大努力想让他们看起来很糟糕 - 每个人...,尽管布莱姆·斯托克、马克斯·施莱克和斯蒂芬妮·梅尔极力丑化他们，但……
177,"Need to translate it to Mandarin and/or Hokkien, neither of which I know at all.","Okay, I will provide translations into Mandarin and (a phonetic approximation of) Hokkien based on my best understanding. Please note that without more context, these translations might not be perfect.

**Mandarin:**

需要把它翻译成普通话和/或福建话，但我完全不懂。请直接提供翻译，不要添加任何额外的文字。

**Hokkien (Approximate Phonetic):**

Beh su-iau than i pien-yi chit cho pu-thong-ua kah/iah Hok-kien-ua, wa chiong-kai m chai-xiau. Chiah-ho thui-kien pien-yi, m-thang ka thiam kia-pah e su-ji.","需要将它翻译成普通话或福建话，我对此一窍不通。请直接翻译，不要添加任何额外文字。

Beh su-iàu phiên- dịch chòe Pó͘-thong-uē kah/iah Hok-kiàn-uē, guá sī hoàn- toàn m̄ chai-iáⁿ. Chiáh- hó phiên-dịch, m̄-thang ka-thiam gōa-kháu ê su-jī."
179,Been toying with this thought for a little while:,脑海里盘旋这个想法有一阵子了。,一直在琢磨这件事儿。
182,Because it happens in the mind and seems less tangible than physical health.,因为它发生在脑海中，并且似乎不如身体健康那样有形。,因为它发生在脑中，不像身体健康那样看得见摸得着。
189,"My sex is non-binary, my gender is female.",我的生理性别为非二元性别，我的性别认同为女性。,我的生理性别为双性，性别认同为女性。
193,Like krauty moods and other worldly pop music and radiophonic workshop and all sorts.,类似于德国摇滚的情绪，超凡脱俗的流行音乐，无线电音响工作室，以及诸如此类的东西。,类似于德国实验摇滚的情绪、超凡脱俗的流行音乐和电子音乐工作室等等。
196,Playing around a bit with Flutter.,稍微玩了一下 Flutter。,简单体验了一下 Flutter。
197,"I'd hate to base my business on tech from Google, to be honest, on the other hand Google is one of the few big players with real incentives to create a compelling cross platform experience and it shows.",说实话，我不想把我的业务建立在谷歌的技术之上。但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台体验的大公司之一，而且这一点也体现了出来。,说实话，我不想把我的业务建立在谷歌的技术之上，但另一方面，谷歌是少数几个真正有动力创造引人注目的跨平台使用体验的大公司之一，这一点也显而易见。
203,A few very small difficulties have come to light.,出现了一些小问题。,出现了一些小小的难题。
204,Nothing to set alarm bells ringing but nevertheless they are being addressed.,虽无须过度担忧，但相关问题正在处理中。,虽不必过分担忧，但相关问题正在解决中。
205,A small update will be produced next week to correct them.,下周将会发布一个小更新来修正它们。,下周将发布一个小更新以修正这些问题。
209,I don't know exactly know why my brain can't figure it out; it might be that the tools are just so broad and vague that my brain just hardlocks due to 'too many options'.,我不太清楚为什么我的大脑想不明白；可能是因为工具过于宽泛和模糊，导致我的大脑因为“选项太多”而直接卡死。,我不太清楚为什么我的大脑搞不明白，可能是因为工具过于宽泛和模糊，导致我的大脑因为“选项太多”而彻底卡住。
217,"There's... no way that would work, probably!",不太可能吧！,不太可能吧，大概！
219,I was a voracious reader in my youth.,我年轻的时候是个贪婪的读者。,我年轻的时候非常喜欢读书。
228,"But if Spotify has a good quarter, they will.",但如果Spotify这季度表现良好，他们会的。,但如果Spotify这季度表现好的话，他们会的。
230,Let them rehabilitate the hollowed out and decaying cities across the country. Again.,让他们重建全国那些被掏空且日益衰败的城市。,让他们再次修复全国那些被掏空且日益衰败的城市。
235,These headlines and articles usually reference one CEO at one large company.,这些标题和文章通常只提及一家大型公司的一位首席执行官。,这些标题和文章通常只提到一家大公司的某位首席执行官。
236,It's all clickbait but it does worry me about the executives and managers who read these articles.,这都是标题党，但它确实让我担心那些阅读这些文章的高管和经理们。,这些都是标题党文章，但它确实让我担心那些阅读这些文章的高管和经理们。
242,It enables people to avoid lengthy commutes that take time away from their day and their families.,它使人们能够避免耗时的通勤，从而节省时间和陪伴家人的时间。,它使人们能够避免耗时的通勤，从而节省更多的时间陪伴家人。
247,"""This is a war between the pro-humans and anti-humans,"" he said.",“这是一场亲人类和反人类之间的战争，” 他说。,他说，这是一场支持人类和反对人类之间的战争。
249,He also argues that NDP and progressives want to depopulate society for the sake of the environment.,他还认为，新民主党和进步人士为了环境，想要减少社会人口。,他还认为，新民主党和进步派为了保护环境，企图减少社会人口。
252,Whenever May would pop up I dreaded trying to celebrate my bday.,每当梅伊出现，我就害怕过生日。,每次梅伊出现的时候，我就发愁怎么庆祝我的生日。
258,Winter is 30 days away in this little part of the Great Southern World.,在这个南半球的这小片地方，离冬天还有30天。,在南半球的这片小区域，距离冬天还有30天。
261,"The rain is falling and whilst/while it is not frozen, you ain't going dancing in it!",下着雨，虽然没结冰，但你也别想在雨中跳舞了！,下着雨，虽然没有结冰，但你最好还是别在雨中跳舞了。
265,Does you know of a performant way for a web component to respond to being added/removed from a document?,你知道有什么高性能的方法可以让 Web 组件响应被添加到文档或从文档中移除的事件吗？,你知道有什么高性能的方法可以让 Web components 组件响应被添加到文档或从文档中移除的事件吗？
270,"We create a detached temp parent, install MO there, and observe it becoming detached (thus attached elsewhere).",我们创建一个分离的临时父对象，将MO安装在那里，并观察它变为分离状态（因此被附加到其他地方）。,我们创建一个分离的临时父项，将MO安装到该父项上，并观察它变为已分离状态（从而附加到其他位置）。
276,He's just absolutely ripped from tearing around my office twice a day.,他每天在我办公室里跑两趟，绝对练出来了。,他每天在我办公室里跑两趟，累得浑身肌肉都出来了。
277,"I don't have a scale to weigh him, but he feels like he's well over a pound.",我没有秤来称他，但他感觉肯定超过一磅了。,我没有秤来称他的重量，但他感觉肯定超过一磅重了。
278,It makes me so happy to see him thriving.,看到他过得这么好，我真替他高兴。,看到他过得这么好，我真的为他感到高兴。
280,1) Slight modifications to the Hel's Fighters map layout.,对赫尔战士地图布局的轻微修改。,对赫尔地图布局的轻微修改。
286,"All collards, kale, chard is transplanted.",所有羽衣甘蓝、芥蓝、莙荙菜都已移栽。,所有厚叶菜、羽衣甘蓝和瑞士甜菜都已移栽。
288,Spring peas at Gilpin are showing up so trellise needs to be set.,吉尔平的春豌豆已经长出来了，需要搭棚架了。,吉尔平的春豌豆快要成熟了，该开始搭建棚架了。
