index,original,translated,locale_convention_annotation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,"locale conventions:

MQM annotations:
None"
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,"locale conventions:

MQM annotations:"
14,Picking this up this weekend.,这个周末去取。,"locale conventions:

MQM annotations:"
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,"locale conventions:

MQM annotations:
no locale conventions errors"
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,"locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,"locale conventions:

MQM annotations:"
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,"locale conventions:

MQM annotations:"
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,"locale conventions:

MQM annotations:"
25,And then we just... paid for our stuff.,然后我们就...付了钱。,"locale conventions:

MQM annotations:
No locale convention errors found."
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,"locale conventions:

MQM annotations:"
29,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,"locale conventions:

MQM annotations:
minor: NUMBER FORMAT/Punctuation - ""点com"" should be "".com"""
32,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,"locale conventions:

MQM annotations:"
33,It takes the state's governor.,需要州长。,"locale conventions:

MQM annotations:"
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,"locale conventions:

MQM annotations:
None"
47,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,"locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植成活，农民的作物产量也得到了提高。,"locale conventions:

MQM annotations:"
53,The UPS store near me won't allow me to write a label or write on the box.,我家附近的 UPS 商店不允许我写标签或在箱子上写字。,"locale conventions:

MQM annotations:
[Critical]: no-error
[Major]: no-error
[Minor]: no-error"
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们寄往的地址和是谁寄的。,"locale conventions:

MQM annotations:
None"
59,"It was an outrage, like a symbolic Jan 6 anti-democratic festivus of lies & grievance, self-destructively hosted by American media.",这是一场暴行，就像一场象征性的1月6日反民主谎言和委屈节，由美国媒体自取灭亡地举办。,"locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
61,Licht AGREED to an all Republican audience!,利希特同意面对全体共和党观众！,"locale conventions:

MQM annotations:
minor: style/awkward - The translation is grammatically correct and conveys the general meaning, but the phrasing could be improved for naturalness in Chinese."
64,The ratings--seeking delusional irresponsibility of it all.,追逐收视率的妄想般的不负责任。,"locale conventions:

MQM annotations:"
66,"I have a very drafty basement, which essentially means I can get a lot of rodents taking refuge.",我家地下室非常漏风，这基本上意味着会有很多啮齿动物进来避难。,"locale conventions:

MQM annotations:"
69,"I finally got fed up with this routine last night, cleaned all the traps of peanut butter, and superglued a pistachio to them.",昨晚我终于受够了这种一成不变的生活，把所有的捕鼠器都清理掉了花生酱，然后用强力胶粘了一颗开心果在上面。,"locale conventions:

MQM annotations:
minor: style/awkward - The phrase ""一成不变的生活"" is translated literally to ""this routine"" but would be better translated as ""same old thing"".
minor: style/awkward - The original text does not contain the word ""then""."
71,"(fwiw, I've tried nearly every ""humane"" trap on the market with very little success.",恕我直言，我尝试了市面上几乎所有“人道”的捕鼠器，但效果甚微。,"locale conventions:

MQM annotations:"
73,I'm tired of conservative parties and governments wrapping themselves in the brand of pro-business.,我厌倦了保守党派和政府将自己包装成亲商的品牌。,"locale conventions:

MQM annotations:"
74,"They aren't, at least not in Alberta.",至少在阿尔伯塔省不是。,"locale conventions:

MQM annotations:"
75,Sure they cut business taxes.,当然，他们削减了商业税。,"locale conventions:

MQM annotations:"
78,"Discovered the hard way that in 2023, local TV station web sites are the absolute worst experience on the internet.",痛苦地发现，在2023年，地方电视台的网站绝对是互联网上最糟糕的体验。,"locale conventions:

MQM annotations:"
79,"Popups, auto-play videos, animations, popovers, and ads, ads, ads.",弹出窗口、自动播放视频、动画、弹出框、以及广告，广告，广告。,"locale conventions:

MQM annotations:"
81,"This is true even now that goatse.cx is gone, though it would be a close race to the bottom between goatse and, say, khou.com, where I tried to watch a video the Wendy sent me.",即使在goatse.cx已经消失的现在，情况仍然如此。不过，如果要在goatse和khou.com（我在那里尝试观看Wendy发给我的视频）之间选一个最烂的网站，那将会是一场势均力敌的比赛。,"locale conventions:

MQM annotations:
minor: no-error"
84,"""I'm just dropping him off in Glasgow,"" I attempted to explain, gesturing at my traveling companion.",“我只是送他到格拉斯哥，”我试图解释，一边指着我的旅伴。,"```
locale conventions:

MQM annotations:
```"
87,The thing that last night convinced me of is that we need to be ready to fight back against Trumpism.,昨晚发生的事情让我确信我们需要做好准备，反击特朗普主义。,"locale conventions:

MQM annotations:"
94,Get some bumper stickers that are anti-Trump and plaster them all over.,搞一些反特朗普的保险杠贴纸，到处贴。,"locale conventions:

MQM annotations:"
95,Yell back at those who would try to talk over us.,对那些试图盖过我们声音的人，大声回应回去。,"locale conventions:

MQM annotations:"
99,So I rushed to get into my apt to avoid him but he still managed to catch up to me to chat.,所以我赶紧冲进公寓想躲开他，但他还是追上来和我聊天了。,"locale conventions:

MQM annotations:"
102,I repeat. It is not socially acceptable to spread your covid mucus storm everywhere!!!,我再说一遍。到处散播你的新冠病毒飞沫是不被社会接受的！！！,"locale conventions:

MQM annotations:"
104,Abe keeps his sorrows hidden and laughs easily while Tom is not afraid to cry but is less amused by rude humor.,安倍把悲伤藏在心底，笑容常挂脸上；而汤姆则不怕流泪，但对粗俗的笑话不感兴趣。,"locale conventions:

MQM annotations:
There are no locale convention errors in this translation."
106,Mio knows that sorrow is life's constant companion.,澪知道悲伤是人生的永恒伴侣。,"locale conventions:

MQM annotations:
Critical: no-error
Major: no-error
Minor: no-error"
108,#CNN needs to just close down.,CNN 应该倒闭了。,"locale conventions:

MQM annotations:
no-error"
109,Yesterday's fiasco with #MangoMoron was an outrageous fiasco.,昨天的#芒果莫伦 惨败简直是场荒唐的惨败。,"locale conventions:

MQM annotations:
minor: style/other - While not strictly a locale convention error, the excessive repetition of ""惨败"" (fiasco) makes the translation stylistically awkward. A more natural phrasing might avoid repeating the same word. However, it is understandable since the source text also repeats the word ""fiasco""."
115,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory.",书呆子学生阿尼·坎宁安爱上了克莉丝汀，一辆锈迹斑斑的1958年款普利茅斯·弗瑞，并痴迷于将这辆经典汽车修复到昔日的辉煌。,"locale conventions:

MQM annotations:
no error:no error - no error"
116,"As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty.",随着汽车的改变，阿尼也随之改变，他新获得的自信在驾驶着他的异国情调的美车时变成了傲慢。,"locale conventions:

MQM annotations:"
123,One of the craziest parts about my neighbors turning against me is thinking about how much effort it takes to be hostile.,我的邻居们与我为敌，其中最令人难以置信的一点是想到要充满敌意得需要付出多大的努力。,"locale conventions:

MQM annotations:"
126,It hurts but you gotta do you.,虽然很伤人，但你还是要做你自己。,"locale conventions:

MQM annotations:"
127,But at this point the open hostility and violence is getting worse.,但此时公开的敌意和暴力正在加剧。,"locale conventions:

MQM annotations:
no-error"
128,That takes effort.,这需要付出努力。,"locale conventions:

MQM annotations:
None"
132,They had keys to my apartment for 6+ years.,他们有我家公寓钥匙六年多了。,"locale conventions:

MQM annotations:
minor: NUMBER FORMAT/ other - The use of ""6+"" is not typically used in Chinese for a formal context. ""六年多"" is acceptable but sounds too casual. More formal options include ""六年以上"" or ""超过六年"". Since the provided translation is acceptable, severity is minor."
134,I am aware of your hatred of Organa.,我知道你憎恨奥加纳。,"locale conventions:

MQM annotations:"
142,The Last of Us is an easy and canonical example of dad-ification.,《最后生还者》是“爹化”现象的一个简单而典型的例子。,"locale conventions:

MQM annotations:
No locale convention errors found."
144,"Dad-ification usually posits that the solution to a situation where a parent figure must care for or protect a child or child stand-in is overwhelming strength, and using that strength to force a very specifically shaped power dynamic.",父亲化通常假定，解决父辈角色必须照顾或保护儿童或儿童替代品的情况的方法是压倒性的力量，并利用这种力量来强加一种特定形状的权力动态。,"locale conventions:

MQM annotations:"
149,- We provide links to where you can book the fare.,我们提供预订机票的链接。,"locale conventions:

MQM annotations:
None"
151,- More details are in the full blog post.,更多详情请见完整博文。,"locale conventions:

MQM annotations:
critical: no-error
major: no-error
minor: no-error"
159,Over time dart became my go-to for quick UI.,随着时间的推移，Dart成了我快速构建UI的首选。,"locale conventions:

MQM annotations:"
160,"#flutter is a pleasure to work with, and they have #mobx for easy store management.",使用 Flutter 开发是一种享受，并且他们有 MobX 可以轻松进行状态管理。,"locale conventions:

MQM annotations:"
