index,original,single_agent_translation,single_agent_improved_translation
2,"To me, this is a pretty big assumption because it is only creating the viewport using a Direct3D object, not a Direct3D3 object.",对我来说，这是一个相当大的假设，因为它只是用一个Direct3D对象创建视口，而不是Direct3D3对象。,对我来说，这是一个相当大的假设，因为它仅仅是使用Direct3D对象创建视口，而不是Direct3D3对象。
10,"Some facts, e.g. about subatomic particles, can only result from experiments that are themselves only possible in capitalism because they require too much resources, too much organization, too much coercion, to pull off otherwise.",某些事实，例如关于亚原子粒子的事实，只能通过在资本主义下才有可能进行的实验才能产生，因为这些实验需要过多的资源、过多的组织和过多的强制力，否则无法完成。,某些事实，例如关于亚原子粒子的研究，只能通过在资本主义制度下才有可能实现的实验获得，因为这些实验需要耗费大量的资源，需要精密的组织和强大的执行力，否则根本无法完成。
14,Picking this up this weekend.,这个周末去取。,这个周末去取。
15,I was looking for a good first car guy car; and I really love the 80s aesthetic.,我在找一辆不错的入门级“男人味”汽车，而且我真的很喜欢80年代的审美。,我在找一辆适合新手的好车，而且我真的很喜欢80年代的风格。
19,I know they're not fast compared,我知道和别人比起来，它们不算快。,我知道它们比起来不算快。
20,#Venting into the Fediverse time.,在联邦宇宙倒苦水时间。,在联邦宇宙发泄一下。
21,The Domestic Partner and I went to the liquor store tonight for some beers and a bottle of bub.,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。,今晚我和我的同居伴侣去酒铺买了一些啤酒和一瓶香槟。
22,"When we went to check out, the cashier is a fairly obvious #trans woman.",当我们去结账时，收银员是一位相当明显的跨性别女性。,当我们去结账时，收银员是一位很明显的跨性别女性。
25,And then we just... paid for our stuff.,然后我们就...付了钱。,然后我们就...付了我们的东西。
28,The smile of relief on her face was a great feeling but the fact that she was scared first FUCKING SUCKS AND I HATE IT.,她脸上露出如释重负的笑容让人感觉很好，但她之前感到害怕这件事他妈的太糟糕了，我讨厌它。,她脸上如释重负的笑容让人感到欣慰，但她之前感到害怕这件事真是太糟糕了，我真讨厌。
29,This is the stupidest timeline and I hate it dot com.,这是最蠢的时间线，我讨厌它点com。,这是最愚蠢的时间线，我讨厌它点com。
32,But he can't pardon himself out of state prison.,但他无法特赦自己出州立监狱。,但他无法通过特赦让自己出州立监狱。
33,It takes the state's governor.,需要州长。,这需要州长的批准。
43,"We suggest that context-dependent communication is a situated multilayered phenomenon, crucially influenced by environment properties such as distribution of contexts.",我们认为语境依赖型交流是一种情境化的多层现象，其受到环境属性（如语境分布）的重大影响。,我们认为，语境依赖型交流是一种情境化的多层现象，受到环境属性（如语境分布）的重要影响。
47,Communities gain the knowledge to embed and support their own development.,社区获得知识，从而能够扎根并支持自身发展。,社区掌握相关知识，从而能够扎根并支持自身发展。
50,Thousands of trees have been established and farmers have seen increased crop yields through a range of interventions from support with equipment purchases to training.,通过一系列干预措施，从支持设备购买到培训，数千棵树木已经种植成活，农民的作物产量也得到了提高。,数千棵树木已经种植，通过一系列干预措施，包括支持设备购买和培训，农民的作物产量也得到了提高。
53,The UPS store near me won't allow me to write a label or write on the box.,我家附近的 UPS 商店不允许我写标签或在箱子上写字。,我家附近的 UPS 商店不允许我在标签或箱子上书写。
55,They won't allow me to tell them the address it's going to and who is shipping it.,他们不允许我告诉他们寄往的地址和是谁寄的。,他们不允许我告诉他们货物的寄送地址和寄件人。
